ID,METRO_AREA,Cities_Included,Rent_Income_Ratio_Raw,Rent_Income_Ratio_Rank,Transit_Raw,Transit_Rank,Food_Raw,Food_Rank,Bars_Raw,Bars_Rank,Museums_Raw,Museums_Rank,Sports_Raw,Sports_Rank,Annual_Income_Raw,Annual_Income_Rank,Monthly_Income_Raw,Monthly_Rent_Rank,Price_of_Weed_Raw,Price_of_Weed_Rank,Farmers_Markets_Raw,Farmers_Markets_Rank,Pet_Friendly_Raw,Pet_Friendly_Rank,LGBTQ_Friendly_Raw,LGBTQ_Friendly_Rank,Music_Rank,Music_Rank,Safety_Raw,Safety_Rank,Shopping_Raw,Shopping_Rank,Fitness_Raw,Fitness_Rank,Parks_Raw,Parks_Rank,,,Bike_Raw,Bike_Rank,Walk_Raw,Walk_Rank
42,"Oklahoma City, OK Metro Area",Oklahoma City,3.130598622,15,16,42,34,33,3.092501311,23,0,0,0,0,29077,46,2423.083333,6,343.28,35,0.64,27,0,0,0,0,0,0,0,0,0,0,35.06,37,36,41,,,39.8,39,31.6,40
47,"Raleigh, NC Metro Area",Raleigh,3.18558114,14,22.6,41,0,0,1.704065218,43,0,0,0,0,34863,12,2905.25,20,368.21,44,0,0,0,0,0,0,0,0,0,0,0,0,40.33,27,61,17,,,40.6,36,28.8,42
36,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Nashville,3.007894737,20,23.1,40,13,13,1.686589206,44,19,16,0,0,30861,38,2571.75,16,371.2,47,1.09,20,0,0,0,0,1,1,119,37,19,19,33.53,38,46,34,,,32.8,43,26.5,44
33,"Indianapolis-Carmel-Anderson, IN Metro Area",Indianapolis,3.285729167,10,23.7,39,31,31,3.078560951,24,0,0,14,13,31543,32,2628.583333,8,335.95,30,1.89,11,0,0,0,0,0,0,115,36,5,5,32.12,42,32,43,,,41.1,35,28.7,43
49,"Birmingham-Hoover, AL Metro Area",Birmingham,3.23902133,13,25.3,38,0,0,1.497661344,47,0,0,0,0,30978,36,2581.5,7,369.1,46,0,0,0,0,0,0,0,0,0,0,0,0,48.21,13,0,0,,,28.6,44,33,37
43,"Louisville/Jefferson County, KY-IN Metro Area",Louisville,3.455102041,5,28.5,37,16,16,2.245599489,34,0,0,0,0,30474,41,2539.5,3,362.88,42,1.96,10,0,0,0,0,9,9,0,0,0,0,36.82,33,32.5,42,,,42.6,32,31.2,41
30,"Kansas City, MO-KS Metro Area",Kansas City,3.296881208,8,28.7,36,23,23,2.826292596,27,0,0,19,18,33193,15,2766.083333,12,378.59,49,0,0,0,0,0,0,12,12,108,32,0,0,39.84,29,60,20,,,40.3,37,32.1,39
32,"Columbus, OH Metro Area",Columbus,3.286192214,9,31,35,36,35,4.262895878,12,0,0,0,0,32415,21,2701.25,11,338.32,31,1.67,14,0,0,0,0,0,0,105,29,4,4,30.98,44,44,35,,,46.5,28,40,31
13,"Phoenix-Mesa-Scottsdale, AZ Metro Area",Phoenix,2.772910108,31,32.2,34,29,29,2.268391265,33,21,18,11,10,31711,29,2642.583333,26,293.95,15,0.39,29,11,10,0,0,0,0,66,14,7,7,57.01,1,55,26,,,58.5,15,38.3,34
26,"Orlando-Kissimmee-Sanford, FL Metro Area",Orlando,2.184512274,46,32.5,33,0,0,1.960823413,38,20,17,27,26,27053,50,2254.416667,37,308,18,0,0,0,0,0,0,0,0,113,35,0,0,56.26,2,0,0,,,53,23,39.3,32
