state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat
AL,0,0,0,0,2500,0,0,0,259,0,0,0,0,2759,-86.766233,33.001471
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-148.716968,61.288254
AZ,0,0,0,5900,2950,0,0,40,25,0,0,0,0,8915,-111.82871,33.373506
AR,0,0,0,2700,0,0,0,1250,0,0,0,0,0,3950,-92.576816,35.080251
CA,0,0,0,5000,4200,1250,6150,370.16,5761.1,0,0,0,0,22731.26,-119.355165,35.458606
CO,0,0,0,5650,350,1000,0,0,0,0,0,0,0,7000,-105.203628,39.500656
CT,0,0,0,2700,0,0,0,0,0,0,0,0,0,2700,-72.874365,41.494852
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75.561908,39.397164
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.014001,38.910092
FL,0,0,0,11950,0,0,6100,2700,11300,0,0,0,0,32050,-81.634622,27.79585
GA,0,0,0,1750,500,0,300,800,250,0,0,0,0,3600,-83.868887,33.332208
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-157.524452,21.146768
ID,0,0,0,250,300,250,150,0,100,0,0,0,0,1050,-115.133222,44.242605
IL,0,0,0,0,0,0,0,100,5400,0,0,0,0,5500,-88.380238,41.278216
IN,0,0,0,500,0,0,250,2700,0,0,0,0,0,3450,-86.261515,40.163935
IA,0,0,0,0,250,500,3670.16,900,1100,0,0,0,0,6420.16,-93.049161,41.960392
KS,0,0,0,250,0,0,0,0,0,0,0,0,0,250,-96.536052,38.454303
KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85.241819,37.808159
LA,0,0,0,378600,73000,168699,164240.32,69150,45400,0,0,0,0,899089.32,-91.457133,30.69927
ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69.719931,44.313614
MD,0,0,0,3150,750,2700,0,350,2700,0,0,0,0,9650,-76.797396,39.145653
MA,0,0,0,250,0,0,0,0,0,0,0,0,0,250,-71.363628,42.271831
MI,0,0,0,250,0,0,250,0,10800,0,0,0,0,11300,-84.170753,42.866412
MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93.583003,45.210782
MS,0,0,0,5400,0,8100,0,0,0,0,0,0,0,13500,-89.593164,32.56642
MO,0,0,0,5650,5400,250,260,250,0,0,0,0,0,11810,-92.15377,38.437715
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-111.209708,46.813302
NE,0,0,0,0,300,0,0,0,0,0,0,0,0,300,-97.403875,41.183753
NV,0,0,0,0,250,0,0,0,0,0,0,0,0,250,-116.304648,37.165965
NH,0,0,0,1000,0,0,250,0,0,0,0,0,0,1250,-71.463342,43.153046
NJ,0,0,0,0,250,0,100,3200,2700,0,0,0,0,6250,-74.428055,40.438458
NM,0,0,0,0,500,0,0,0,0,0,0,0,0,500,-106.342108,34.623012
NY,0,0,0,5650,5400,0,770.16,45.16,20311.1,0,0,0,0,32176.42,-74.645228,41.507548
NC,0,0,0,1800,350,100,5510,10800,-2675,0,0,0,0,15885,-79.667654,35.553334
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.334736,47.375168
OH,0,0,0,250,2500,0,250,370.16,50,0,0,0,0,3420.16,-82.749366,40.480854
OK,0,0,0,500,500,0,100,5938,105,0,0,0,0,7143,-96.834653,35.59794
OR,0,0,0,0,100,125,45.16,0,0,0,0,0,0,270.16,-122.579524,44.732273
PA,0,0,0,1500,0,0,420.16,150,2825,0,0,0,0,4895.16,-77.075925,40.463528
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.448902,41.753318
SC,0,0,0,1000,750,0,230.16,35,46.1,0,0,0,0,2061.26,-81.032387,34.034551
SD,0,0,0,500,0,0,0,0,0,0,0,0,0,500,-99.043799,44.047502
TN,0,0,0,750,100,100,100,0,0,0,0,0,0,1050,-86.397772,35.795862
TX,0,0,0,21250,1950,7450,4282,8528,1200,0,0,0,0,44660,-97.388631,30.943149
UT,0,0,0,0,0,0,0,250,0,0,0,0,0,250,-111.90016,40.438987
VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72.814309,44.081127
VA,0,0,0,9866,1100,1200,200,7100,0,0,0,0,0,19466,-77.835857,37.750345
WA,0,0,0,250,3300,1250,50,370.16,1011.1,0,0,0,0,6231.26,-121.624501,47.341728
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.820221,38.767195
WI,0,0,0,0,5400,0,0,11800,14800,0,0,0,0,32000,-89.001006,43.728544
WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-107.008835,42.675762
