state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat
AL,0,0,0,0,1025,7820,6290,5611,2513,3546,3526,963,0,31294,-86.766233,33.001471
AK,0,0,13,221,250,4124,3100,725,971.5,2091,1300,413,0,13208.5,-148.716968,61.288254
AZ,0,0,14345,3500,3781,30086,73290,11501.5,4482,9463,5361,1273,0,157082.5,-111.82871,33.373506
AR,0,0,0,300,191,3591,7721,1708,1464.5,659,1046,270,0,16950.5,-92.576816,35.080251
CA,0,0,72321,313205,68359,216589.25,379874.71,112570.16,70325.3,62345,34380,15870,0,1345839.42,-119.355165,35.458606
CO,0,0,13625,22550,13156,40026,24853,39219,14618.65,37743,14704,3015,0,223509.65,-105.203628,39.500656
CT,0,0,3450,11350,4525,18200,23663,11411,2000.95,4145,4585,1309,0,84638.95,-72.874365,41.494852
DE,0,0,0,0,150,7710,3195,3202,831,-1400,525,200,0,14413,-75.561908,39.397164
DC,0,0,0,3050,0,14050,4600,1850,1350,500,125,225,0,25750,-77.014001,38.910092
FL,0,0,5435,46476,23235,114395,115813.35,31384,23258.23,30879,14839.5,7013,0,412728.08,-81.634622,27.79585
GA,0,0,5700,8575,6953,46870,44005.5,13054,6598.41,12727,6972,2442,0,153896.91,-83.868887,33.332208
HI,0,0,125,2922,2559,5328,6955,912,634,1509,384,414,0,21742,-157.524452,21.146768
ID,0,0,250,2975,1234,9729,11132,1627,929,854,1077,1033,0,30840,-115.133222,44.242605
IL,0,0,4218,6800,3675,35052,41750,14849,17359.5,10228,6553,1953,0,142437.5,-88.380238,41.278216
IN,0,0,400,2000,700,10888,9461,5170,3977,1753,3085,932,0,38366,-86.261515,40.163935
IA,0,0,200,4450,2050,13709.17,21414,2254.23,3620,-405,2459,913,0,50664.4,-93.049161,41.960392
KS,0,0,4050,2113,3225,5900,8336.75,2020,2497.1,1126,2063,663,0,31993.85,-96.536052,38.454303
KY,0,0,1300,0,1647,6273,7400,1467,1644,1190,813,416,0,22150,-85.241819,37.808159
LA,0,0,6300,2550,20547.82,12922,10529,7409,2341,3861,3452,690,0,70601.82,-91.457133,30.69927
ME,0,0,600,2100,3188,28225,18867,4123,3663,1400,1558,275,0,63999,-69.719931,44.313614
MD,0,0,2900,3050,814,18676,25578.5,6259,5715.75,5194,4119,1728,0,74034.25,-76.797396,39.145653
MA,0,0,800,7325,1955,23350,28591,33109,5095.75,6055,3301.73,1625,0,111207.48,-71.363628,42.271831
MI,0,0,2250,7175,2473,18679,23637,8144,7935,23530,5116,2377,0,101316,-84.170753,42.866412
MN,0,0,300,3000,4175,13372,16331,4669,4088,4771,-2691,1352,0,49367,-93.583003,45.210782
MS,0,0,5450,3800,175,2800,2324,3325,2138,1788,1813,350,0,23963,-89.593164,32.56642
MO,0,0,4100,4750,902,5313,13185,4352,3055,3450,3760,915,0,43782,-92.15377,38.437715
MT,0,0,0,2750,1675,4763,3346,600,1423.2,448,805,488,0,16298.2,-111.209708,46.813302
NE,0,0,0,250,325,10875,9015,958,2660,2870,414,675,0,28042,-97.403875,41.183753
NV,0,0,1785,8440,7200,15125,14571.4,6621,3857.92,7989,3570.25,1142,0,70301.57,-116.304648,37.165965
NH,0,0,3300,5500,5197,16682,17324,4100,1514,3742,3798,1478,0,62635,-71.463342,43.153046
NJ,0,0,7766,5400,7818,20528,17600,6609,4139.5,3843,7699,1432.01,0,82834.51,-74.428055,40.438458
NM,0,0,0,1875,1561,12320,7166,3855,2444,2978,2346,1003,0,35548,-106.342108,34.623012
NY,0,0,30500,34278,10780,42614,71748.5,71659,39876.73,15120,7007,3640,0,327223.23,-74.645228,41.507548
