state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.766233,33.001471
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-148.716968,61.288254
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-111.82871,33.373506
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92.576816,35.080251
CA,0,0,1000,2700,0,350,9575,9100,5225,2500,0,0,0,30450,-119.355165,35.458606
CO,0,0,0,500,0,0,0,0,0,0,0,0,0,500,-105.203628,39.500656
CT,0,0,1000,3450,1000,2500,6400,250,0,0,0,0,0,14600,-72.874365,41.494852
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75.561908,39.397164
DC,0,0,500,3700,0,0,0,0,0,0,0,0,0,4200,-77.014001,38.910092
FL,0,0,2950,1100,13750,1000,1500,0,0,1000,0,0,0,21300,-81.634622,27.79585
GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83.868887,33.332208
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-157.524452,21.146768
ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-115.133222,44.242605
IL,0,0,2950,0,0,0,0,0,0,1250,0,0,0,4200,-88.380238,41.278216
IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.261515,40.163935
IA,0,0,0,0,0,0,0,0,1000,0,0,0,0,1000,-93.049161,41.960392
KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-96.536052,38.454303
KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85.241819,37.808159
LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91.457133,30.69927
ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69.719931,44.313614
MD,0,0,1000,1000,0,0,1000,0,0,1000,0,0,0,4000,-76.797396,39.145653
MA,0,0,5400,0,0,0,0,250,0,0,0,0,0,5650,-71.363628,42.271831
MI,0,0,0,500,0,0,0,0,0,0,0,0,0,500,-84.170753,42.866412
MN,0,0,0,0,0,0,0,0,5000,0,0,0,0,5000,-93.583003,45.210782
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89.593164,32.56642
MO,0,0,0,250,0,1000,0,0,0,0,0,0,0,1250,-92.15377,38.437715
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-111.209708,46.813302
NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-97.403875,41.183753
NV,0,0,0,1000,0,0,0,0,0,3000,0,0,0,4000,-116.304648,37.165965
NH,0,0,500,0,0,1000,0,3950,0,0,0,0,0,5450,-71.463342,43.153046
NJ,0,0,8200,35100,0,0,3700,8100,0,0,0,0,0,55100,-74.428055,40.438458
NM,0,0,0,500,0,0,0,0,250,0,0,0,0,750,-106.342108,34.623012
NY,0,0,16350,146166.46,16529.36,33600,41300,28450,3000,1200,0,0,0,286595.82,-74.645228,41.507548
NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79.667654,35.553334
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.334736,47.375168
OH,0,0,0,1250,0,0,0,0,0,0,0,0,0,1250,-82.749366,40.480854
OK,0,0,250,0,0,0,0,0,0,0,0,0,0,250,-96.834653,35.59794
OR,0,0,0,0,0,0,5400,0,0,0,0,0,0,5400,-122.579524,44.732273
PA,0,0,0,0,0,375,0,0,0,250,0,0,0,625,-77.075925,40.463528
RI,0,0,0,0,250,0,0,0,0,0,0,0,0,250,-71.448902,41.753318
SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.032387,34.034551
SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.043799,44.047502
TN,0,0,0,0,0,0,0,1000,0,0,0,0,0,1000,-86.397772,35.795862
TX,0,0,750,1000,0,2000,0,0,2250,0,0,0,0,6000,-97.388631,30.943149
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-111.90016,40.438987
VT,0,0,0,0,0,0,0,0,0,250,0,0,0,250,-72.814309,44.081127
VA,0,0,250,520.16,750,500,8150,0,400,0,0,0,0,10570.16,-77.835857,37.750345
WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-121.624501,47.341728
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.820221,38.767195
WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89.001006,43.728544
WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-107.008835,42.675762
