state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat
AL,0,0,0,0,100,0,50,0,0,0,0,0,0,150,-86.766233,33.001471
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-148.716968,61.288254
AZ,0,0,0,0,250,500,200,0,0,0,0,0,0,950,-111.82871,33.373506
AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92.576816,35.080251
CA,0,0,0,0,14400,8550,7300,4300,3100,500,0,0,0,38150,-119.355165,35.458606
CO,0,0,0,0,3300,0,200,750,0,0,0,0,0,4250,-105.203628,39.500656
CT,0,0,0,0,550,0,300,1259,0,0,0,0,0,2109,-72.874365,41.494852
DE,0,0,0,0,0,0,0,550,0,0,0,0,0,550,-75.561908,39.397164
DC,0,0,0,0,2220,250,3050,1000,0,0,0,0,0,6520,-77.014001,38.910092
FL,0,0,0,0,5250,1500,1550,450,500,0,0,0,0,9250,-81.634622,27.79585
GA,0,0,0,0,1800,50,50,550,0,0,0,0,0,2450,-83.868887,33.332208
HI,0,0,0,0,0,0,4019,150,0,0,0,0,0,4169,-157.524452,21.146768
ID,0,0,0,0,500,0,0,0,0,0,0,0,0,500,-115.133222,44.242605
IL,0,0,0,0,500,2700,1250,0,0,0,0,0,0,4450,-88.380238,41.278216
IN,0,0,0,0,0,0,0,50,0,0,0,0,0,50,-86.261515,40.163935
IA,0,0,0,0,2000,0,1100,0,0,0,0,0,0,3100,-93.049161,41.960392
KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-96.536052,38.454303
KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85.241819,37.808159
LA,0,0,0,0,0,100,0,100,0,0,0,0,0,200,-91.457133,30.69927
ME,0,0,0,0,500,0,100,0,0,0,0,0,0,600,-69.719931,44.313614
MD,0,0,0,0,4200,100,2150,150,0,0,0,0,0,6600,-76.797396,39.145653
MA,0,0,0,0,2400.09,0,450,500,0,0,0,0,0,3350.09,-71.363628,42.271831
MI,0,0,0,0,100,0,1250,0,0,0,0,0,0,1350,-84.170753,42.866412
MN,0,0,0,0,0,0,750,0,0,0,0,0,0,750,-93.583003,45.210782
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89.593164,32.56642
MO,0,0,0,0,0,100,500,50,0,0,0,0,0,650,-92.15377,38.437715
MT,0,0,0,0,0,0,0,0,0,500,0,0,0,500,-111.209708,46.813302
NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-97.403875,41.183753
NV,0,0,0,0,0,0,1250,0,0,0,0,0,0,1250,-116.304648,37.165965
NH,0,0,0,0,1000,0,0,0,0,0,0,0,0,1000,-71.463342,43.153046
NJ,0,0,0,0,1500,0,50,0,0,0,0,0,0,1550,-74.428055,40.438458
NM,0,0,0,0,500,500,0,0,0,0,0,0,0,1000,-106.342108,34.623012
NY,0,0,0,0,11250,50,2175,4575,0,0,0,0,0,18050,-74.645228,41.507548
NC,0,0,0,0,3000,500,1950,2200,0,0,0,0,0,7650,-79.667654,35.553334
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.334736,47.375168
OH,0,0,0,0,600,0,200,100,0,0,0,0,0,900,-82.749366,40.480854
OK,0,0,0,0,500,0,0,0,0,0,0,0,0,500,-96.834653,35.59794
OR,0,0,0,0,3625,1350,1300,2950,0,0,0,0,0,9225,-122.579524,44.732273
PA,0,0,0,0,200,0,850,250,0,0,0,0,0,1300,-77.075925,40.463528
RI,0,0,0,0,250,500,100,100,0,0,0,0,0,950,-71.448902,41.753318
SC,0,0,0,0,1100,0,800,0,100,0,0,0,0,2000,-81.032387,34.034551
SD,0,0,0,0,50,0,50,0,0,0,0,0,0,100,-99.043799,44.047502
TN,0,0,0,0,2000,0,100,0,0,0,0,0,0,2100,-86.397772,35.795862
TX,0,0,0,0,5450,1250,7800,1225,345.16,400,0,0,0,16470.16,-97.388631,30.943149
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-111.90016,40.438987
VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72.814309,44.081127
VA,0,0,0,0,13005,1050,15125,6050,0,1000,0,0,0,36230,-77.835857,37.750345
WA,0,0,0,0,6400,0,2950,400,0,100,0,0,0,9850,-121.624501,47.341728
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.820221,38.767195
WI,0,0,0,0,300,0,750,0,0,0,0,0,0,1050,-89.001006,43.728544
WY,0,0,0,0,0,0,350,0,0,0,0,0,0,350,-107.008835,42.675762
