state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat
AL,0,0,0,0,0,0,350,4425,9600,0,0,0,0,14375,-86.766233,33.001471
AK,0,0,0,0,0,0,500,0,250,0,0,0,0,750,-148.716968,61.288254
AZ,0,0,0,0,0,0,15925,450,5175,0,0,0,0,21550,-111.82871,33.373506
AR,0,0,0,0,0,0,250,0,3750,0,0,0,0,4000,-92.576816,35.080251
CA,0,0,0,0,0,0,257788.37,28000,94725,0,0,0,0,380513.37,-119.355165,35.458606
CO,0,0,0,0,0,0,9925,6561,9420,0,0,0,0,25906,-105.203628,39.500656
CT,0,0,0,0,0,0,5016,15450,21500,0,0,0,0,41966,-72.874365,41.494852
DE,0,0,0,0,0,0,1000,3700,2700,0,0,0,0,7400,-75.561908,39.397164
DC,0,0,0,0,0,0,16023,11770,550,0,0,0,0,28343,-77.014001,38.910092
FL,0,0,0,0,0,0,35252,26050,93350,0,0,0,0,154652,-81.634622,27.79585
GA,0,0,0,0,0,0,8210,3260,11610,0,0,0,0,23080,-83.868887,33.332208
HI,0,0,0,0,0,0,0,0,500,0,0,0,0,500,-157.524452,21.146768
ID,0,0,0,0,0,0,1150,0,0,0,0,0,0,1150,-115.133222,44.242605
IL,0,0,0,0,0,0,110200,18350,55635,0,0,0,0,184185,-88.380238,41.278216
IN,0,0,0,0,0,0,1850,5400,3200,0,0,0,0,10450,-86.261515,40.163935
IA,0,0,0,0,0,0,3200,375,5070,0,0,0,0,8645,-93.049161,41.960392
KS,0,0,0,0,0,0,3100,326,2050,0,0,0,0,5476,-96.536052,38.454303
KY,0,0,0,0,0,0,16500,0,1100,0,0,0,0,17600,-85.241819,37.808159
LA,0,0,0,0,0,0,2100,150,1891,0,0,0,0,4141,-91.457133,30.69927
ME,0,0,0,0,0,0,4050,31,200,0,0,0,0,4281,-69.719931,44.313614
MD,0,0,0,0,0,0,11881,11800,1960,0,0,0,0,25641,-76.797396,39.145653
MA,0,0,0,0,0,0,10910,15965,63695,0,0,0,0,90570,-71.363628,42.271831
MI,0,0,0,0,0,0,51072,27950,114500,0,0,0,0,193522,-84.170753,42.866412
MN,0,0,0,0,0,0,2470,5800,850,0,0,0,0,9120,-93.583003,45.210782
MS,0,0,0,0,0,0,1431,900,27930,0,0,0,0,30261,-89.593164,32.56642
MO,0,0,0,0,0,0,11350,75,1000,0,0,0,0,12425,-92.15377,38.437715
MT,0,0,0,0,0,0,1000,100,300,0,0,0,0,1400,-111.209708,46.813302
NE,0,0,0,0,0,0,100,0,250,0,0,0,0,350,-97.403875,41.183753
NV,0,0,0,0,0,0,6,550,1275,0,0,0,0,1831,-116.304648,37.165965
NH,0,0,0,0,0,0,4476,6175,20370,0,0,0,0,31021,-71.463342,43.153046
NJ,0,0,0,0,0,0,9184,6550,3625,0,0,0,0,19359,-74.428055,40.438458
NM,0,0,0,0,0,0,1000,250,450,0,0,0,0,1700,-106.342108,34.623012
NY,0,0,0,0,0,0,83972,69389,58031,0,0,0,0,211392,-74.645228,41.507548
NC,0,0,0,0,0,0,10050,2250,2560,0,0,0,0,14860,-79.667654,35.553334
ND,0,0,0,0,0,0,526,0,260,0,0,0,0,786,-99.334736,47.375168
OH,0,0,0,0,0,0,904873,182756,453827.35,0,0,0,0,1541456.35,-82.749366,40.480854
OK,0,0,0,0,0,0,6000,350,1000,0,0,0,0,7350,-96.834653,35.59794
OR,0,0,0,0,0,0,3200,325,150,0,0,0,0,3675,-122.579524,44.732273
PA,0,0,0,0,0,0,34550,53611,5925,0,0,0,0,94086,-77.075925,40.463528
RI,0,0,0,0,0,0,3000,0,5400,0,0,0,0,8400,-71.448902,41.753318
SC,0,0,0,0,0,0,2050,6150,8350,0,0,0,0,16550,-81.032387,34.034551
SD,0,0,0,0,0,0,2000,250,650,0,0,0,0,2900,-99.043799,44.047502
TN,0,0,0,0,0,0,12500,4050,9456,0,0,0,0,26006,-86.397772,35.795862
TX,0,0,0,0,0,0,43966,82556,20142,0,0,0,0,146664,-97.388631,30.943149
UT,0,0,0,0,0,0,2700,3000,100,0,0,0,0,5800,-111.90016,40.438987
VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72.814309,44.081127
VA,0,0,0,0,0,0,41390,44682,15485,0,0,0,0,101557,-77.835857,37.750345
WA,0,0,0,0,0,0,4750,4010,2685,0,0,0,0,11445,-121.624501,47.341728
WV,0,0,0,0,0,0,1200,1000,2700,0,0,0,0,4900,-80.820221,38.767195
WI,0,0,0,0,0,0,400,150,2250,0,0,0,0,2800,-89.001006,43.728544
WY,0,0,0,0,0,0,850,300,100,0,0,0,0,1250,-107.008835,42.675762
