state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat
AL,0,0,0,70,85,500,0,25,0,0,0,0,0,680,-86.766233,33.001471
AK,0,0,0,0,0,250,0,0,0,0,0,0,0,250,-148.716968,61.288254
AZ,0,0,0,1250,500,,2700,,2600,0,0,0,0,7050,-111.82871,33.373506
AR,0,0,0,500,0,5400,8000,2700,2600,0,0,0,0,19200,-92.576816,35.080251
CA,0,0,0,177965,18145,10450,32800,15675,3710,10295,0,0,0,269040,-119.355165,35.458606
CO,0,0,0,24400,10825,3700,2775,50,75,125,0,0,0,41950,-105.203628,39.500656
CT,0,0,0,26800,7800,3025,19875,4810,1525,2250,0,0,0,66085,-72.874365,41.494852
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75.561908,39.397164
DC,0,0,0,21650,7000,0,750,0,1800,2250,0,0,0,33450,-77.014001,38.910092
FL,0,0,0,38825,5385,23925,19430,11060,20245,3710,0,0,0,122580,-81.634622,27.79585
GA,0,0,0,20575,2700,5250,2600,0,21748.62,12241.4,0,0,0,65115.02,-83.868887,33.332208
HI,0,0,0,0,150,150,50,0,100,50,0,0,0,500,-157.524452,21.146768
ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-115.133222,44.242605
IL,0,0,0,24450,7600,16960,3650,0,1500,6500,0,0,0,60660,-88.380238,41.278216
IN,0,0,0,0,0,7500,0,0,0,0,0,0,0,7500,-86.261515,40.163935
IA,0,0,0,750,750,850,1200,100,150,1250,0,0,0,5050,-93.049161,41.960392
KS,0,0,0,500,0,0,0,0,0,0,0,0,0,500,-96.536052,38.454303
KY,0,0,0,800,175,450,100,1100,300,200,0,0,0,3125,-85.241819,37.808159
LA,0,0,0,3450,150,200,700,250,225,300,0,0,0,5275,-91.457133,30.69927
ME,0,0,0,0,0,50,80,0,0,0,0,0,0,130,-69.719931,44.313614
MD,0,0,0,16500,3750,9500,250,3810,2000,250,0,0,0,36060,-76.797396,39.145653
MA,0,0,0,9100,65,9220,3480,70105,910,16450,0,0,0,109330,-71.363628,42.271831
MI,0,0,0,10800,75,8185,175,1900,125,75,0,0,0,21335,-84.170753,42.866412
MN,0,0,0,0,3700,0,0,0,0,0,0,0,0,3700,-93.583003,45.210782
MS,0,0,0,750,0,0,2000,750,0,2000,0,0,0,5500,-89.593164,32.56642
MO,0,0,0,0,25,700,175,200,160,305,0,0,0,1565,-92.15377,38.437715
MT,0,0,0,500,0,0,0,0,0,500,0,0,0,1000,-111.209708,46.813302
NE,0,0,0,1000,0,200,525,0,1500,1000,0,0,0,4225,-97.403875,41.183753
NV,0,0,0,1100,0,100,0,0,8200,11050,0,0,0,20450,-116.304648,37.165965
NH,0,0,0,3250,240,2320,5925,2475,560,1135,0,0,0,15905,-71.463342,43.153046
NJ,0,0,0,18300,21825,3780,3680,2450,5435,250,0,0,0,55720,-74.428055,40.438458
NM,0,0,0,0,0,0,0,50,20,0,0,0,0,70,-106.342108,34.623012
NY,0,0,0,118512,95400,17075,47610,16900,59420.07,19950,0,0,0,374867.07,-74.645228,41.507548
NC,0,0,0,48452.08,3700,45810,19610,20260,52365,13550,0,0,0,203747.08,-79.667654,35.553334
ND,0,0,0,0,0,0,0,1000,0,0,0,0,0,1000,-99.334736,47.375168
OH,0,0,0,350,375,7375,8125,1250,0,275,0,0,0,17750,-82.749366,40.480854
OK,0,0,0,3950,0,0,0,0,0,0,0,0,0,3950,-96.834653,35.59794
OR,0,0,0,300,0,0,0,0,0,0,0,0,0,300,-122.579524,44.732273
PA,0,0,0,16025,2900,0,25,8225,50,0,0,0,0,27225,-77.075925,40.463528
RI,0,0,0,0,0,35,25,2700,0,0,0,0,0,2760,-71.448902,41.753318
SC,0,0,0,443212.16,110602.7,163240.08,312518.92,105030,57740,23020,0,0,0,1215363.86,-81.032387,34.034551
SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.043799,44.047502
TN,0,0,0,11295,100,600,100,200,1200,2300,0,0,0,15795,-86.397772,35.795862
TX,0,0,0,48951,21801,2250,5575,4475,56935,22925,0,0,0,162912,-97.388631,30.943149
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-111.90016,40.438987
VT,0,0,0,0,0,0,0,0,0,500,0,0,0,500,-72.814309,44.081127
VA,0,0,0,35375,13050,1225,5750,4575,20125,2600,0,0,0,82700,-77.835857,37.750345
WA,0,0,0,4700,5850,275,2725,0,500,0,0,0,0,14050,-121.624501,47.341728
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.820221,38.767195
WI,0,0,0,0,500,50,200,200,0,0,0,0,0,950,-89.001006,43.728544
WY,0,0,0,250,0,0,0,0,0,0,0,0,0,250,-107.008835,42.675762
