state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat
AL,0,0,0,0,0,0,2700,70.16,20.16,30.16,0,0,0,2820.48,-86.766233,33.001471
AK,0,0,0,0,0,0,0,100,175,700,0,0,0,975,-148.716968,61.288254
AZ,0,0,1000,0,4400,0,0,556.81,310,5810,0,0,0,12076.81,-111.82871,33.373506
AR,0,0,5400,8100,0,0,0,0,2700,3000,0,0,0,19200,-92.576816,35.080251
CA,0,0,43550,79550,12220,29600,41095.16,22415,31140,20131,10529,5660,0,295890.16,-119.355165,35.458606
CO,0,0,6800,32350,1000,500,14041.17,883.07,-215,1755,3958,5250,0,66322.24,-105.203628,39.500656
CT,0,0,100,20200,2700,3200,12200,5975,5475,1400,350,250,0,51850,-72.874365,41.494852
DE,0,0,2900,550,100,0,400,25,650,1250,0,0,0,5875,-75.561908,39.397164
DC,0,0,28770,46072,8845.16,8170.16,15200.16,11070.16,4530.16,1315.16,6600,0,0,130572.96,-77.014001,38.910092
FL,0,0,13535,64815.16,1925,10100,5820.16,10377.53,11500,27325,4950,0,0,150347.85,-81.634622,27.79585
GA,0,0,2700,8450,1000,0,500,0,0,0,500,0,0,13150,-83.868887,33.332208
HI,0,0,0,0,25,3045,5495,95,1175,175,1100,55,0,11165,-157.524452,21.146768
ID,0,0,500,0,0,0,0,0,0,0,0,0,0,500,-115.133222,44.242605
IL,0,0,5400,35250,550,5600,33225,5042,25135,5765,7748,0,0,123715,-88.380238,41.278216
IN,0,0,0,0,5450,35,1110,40,60,375,570,0,0,7640,-86.261515,40.163935
IA,0,0,500,1000,700,2600,7670,1885,11835.7,1240,0,0,0,27430.7,-93.049161,41.960392
KS,0,0,500,500,500,1500,0,0,0,0,250,0,0,3250,-96.536052,38.454303
KY,0,0,47450,23850,2700,0,15250,5292.94,650,18550,325,0,0,114067.94,-85.241819,37.808159
LA,0,0,0,3200,0,0,4900,0,0,250,0,0,0,8350,-91.457133,30.69927
ME,0,0,0,0,0,2700,1000,3875,50,0,250,0,0,7875,-69.719931,44.313614
MD,0,0,317860.48,561249.6,73370,84075,252279.53,60813.9,50643.32,50796.36,75716.8,1950,0,1528754.99,-76.797396,39.145653
MA,0,0,31208.31,54328.08,15200,8050,53585,1920,8985,33390,17230,150,0,224046.39,-71.363628,42.271831
MI,0,0,5400,8150,500,4336,5400,5625,210,240,1270,260,0,31391,-84.170753,42.866412
MN,0,0,6400,175,4460,12850,250,985,1075,0,498,0,0,26693,-93.583003,45.210782
MS,0,0,2700,0,100,100,100,100,100,9700,0,0,0,12900,-89.593164,32.56642
MO,0,0,0,1500,250,2700,0,1700,0,0,2850,0,0,9000,-92.15377,38.437715
MT,0,0,0,0,0,0,250,250,0,0,250,0,0,750,-111.209708,46.813302
NE,0,0,5500,2700,300,100,200,10150,0,1350,100,0,0,20400,-97.403875,41.183753
NV,0,0,0,250,0,2600,2700,50,9450,0,0,0,0,15050,-116.304648,37.165965
NH,0,0,3500,9350,620.16,445.16,9745.16,3326.16,6800.16,1840.16,1413,25,0,37064.96,-71.463342,43.153046
NJ,0,0,5400,18600,3500,1830,4800,475,7675,6650,1880,0,0,50810,-74.428055,40.438458
NM,0,0,0,3200,500,300,550,0,0,250,125,0,0,4925,-106.342108,34.623012
NY,0,0,35550,104450,14900,11400,17175,22345,28979,5503,11055,250,0,251357,-74.645228,41.507548
NC,0,0,2700,1000,250,0,2775,855.25,2310,800,2328,150,0,13168.25,-79.667654,35.553334
ND,0,0,0,250,0,0,0,50,0,0,0,0,0,300,-99.334736,47.375168
OH,0,0,5400,4200,0,0,750,1345,100,3400,1175,0,0,16370,-82.749366,40.480854
OK,0,0,500,0,0,0,1000,0,1000,0,0,0,0,2500,-96.834653,35.59794
OR,0,0,3200,701,0,3000,300,750,550,0,0,0,0,8501,-122.579524,44.732273
PA,0,0,400,28600,25,14685,39274,6375.55,3495,4910,3390,0,0,101154.55,-77.075925,40.463528
RI,0,0,18100,2250,10550,500,0,200,170,0,600,0,0,32370,-71.448902,41.753318
SC,0,0,2700,1250,0,0,0,9065,2745,2050,500,100,0,18410,-81.032387,34.034551
SD,0,0,0,0,0,0,0,0,0,0,0,0,0,50751.42,-99.043799,44.047502
TN,0,0,10800,6660,11800,10616,2300,215.42,410,1750,6200,0,0,152712,-86.397772,35.795862
TX,0,0,7900,19250,1025,3380,5725,10873,69480,6350,19079,9650,0,#REF!,-97.388631,30.943149
UT,0,0,2700,0,0,0,0,0,0,0,0,0,0,2700,-111.90016,40.438987
VT,0,0,0,0,0,0,0,0,250,0,250,0,0,500,-72.814309,44.081127
VA,0,0,17550,45850,1300,1765,32300,10635.16,11349.16,28529.16,14140.16,195,0,163613.64,-77.835857,37.750345
WA,0,0,5400,0,1100,300,500,1110,400,2075,1778,600,0,13263,-121.624501,47.341728
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.820221,38.767195
WI,0,0,2700,800,0,250,1005,150,825,1100,10,500,0,7340,-89.001006,43.728544
WY,0,0,0,0,0,0,0,1000,0,0,0,0,0,1000,-107.008835,42.675762
