state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat
AL,0,0,8650,14000,3925,7475,9269,25118.5,1831,8757,2366,350,0,81741.5,-86.766233,33.001471
AK,0,0,228,500,0,0,1025,0,0,0,0,50,0,1803,-148.716968,61.288254
AZ,0,0,45250,3770,550,2175,3450,1676,560,1410,1006,75,0,59922,-111.82871,33.373506
AR,0,0,119350,199751,13000,43650,36938,9099.6,6257,11030,4966,1799,0,445840.6,-92.576816,35.080251
CA,0,0,89400,22643.1,10750,2234,16120.5,31440,21421,11651,11212,-966,0,215905.6,-119.355165,35.458606
CO,0,0,3450,5850,2114.8,1500,3036,412,1156,1130,839,460,0,19947.8,-105.203628,39.500656
CT,0,0,250,2850,0,872.5,1000,250,530,500,25,116,0,6393.5,-72.874365,41.494852
DE,0,0,0,300,0,1000,0,0,0,0,0,0,0,1300,-75.561908,39.397164
DC,0,0,0,0,0,0,0,0,0,0,250,25,0,275,-77.014001,38.910092
FL,0,0,22150,60540,3050,3080,30760,2812,13212,2908,5467,316,0,144295,-81.634622,27.79585
GA,0,0,5396.5,12700,6261,15587,5278,2675,2951,3082,3753,409,0,58092.5,-83.868887,33.332208
HI,0,0,0,0,0,0,0,0,0,1000,150,50,0,1200,-157.524452,21.146768
ID,0,0,0,1000,150,150,125,175,115,150,516,86,0,2467,-115.133222,44.242605
IL,0,0,500,7089.2,300,1787,1398,1348,1618,1620,2385,355,0,18400.2,-88.380238,41.278216
IN,0,0,3623.5,1050,650,760,691,738,1436,454,1475,301,0,11178.5,-86.261515,40.163935
IA,0,0,5073.21,6500,50,650,743.01,2061,1621,3749,2963,3000,0,26410.22,-93.049161,41.960392
KS,0,0,2000,750,500,1530,1916,405,848,1100,799,360,0,10208,-96.536052,38.454303
KY,0,0,7010,1575,1250,500,1708,931,690,731,981,0,0,15376,-85.241819,37.808159
LA,0,0,9732,35700,175,6000,4325,1161,1000,1445,970,525,0,61033,-91.457133,30.69927
ME,0,0,0,0,0,0,50,360,105,0,195,100,0,810,-69.719931,44.313614
MD,0,0,705.5,1509,100,236,4075,225,575,616,475,100,0,8616.5,-76.797396,39.145653
MA,0,0,2950,875,50,566,987,356,982,3199,417,316,0,10698,-71.363628,42.271831
MI,0,0,1500,650,150,633,1510,396,1043,665,1632,321,0,8500,-84.170753,42.866412
MN,0,0,1996,1310.6,500,1345,976,531,1158,656,633,250,0,9355.6,-93.583003,45.210782
MS,0,0,5450,580.5,250,3600,1075,486,410,675,1005,250,0,13781.5,-89.593164,32.56642
MO,0,0,5325,54455.6,825,1131,5901,1708,11061,11556,795,56,0,92813.6,-92.15377,38.437715
MT,0,0,3600,-900,25,768,849,5550,50,225,250,50,0,10467,-111.209708,46.813302
NE,0,0,1250,275,500,85,355,385,1516,305,830,125,0,5626,-97.403875,41.183753
NV,0,0,270,200,50,500,100,1967,150,6050,0,175,0,9462,-116.304648,37.165965
NH,0,0,0,50,0,0,0,0,100,0,100,0,0,250,-71.463342,43.153046
NJ,0,0,2450,950,1150,700,1001,501,300,3953,512.5,75,0,11592.5,-74.428055,40.438458
NM,0,0,0,625,25,225,550,175,75,2770,755,0,0,5200,-106.342108,34.623012
NY,0,0,37700,53681,17828,7018,6149,761,1693,19482,1385.5,524,0,146221.5,-74.645228,41.507548
NC,0,0,7526,39000,1225,18575.08,2741,2283,1882,1789,2284,536,0,77841.08,-79.667654,35.553334
ND,0,0,0,0,250,0,0,500,50,100,100,25,0,1025,-99.334736,47.375168
OH,0,0,1750,800,300,685,1413,788,1655,1438,1230,467,0,10526,-82.749366,40.480854
OK,0,0,2500,5300,3450,442,797,433,380,2445,746,311,0,16804,-96.834653,35.59794
OR,0,0,3050,300,0,100,378,587,323,424,565,760,0,6487,-122.579524,44.732273
PA,0,0,9305,6250,750,497,3297,726,1347,1253,1584,387,0,25396,-77.075925,40.463528
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.448902,41.753318
SC,0,0,6500,1171,1425,2675,792,1900,860,995,1359,165,0,17842,-81.032387,34.034551
SD,0,0,0,3450,0,0,589,175,455,96,100,0,0,4865,-99.043799,44.047502
TN,0,0,105450,21000,4380,3766,37957,2907,4999,4416,2542,-1369,0,186048,-86.397772,35.795862
TX,0,0,113991.47,59116.4,18167,7593,31694.28,36887,4312,15708,9337,1970,0,298776.15,-97.388631,30.943149
UT,0,0,0,0,0,0,75,50,75,25,50,25,0,300,-111.90016,40.438987
VT,0,0,0,0,0,0,0,100,0,0,0,0,0,100,-72.814309,44.081127
VA,0,0,2124,2466.4,1550,2330,3486,1172.5,2967,1001,1980,651,0,19727.9,-77.835857,37.750345
WA,0,0,950,2300,250,175,1217,1735,1046,1876,976,115,0,10640,-121.624501,47.341728
WV,0,0,0,0,0,0,966,50,150,91,50,0,0,1307,-80.820221,38.767195
WI,0,0,0,500,0,345,1350,425,335,233,225,0,0,3413,-89.001006,43.728544
WY,0,0,0,500,0,0,0,0,0,0,0,0,0,500,-107.008835,42.675762
