state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat
AL,0,0,0,500,100,0,0,0,0,0,0,0,0,600,-86.766233,33.001471
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-148.716968,61.288254
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,350,-111.82871,33.373506
AR,0,0,0,350,0,0,50,0,0,0,0,0,0,50,-92.576816,35.080251
CA,0,0,0,218625,5725,250,-16200,0,0,0,0,0,0,208400,-119.355165,35.458606
CO,0,0,0,15000,1500,3575,50,0,0,0,0,0,0,20125,-105.203628,39.500656
CT,0,0,0,3000,0,0,0,0,0,0,0,0,0,3000,-72.874365,41.494852
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75.561908,39.397164
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.014001,38.910092
FL,0,0,0,73800,0,400,-29700,0,0,0,0,0,0,44500,-81.634622,27.79585
GA,0,0,0,1650,1100,8230,1890,0,0,0,0,0,0,12870,-83.868887,33.332208
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-157.524452,21.146768
ID,0,0,0,2700,0,100,0,0,0,0,0,0,0,2800,-115.133222,44.242605
IL,0,0,0,500,500,0,0,0,0,0,0,0,0,1000,-88.380238,41.278216
IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.261515,40.163935
IA,0,0,0,962.91,0,0,0,0,0,0,0,0,0,962.91,-93.049161,41.960392
KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-96.536052,38.454303
KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85.241819,37.808159
LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91.457133,30.69927
ME,0,0,0,250,0,0,0,0,0,0,0,0,0,250,-69.719931,44.313614
MD,0,0,0,0,0,50,50,0,0,0,0,0,0,100,-76.797396,39.145653
MA,0,0,0,250,0,0,500,0,0,0,0,0,0,750,-71.363628,42.271831
MI,0,0,0,250,0,100,0,0,0,0,0,0,0,350,-84.170753,42.866412
MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93.583003,45.210782
MS,0,0,0,12350.16,0,3950,0,0,0,0,0,0,0,16300.16,-89.593164,32.56642
MO,0,0,0,5750,0,200,-2700,0,0,0,0,0,0,3250,-92.15377,38.437715
MT,0,0,0,0,0,0,1000,0,0,0,0,0,0,1000,-111.209708,46.813302
NE,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-97.403875,41.183753
NV,0,0,0,0,250,0,0,0,0,0,0,0,0,250,-116.304648,37.165965
NH,0,0,0,0,0,200,0,0,0,0,0,0,0,1000,-71.463342,43.153046
NJ,0,0,0,5400,100,0,0,0,0,0,0,0,0,5500,-74.428055,40.438458
NM,0,0,0,500,0,100,0,0,0,0,0,0,0,600,-106.342108,34.623012
NY,0,0,0,7970.96,3475,5154.04,100,0,0,0,0,0,0,16700,-74.645228,41.507548
NC,0,0,0,250,250,1000,55,0,0,0,0,0,0,1555,-79.667654,35.553334
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.334736,47.375168
OH,0,0,0,1000,1100,850,235,0,0,0,0,0,0,3185,-82.749366,40.480854
OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-96.834653,35.59794
OR,0,0,0,1000,1750,50,0,0,0,0,0,0,0,2800,-122.579524,44.732273
PA,0,0,0,1000,25,2700,0,0,0,0,0,0,0,3725,-77.075925,40.463528
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.448902,41.753318
SC,0,0,0,250,0,275,250,0,0,0,0,0,0,775,-81.032387,34.034551
SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.043799,44.047502
TN,0,0,0,5900,1500,500,-50,0,0,0,0,0,0,7850,-86.397772,35.795862
TX,0,0,0,626024.44,28969.92,77335.64,17009.52,0,0,0,0,0,0,749339.52,-97.388631,30.943149
UT,0,0,0,0,0,100,0,0,0,0,0,0,0,100,-111.90016,40.438987
VT,0,0,0,250,0,0,0,0,0,0,0,0,0,250,-72.814309,44.081127
VA,0,0,0,450,0,250,0,0,0,0,0,0,0,700,-77.835857,37.750345
WA,0,0,0,500,6400,25,0,0,0,0,0,0,0,6925,-121.624501,47.341728
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.820221,38.767195
WI,0,0,0,750,500,500,0,0,0,0,0,0,0,1750,-89.001006,43.728544
WY,0,0,0,0,250,250,0,0,0,0,0,0,0,500,-107.008835,42.675762
