state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat
AL,0,0,0,0,0,0,5500,206,200,1300,3702,0,0,10908,-86.766233,33.001471
AK,0,0,0,0,250,0,0,0,0,0,0,0,0,250,-148.716968,61.288254
AZ,0,0,0,5400,0,0,5400,2000,1025,9405.53,54.02,0,0,23284.55,-111.82871,33.373506
AR,0,0,0,0,0,100,100,100,100,100,100,100,0,700,-92.576816,35.080251
CA,0,0,1250,8500,300,6053.8,8950,450,7625.67,2270.16,705.25,125,0,36229.88,-119.355165,35.458606
CO,0,0,2700,3450,250,1000,8400,0,25,145,2700,0,0,18670,-105.203628,39.500656
CT,0,0,2000,0,500,520.16,955.63,560,560,260,20.16,100,0,5475.95,-72.874365,41.494852
DE,0,0,0,0,0,0,0,0,0,0,500,0,0,500,-75.561908,39.397164
DC,0,0,0,0,0,1000,1000,0,0,0,250,0,0,2250,-77.014001,38.910092
FL,0,0,1500,30675,0,6200,12783.61,333.94,3075,2281.98,4514.42,0,0,61363.95,-81.634622,27.79585
GA,0,0,0,5400,0,0,40,25,100,2732.79,150,10,0,8457.79,-83.868887,33.332208
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-157.524452,21.146768
ID,0,0,0,0,0,0,0,160.99,145.99,125,620.16,0,0,1052.14,-115.133222,44.242605
IL,0,0,200,690,3200,750,4450,50,1531.98,50.32,100.16,300,0,11322.46,-88.380238,41.278216
IN,0,0,2600,1000,0,1000,1160,50,75,1650,425,0,0,7960,-86.261515,40.163935
IA,0,0,250,1375,0,150,8899.99,1452.95,2280.99,1960.48,2670,100,0,19139.41,-93.049161,41.960392
KS,0,0,35,2150,0,5,68.33,110,186.99,420.16,510.16,175,0,3660.64,-96.536052,38.454303
KY,0,0,0,1000,0,0,0,0,0,0,0,0,0,1000,-85.241819,37.808159
LA,0,0,2950,10400,0,5500,26400,100,0,2700,1000,0,0,49050,-91.457133,30.69927
ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69.719931,44.313614
MD,0,0,250,6700,0,0,4000,0,250,1100,200,0,0,12500,-76.797396,39.145653
MA,0,0,0,1040,0,0,5400,830,210.1,130,10,0,0,7620.1,-71.363628,42.271831
MI,0,0,0,300,100,50,630,380,121.98,615,170,50,0,2416.98,-84.170753,42.866412
MN,0,0,8250,1000,4000,37.5,3750,3091,566,3466,326,66,0,24552.5,-93.583003,45.210782
MS,0,0,500,0,500,0,0,0,35,0,0,0,0,1035,-89.593164,32.56642
MO,0,0,0,3850,250,603,440,118.5,593.49,80.65,895.16,50,0,6880.8,-92.15377,38.437715
MT,0,0,0,500,300,0,0,0,0,200,0,0,0,1000,-111.209708,46.813302
NE,0,0,0,5300,400,0,0,1100,0,0,0,200,0,7000,-97.403875,41.183753
NV,0,0,0,3650,0,0,5400,0,0,2700,0,0,0,11750,-116.304648,37.165965
NH,0,0,250,0,0,250,0,200,200,325,300,0,0,1525,-71.463342,43.153046
NJ,0,0,0,17150,350,125,235,185,45.16,3661.98,960,0,0,22712.14,-74.428055,40.438458
NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-106.342108,34.623012
NY,0,0,0,7490,1400,2900,6225,940,635,3575,3790.1,25,0,26980.1,-74.645228,41.507548
NC,0,0,0,1818,0,0,0,25,1050,550,652,50,0,4145,-79.667654,35.553334
ND,0,0,0,0,0,0,0,0,0,0,0,333.33,0,333.33,-99.334736,47.375168
OH,0,0,300,1458,6110,155,2575.46,302.69,1800,432.14,725.32,95.99,0,13954.6,-82.749366,40.480854
OK,0,0,0,250,0,200,0,50,0,0,25,25,0,550,-96.834653,35.59794
OR,0,0,0,0,0,0,150,0,0,150,100,0,0,400,-122.579524,44.732273
PA,0,0,26676.42,49780,17990,15513.63,16185,2405,19325,10570,33036.39,3288.93,0,194770.37,-77.075925,40.463528
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.448902,41.753318
SC,0,0,0,20300,2700,113.45,14900,155.99,2200,1750,2200,100,0,44419.44,-81.032387,34.034551
SD,0,0,0,300,0,0,0,0,0,1000,0,0,0,1300,-99.043799,44.047502
TN,0,0,250,14150,1700,175,5800,550,100,4180,-1136.54,0,0,25768.46,-86.397772,35.795862
TX,0,0,22450,148280,18490,2107.6,35850,4335,9083.31,22766.14,10306.15,9270,0,282938.2,-97.388631,30.943149
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-111.90016,40.438987
VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72.814309,44.081127
VA,0,0,9370,27035.16,3500,520,11169.99,1826.96,250,3550.99,2966.31,655.99,0,60845.4,-77.835857,37.750345
WA,0,0,0,0,0,85,2135,-1640,60,560,60,60,0,1320,-121.624501,47.341728
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.820221,38.767195
WI,0,0,0,0,300,46.3,25,275,0,45,225,0,0,916.3,-89.001006,43.728544
WY,0,0,0,5400,0,1000,0,0,0,5400,5400,87.5,0,17287.5,-107.008835,42.675762
