state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat
AL,0,0,0,0,10915,36741,3025,0,0,0,0,0,0,50681,-86.766233,33.001471
AK,0,0,0,0,1250,635,50,0,0,0,0,0,0,1935,-148.716968,61.288254
AZ,0,0,0,0,30245,23188,7125,0,0,0,0,0,0,60558,-111.82871,33.373506
AR,0,0,0,0,5351,17950,10953,0,0,0,0,0,0,34254,-92.576816,35.080251
CA,0,0,0,0,308572.4,98917.5,29923,0,0,0,0,0,0,437412.9,-119.355165,35.458606
CO,0,0,0,0,28325,9732,625,0,0,0,0,0,0,38682,-105.203628,39.500656
CT,0,0,0,0,75101,8900,9120,0,0,0,0,0,0,93121,-72.874365,41.494852
DE,0,0,0,0,750,650,5400,0,0,0,0,0,0,6800,-75.561908,39.397164
DC,0,0,0,0,15525,4620,2273.76,0,0,0,0,0,0,22418.76,-77.014001,38.910092
FL,0,0,0,0,123061,66074,15043,0,0,0,0,0,0,204178,-81.634622,27.79585
GA,0,0,0,0,98145,13781,4538,0,0,0,0,0,0,116464,-83.868887,33.332208
HI,0,0,0,0,5200,3350,450,0,0,0,0,0,0,9000,-157.524452,21.146768
ID,0,0,0,0,8370,3950,1910,0,0,0,0,0,0,14230,-115.133222,44.242605
IL,0,0,0,0,158090,102303,52590,0,0,0,0,0,0,312983,-88.380238,41.278216
IN,0,0,0,0,17969.19,11382.02,6269.43,0,0,0,0,0,0,35620.64,-86.261515,40.163935
IA,0,0,0,0,12325,7400,2195,0,0,0,0,0,0,21920,-93.049161,41.960392
KS,0,0,0,0,5750,1500,100,0,0,0,0,0,0,7350,-96.536052,38.454303
KY,0,0,0,0,4700,2556,150,0,0,0,0,0,0,7406,-85.241819,37.808159
LA,0,0,0,0,12000,11900,100,0,0,0,0,0,0,24000,-91.457133,30.69927
ME,0,0,0,0,4950,0,100,0,0,0,0,0,0,5050,-69.719931,44.313614
MD,0,0,0,0,12826,6258,1500,0,0,0,0,0,0,20584,-76.797396,39.145653
MA,0,0,0,0,38000,8220,5600,0,0,0,0,0,0,51820,-71.363628,42.271831
MI,0,0,0,0,16825,8072,38485,0,0,0,0,0,0,63382,-84.170753,42.866412
MN,0,0,0,0,18435,69878,2315,0,0,0,0,0,0,90628,-93.583003,45.210782
MS,0,0,0,0,1500,350,300,0,0,0,0,0,0,2150,-89.593164,32.56642
MO,0,0,0,0,74075,29865,0,0,0,0,0,0,0,103940,-92.15377,38.437715
MT,0,0,0,0,3500,650,1125,0,0,0,0,0,0,5275,-111.209708,46.813302
NE,0,0,0,0,9000,3000,250,0,0,0,0,0,0,12250,-97.403875,41.183753
NV,0,0,0,0,39300,3600,6300,0,0,0,0,0,0,49200,-116.304648,37.165965
NH,0,0,0,0,8575,18150,675,0,0,0,0,0,0,27400,-71.463342,43.153046
NJ,0,0,0,0,38490,7025,34755,0,0,0,0,0,0,80270,-74.428055,40.438458
NM,0,0,0,0,3075,2200,1105,0,0,0,0,0,0,6380,-106.342108,34.623012
NY,0,0,0,0,129375,30985,30475,0,0,0,0,0,0,190835,-74.645228,41.507548
NC,0,0,0,0,37659,31783,9243,0,0,0,0,0,0,78685,-79.667654,35.553334
ND,0,0,0,0,7200,1100,55,0,0,0,0,0,0,8355,-99.334736,47.375168
OH,0,0,0,0,13165,17100,2880,0,0,0,0,0,0,33145,-82.749366,40.480854
OK,0,0,0,0,19000,9953,6250,0,0,0,0,0,0,35203,-96.834653,35.59794
OR,0,0,0,0,10025,1665,960,0,0,0,0,0,0,12650,-122.579524,44.732273
PA,0,0,0,0,66445,31308,3945,0,0,0,0,0,0,101698,-77.075925,40.463528
RI,0,0,0,0,1400,700,200,0,0,0,0,0,0,2300,-71.448902,41.753318
SC,0,0,0,0,12680,5537,2125,0,0,0,0,0,0,20342,-81.032387,34.034551
SD,0,0,0,0,4300,3453,0,0,0,0,0,0,0,7753,-99.043799,44.047502
TN,0,0,0,0,50525,8668,1488,0,0,0,0,0,0,60681,-86.397772,35.795862
TX,0,0,0,0,206259,58190,55978,0,0,0,0,0,0,320427,-97.388631,30.943149
UT,0,0,0,0,3270,4200,800,0,0,0,0,0,0,8270,-111.90016,40.438987
VT,0,0,0,0,550,363,375,0,0,0,0,0,0,1288,-72.814309,44.081127
VA,0,0,0,0,52547,33751,16609,0,0,0,0,0,0,102907,-77.835857,37.750345
WA,0,0,0,0,37950,17233,2710,0,0,0,0,0,0,57893,-121.624501,47.341728
WV,0,0,0,0,4600,500,250,0,0,0,0,0,0,5350,-80.820221,38.767195
WI,0,0,0,0,558173,369130.25,101301.75,0,0,0,0,0,0,1028605,-89.001006,43.728544
WY,0,0,0,0,9350,6400,400,0,0,0,0,0,0,16150,-107.008835,42.675762
