state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat,name
AL,0,0,18430.16,23475.32,15927.12,83452.64,127631.64,84988.76,84410.24,57971.14,32322.91,48165.42,1452.5,578227.85,-86.827719,32.773329,Alabama
AK,0,0,6650,3410,4305,7793,25190,25617.32,18377,12935,6585,20299.79,2151.6,133313.71,-151.3,64.9,Alaska
AZ,0,0,28990,22534,28171.84,72104.24,104863.56,99692.48,120455.8,60139.92,52311.53,82116.37,7438.18,678817.92,-111.658929,34.294776,Arizona
AR,0,0,6385,6680,10322.32,15428.32,31444.32,27566.64,23983.59,16312.15,13199.32,22518.32,1943.4,175783.38,-92.44427,34.921992,Arkansas
CA,0,0,147951.84,152442.7,176183.55,240881.84,617728.51,392085.38,443123.15,358903.27,205328.02,321230.81,17075.48,3072934.55,-121,37.255299,California
CO,0,0,39500.48,35516.16,28432.12,73395.12,135486.76,110168.28,72802.44,71905.71,45933.4,95709.88,8077.03,716927.38,-105.546087,38.999137,Colorado
CT,0,0,9190,8475,7747.48,20063,26109.28,19694.6,19179,14569.32,12047.16,21571.11,3409,162054.95,-72.737122,41.606924,Connecticut
DE,0,0,2745,3880,2568,5416.16,12126,8711.32,8907.16,5192.48,4141.66,8626.24,180,62494.02,-75.499779,38.993921,Delaware
DC,0,0,1335,1575,457.16,1870,7113,2663,1448,13162.5,899,1453,12,31987.66,-77.018293,38.896097,District of Columbia
FL,0,0,108456,101701.8,83015.54,161968.33,399342.24,267317.35,293341.87,167996.19,129434.82,202854.85,9601.63,1925030.62,-81.5,28.615732,Florida
GA,0,0,46470,74173.6,38662.59,56770.82,158183.96,144597.14,136530.36,60257.66,53167.37,90758.07,5395.86,864967.43,-83.2,32.652474,Georgia
HI,0,0,5995,4120,2895,7345,17866,7054,14288,8489.32,11772.5,8912.32,979,89716.14,-155.4,19.6,Hawaii
ID,0,0,8928.5,10544,8639.48,14742.16,36807.16,34270.16,35550,22505,16327.11,33126.66,2790.5,224230.73,-114,44,Idaho
