state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat,name
AL,0,1100,4250,2183.12,2850.16,2835,10174.4,11018.25,9330.84,15493.31,32146.94,59447.62,57752.54,208582.18,-86.827719,32.773329,Alabama
AK,0,700,5280.16,3135,4178.75,8701.33,14331.4,17690.48,13967.9,23623.46,25763.9,71067.07,91769.83,280209.28,-151.3,64.9,Alaska
AZ,0,6175,24403.65,13902.67,28896.21,29855.79,50188.14,69093.3,45667.28,95026.38,135116.01,269839.22,349029.19,1117192.84,-111.658929,34.294776,Arizona
AR,0,120,4463,2666.64,4230.56,6788.71,6437.14,11462.91,11745.13,19601.68,20179.48,56846.83,55109.87,199651.95,-92.44427,34.921992,Arkansas
CA,0,62812.16,318835.41,388765.99,301440.02,393411.41,639477.31,879470.24,539729.6,1182866.57,1732238.22,3349723.28,4141476.61,13930246.82,-121,37.255299,California
CO,0,9160,30221.63,39913.56,33846.71,42593.28,67480.18,73771.66,72466.51,148100.1,193549.04,383833.17,532013.41,1626949.25,-105.546087,38.999137,Colorado
CT,0,2670,22222.32,27442.81,18497.99,31904.92,51820.48,41450.75,24886.47,70982.17,118097.84,246476.8,306938.81,963391.36,-72.737122,41.606924,Connecticut
DE,0,600,875,994.74,1171.09,1247.17,3048.69,5040.34,4044.03,6973.41,13132.55,27594.22,33544.11,98265.35,-75.499779,38.993921,Delaware
DC,0,5000,9750.52,10159.01,18005.1,18046.75,18421.43,24486.54,14044.67,41980.24,59857.81,131185.1,129442.51,480379.68,-77.018293,38.896097,District of Columbia
FL,0,9195,55868.66,37792.92,46167.75,60291.2,109275.64,151266.67,99093.56,201566.9,279098.83,594136.65,703565.67,2347319.45,-81.5,28.615732,Florida
GA,0,3900,15034,17555.72,11114.13,16432.06,40748.45,40389.09,29402.35,69594.36,97505.04,193721.7,238043.55,773440.45,-83.2,32.652474,Georgia
HI,0,1600,7700,7286,13408.7,10895.85,16154.27,22352.8,14932.16,32651.18,46165.7,96797.22,127640.39,397584.27,-155.4,19.6,Hawaii
ID,0,550,1953.17,3659.53,3669.84,4624.58,6875.08,8814.47,11269.77,16490.53,23753.27,51061.45,69432.73,202154.42,-114,44,Idaho
IL,0,11086,44347.59,51246.89,50962.54,98658.23,104601.97,109464.51,93618.66,208899.36,303261.14,588419.15,765867.46,2430433.5,-89.202674,40.061203,Illinois
IN,0,2000,6887,9588.81,7740.83,10319,20561.32,25673.87,23978.01,50822.52,61467.39,135531.15,175643.24,530213.14,-86,39.902306,Indiana
IA,0,450,4391,11554.58,11030.1,8176.71,21833.75,26755.1,20163.63,42257.39,35992.11,141631.63,139489.53,463725.53,-93.506079,42.083992,Iowa
KS,0,600,6580.32,6367.42,6553.67,6486.86,12516.61,15935.6,14586.72,27276.82,33662.87,80247.96,114508.4,325323.25,-98.380047,38.482145,Kansas
KY,0,2260,3603.17,3920.24,4439.02,5143.11,12345.41,18486.51,13626.14,29357.7,45283.81,97553.43,116216.99,352235.53,-84.7,37.513983,Kentucky
LA,0,1200,2370.16,2339.74,9132.49,5896.86,11859.22,14116.36,9029.59,21049.91,29426.92,64526.7,87404.58,258352.53,-91.956502,31.048572,Louisiana
ME,0,1600,11010.16,13009.7,10145.99,7263.05,21766.25,18593.77,16531.22,45415.69,73102.62,141805.93,197550.18,557794.56,-69.217654,45.336854,Maine
MD,0,3450,30815.5,33126.07,25231.4,36085.84,70290.57,64934.86,53808.85,113069.8,173819.93,369887.79,422066.54,1396587.15,-76.768453,39.032646,Maryland
