state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat,name
AL,0,0,0,0,2500,0,0,0,259,0,0,0,0,2759,-86.827719,32.773329,Alabama
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-151.3,64.9,Alaska
AZ,0,0,0,5900,2950,0,0,40,25,0,0,0,0,8915,-111.658929,34.294776,Arizona
AR,0,0,0,2700,0,0,0,1250,0,0,0,0,0,3950,-92.44427,34.921992,Arkansas
CA,0,0,0,5000,4200,1250,6150,370.16,5761.1,0,0,0,0,22731.26,-121,37.255299,California
CO,0,0,0,5650,350,1000,0,0,0,0,0,0,0,7000,-105.546087,38.999137,Colorado
CT,0,0,0,2700,0,0,0,0,0,0,0,0,0,2700,-72.737122,41.606924,Connecticut
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75.499779,38.993921,Delaware
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.018293,38.896097,District of Columbia
FL,0,0,0,11950,0,0,6100,2700,11300,0,0,0,0,32050,-81.5,28.615732,Florida
GA,0,0,0,1750,500,0,300,800,250,0,0,0,0,3600,-83.2,32.652474,Georgia
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-155.4,19.6,Hawaii
ID,0,0,0,250,300,250,150,0,100,0,0,0,0,1050,-114,44,Idaho
IL,0,0,0,0,0,0,0,100,5400,0,0,0,0,5500,-89.202674,40.061203,Illinois
IN,0,0,0,500,0,0,250,2700,0,0,0,0,0,3450,-86,39.902306,Indiana
IA,0,0,0,0,250,500,3670.16,900,1100,0,0,0,0,6420.16,-93.506079,42.083992,Iowa
KS,0,0,0,250,0,0,0,0,0,0,0,0,0,250,-98.380047,38.482145,Kansas
KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84.7,37.513983,Kentucky
LA,0,0,0,378600,73000,168699,164240.32,69150,45400,0,0,0,0,899089.32,-91.956502,31.048572,Louisiana
ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69.217654,45.336854,Maine
MD,0,0,0,3150,750,2700,0,350,2700,0,0,0,0,9650,-76.768453,39.032646,Maryland
MA,0,0,0,250,0,0,0,0,0,0,0,0,0,250,-71.733952,42.237892,Massachusetts
MI,0,0,0,250,0,0,250,0,10800,0,0,0,0,11300,-84.5,43,Michigan
MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-94.296494,46,Minnesota
MS,0,0,0,5400,0,8100,0,0,0,0,0,0,0,13500,-89.661244,32.767379,Mississippi
MO,0,0,0,5650,5400,250,260,250,0,0,0,0,0,11810,-92.480117,38.379759,Missouri
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-109.657143,47.048656,Montana
NE,0,0,0,0,300,0,0,0,0,0,0,0,0,300,-99.813973,41.523428,Nebraska
NV,0,0,0,0,250,0,0,0,0,0,0,0,0,250,-116.649615,39.347228,Nevada
NH,0,0,0,1000,0,0,250,0,0,0,0,0,0,1250,-71.563059,43.69196,New Hampshire
NJ,0,0,0,0,250,0,100,3200,2700,0,0,0,0,6250,-74.669503,40.205609,New Jersey
NM,0,0,0,0,500,0,0,0,0,0,0,0,0,500,-106.087356,34.416615,New Mexico
NY,0,0,0,5650,5400,0,770.16,45.16,20311.1,0,0,0,0,32176.42,-75.502933,42.927867,New York
NC,0,0,0,1800,350,100,5510,10800,-2675,0,0,0,0,15885,-79.251255,35.536226,North Carolina
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100.483902,47.461886,North Dakota
OH,0,0,0,250,2500,0,250,370.16,50,0,0,0,0,3420.16,-82.5,40,Ohio
OK,0,0,0,500,500,0,100,5938,105,0,0,0,0,7143,-97.502839,35.58171,Oklahoma
OR,0,0,0,0,100,125,45.16,0,0,0,0,0,0,270.16,-120.537708,43.944367,Oregon
PA,0,0,0,1500,0,0,420.16,150,2825,0,0,0,0,4895.16,-77.807272,40.874089,Pennsylvania
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.531002,41.682406,Rhode Island
SC,0,0,0,1000,750,0,230.16,35,46.1,0,0,0,0,2061.26,-80.883023,33.900651,South Carolina
SD,0,0,0,500,0,0,0,0,0,0,0,0,0,500,-100.22772,44.44542,South Dakota
TN,0,0,0,750,100,100,100,0,0,0,0,0,0,1050,-86.322209,35.838538,Tennessee
TX,0,0,0,21250,1950,7450,4282,8528,1200,0,0,0,0,44660,-98.5,31.3,Texas
UT,0,0,0,0,0,0,0,250,0,0,0,0,0,250,-111.669552,39.329209,Utah
VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72.662015,44.07374,Vermont
VA,0,0,0,9866,1100,1200,200,7100,0,0,0,0,0,19466,-78.810097,37.507621,Virginia
WA,0,0,0,250,3300,1250,50,370.16,1011.1,0,0,0,0,6231.26,-120.398462,47.380244,Washington
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.610605,38.644907,West Virginia
WI,0,0,0,0,5400,0,0,11800,14800,0,0,0,0,32000,-89.7,44.5,Wisconsin
WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-107.553549,43.027008,Wyoming
