state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat,name
AL,0,0,0,0,1025,7820,6290,5611,2513,3546,3526,963,0,31294,-86.827719,32.773329,Alabama
AK,0,0,13,221,250,4124,3100,725,971.5,2091,1300,413,0,13208.5,-151.3,64.9,Alaska
AZ,0,0,14345,3500,3781,30086,73290,11501.5,4482,9463,5361,1273,0,157082.5,-111.658929,34.294776,Arizona
AR,0,0,0,300,191,3591,7721,1708,1464.5,659,1046,270,0,16950.5,-92.44427,34.921992,Arkansas
CA,0,0,72321,313205,68359,216589.25,379874.71,112570.16,70325.3,62345,34380,15870,0,1345839.42,-121,37.255299,California
CO,0,0,13625,22550,13156,40026,24853,39219,14618.65,37743,14704,3015,0,223509.65,-105.546087,38.999137,Colorado
CT,0,0,3450,11350,4525,18200,23663,11411,2000.95,4145,4585,1309,0,84638.95,-72.737122,41.606924,Connecticut
DE,0,0,0,0,150,7710,3195,3202,831,-1400,525,200,0,14413,-75.499779,38.993921,Delaware
DC,0,0,0,3050,0,14050,4600,1850,1350,500,125,225,0,25750,-77.018293,38.896097,District of Columbia
FL,0,0,5435,46476,23235,114395,115813.35,31384,23258.23,30879,14839.5,7013,0,412728.08,-81.5,28.615732,Florida
GA,0,0,5700,8575,6953,46870,44005.5,13054,6598.41,12727,6972,2442,0,153896.91,-83.2,32.652474,Georgia
HI,0,0,125,2922,2559,5328,6955,912,634,1509,384,414,0,21742,-155.4,19.6,Hawaii
ID,0,0,250,2975,1234,9729,11132,1627,929,854,1077,1033,0,30840,-114,44,Idaho
IL,0,0,4218,6800,3675,35052,41750,14849,17359.5,10228,6553,1953,0,142437.5,-89.202674,40.061203,Illinois
IN,0,0,400,2000,700,10888,9461,5170,3977,1753,3085,932,0,38366,-86,39.902306,Indiana
IA,0,0,200,4450,2050,13709.17,21414,2254.23,3620,-405,2459,913,0,50664.4,-93.506079,42.083992,Iowa
KS,0,0,4050,2113,3225,5900,8336.75,2020,2497.1,1126,2063,663,0,31993.85,-98.380047,38.482145,Kansas
KY,0,0,1300,0,1647,6273,7400,1467,1644,1190,813,416,0,22150,-84.7,37.513983,Kentucky
LA,0,0,6300,2550,20547.82,12922,10529,7409,2341,3861,3452,690,0,70601.82,-91.956502,31.048572,Louisiana
ME,0,0,600,2100,3188,28225,18867,4123,3663,1400,1558,275,0,63999,-69.217654,45.336854,Maine
MD,0,0,2900,3050,814,18676,25578.5,6259,5715.75,5194,4119,1728,0,74034.25,-76.768453,39.032646,Maryland
MA,0,0,800,7325,1955,23350,28591,33109,5095.75,6055,3301.73,1625,0,111207.48,-71.733952,42.237892,Massachusetts
MI,0,0,2250,7175,2473,18679,23637,8144,7935,23530,5116,2377,0,101316,-84.5,43,Michigan
MN,0,0,300,3000,4175,13372,16331,4669,4088,4771,-2691,1352,0,49367,-94.296494,46,Minnesota
MS,0,0,5450,3800,175,2800,2324,3325,2138,1788,1813,350,0,23963,-89.661244,32.767379,Mississippi
MO,0,0,4100,4750,902,5313,13185,4352,3055,3450,3760,915,0,43782,-92.480117,38.379759,Missouri
MT,0,0,0,2750,1675,4763,3346,600,1423.2,448,805,488,0,16298.2,-109.657143,47.048656,Montana
NE,0,0,0,250,325,10875,9015,958,2660,2870,414,675,0,28042,-99.813973,41.523428,Nebraska
NV,0,0,1785,8440,7200,15125,14571.4,6621,3857.92,7989,3570.25,1142,0,70301.57,-116.649615,39.347228,Nevada
NH,0,0,3300,5500,5197,16682,17324,4100,1514,3742,3798,1478,0,62635,-71.563059,43.69196,New Hampshire
NJ,0,0,7766,5400,7818,20528,17600,6609,4139.5,3843,7699,1432.01,0,82834.51,-74.669503,40.205609,New Jersey
NM,0,0,0,1875,1561,12320,7166,3855,2444,2978,2346,1003,0,35548,-106.087356,34.416615,New Mexico
NY,0,0,30500,34278,10780,42614,71748.5,71659,39876.73,15120,7007,3640,0,327223.23,-75.502933,42.927867,New York
NC,0,0,840,2360,5262,22766,43821.16,10973,9261.7,5358,6126,2679,0,109446.86,-79.251255,35.536226,North Carolina
ND,0,0,0,500,600,525,1500,675,150,225,263,213,0,4651,-100.483902,47.461886,North Dakota
OH,0,0,4500,3750,6141,20694,21275,5778,4592,7284.6,6971,2589.49,0,83575.09,-82.5,40,Ohio
OK,0,0,2760,11043,2676,21194,32326.5,9041,14338,9403,-475,1848,0,104154.5,-97.502839,35.58171,Oklahoma
OR,0,0,275,1600,1120,6648,8031,3864,4219,3239,2926,1802,0,33724,-120.537708,43.944367,Oregon
PA,0,0,7172.78,44575,1675,31445,111576,69611.37,4536.7,8032.58,7401.42,4505,0,290530.85,-77.807272,40.874089,Pennsylvania
RI,0,0,0,0,100,150,3415,309,300,613,600,400,0,5887,-71.531002,41.682406,Rhode Island
SC,0,0,650,1600,859,20875.76,16864,6883,7758,10110,5947,1570,0,73116.76,-80.883023,33.900651,South Carolina
SD,0,0,0,0,375,3625,3125,715,540,1205,350,175,0,10110,-100.22772,44.44542,South Dakota
TN,0,0,850,3700,1388,27185,19413.25,5819,4349.16,3276,3186,2509,0,71675.41,-86.322209,35.838538,Tennessee
TX,0,0,24814,41008.99,36945.31,172031,211763.2,35884,29934.98,30273,19912.08,10126,0,612692.56,-98.5,31.3,Texas
UT,0,0,500,7819,2650,10875,22636,16470.1,20329,4056,2934,1311,0,89580.1,-111.669552,39.329209,Utah
VT,0,0,0,0,200,1200,1475,100,863,175,275,150,0,4438,-72.662015,44.07374,Vermont
VA,0,0,13575,27625,6381,53076,96756.25,30722.16,15135.97,9383,9447,3745,0,265846.38,-78.810097,37.507621,Virginia
WA,0,0,5308,9815,3325,31248,38420.5,12741,8628.5,10577,7578,3357,0,130998,-120.398462,47.380244,Washington
WV,0,0,0,500,175,1350,308,550,650,175,125,125,0,3958,-80.610605,38.644907,West Virginia
WI,0,0,1500,1550,1150,8950,15693,12508,23734,2111,2749,1263,0,71208,-89.7,44.5,Wisconsin
WY,0,0,300,300,75,4189,7952.35,1150,845.7,1800,1223,238,0,18073.05,-107.553549,43.027008,Wyoming
