state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat,name
AL,0,0,0,0,0,0,0,20,350,875,1275,1125,0,3645,-86.827719,32.773329,Alabama
AK,0,0,0,0,0,0,0,100,0,200,0,0,0,300,-151.3,64.9,Alaska
AZ,0,0,0,0,3950,500,1100,250,42200,8050,1650,150,0,57850,-111.658929,34.294776,Arizona
AR,0,0,0,0,5400,0,3200,2700,5400,5400,500,0,0,22600,-92.44427,34.921992,Arkansas
CA,0,0,0,0,43150,16400,42900,55600,73625,167025,29391,6575,0,434666,-121,37.255299,California
CO,0,0,0,0,8630,0,3200,18109,10125,1175,8900,14400,0,64539,-105.546087,38.999137,Colorado
CT,0,0,0,0,25330,10940.38,65529.62,28300,58100,20425,11425,13275,0,233325,-72.737122,41.606924,Connecticut
DE,0,0,0,0,3200,0,250,100,1500,0,675,50,0,5775,-75.499779,38.993921,Delaware
DC,0,0,0,0,6900,8600,9600,750,3550,11350,4350,50,0,45150,-77.018293,38.896097,District of Columbia
FL,0,0,0,0,66000,27900,29500,12453,25700,87350,13626.25,7300,0,269829.25,-81.5,28.615732,Florida
GA,0,0,0,0,2100,2600,10303,2750,3325,6325,2775,4950,0,35128,-83.2,32.652474,Georgia
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-155.4,19.6,Hawaii
ID,0,0,0,0,0,0,0,0,0,0,2871,200,0,3071,-114,44,Idaho
IL,0,0,0,0,13800,16450,44000,22913,1110,4725,34725,8650,0,146373,-89.202674,40.061203,Illinois
IN,0,0,0,0,0,0,1000,17200,500,1525,4300,0,0,24525,-86,39.902306,Indiana
IA,0,0,0,0,0,0,7425,1000,2700,3000,38850,5650,0,58625,-93.506079,42.083992,Iowa
KS,0,0,0,0,5400,0,0,50,125,50,100,2750,0,8475,-98.380047,38.482145,Kansas
KY,0,0,0,0,0,0,0,0,0,5200,200,150,0,5550,-84.7,37.513983,Kentucky
LA,0,0,0,0,0,2700,0,0,0,0,1000,0,0,3700,-91.956502,31.048572,Louisiana
ME,0,0,0,0,250,0,500,5400,1600,400,300,250,0,8700,-69.217654,45.336854,Maine
MD,0,0,0,0,9850,82550,31503,7255,4425,28100,60600,10400,0,234683,-76.768453,39.032646,Maryland
MA,0,0,0,0,17050,28700,46570,21350,7850,17300,1875,15425,0,156120,-71.733952,42.237892,Massachusetts
MI,0,0,0,0,4200,2700,500,50,3200,5325,5400,250,0,21625,-84.5,43,Michigan
MN,0,0,0,0,5225,3950,25800,103,500,400,1250,3900,0,41128,-94.296494,46,Minnesota
MS,0,0,0,0,500,3200,0,0,0,0,0,0,0,3700,-89.661244,32.767379,Mississippi
MO,0,0,0,0,5400,0,21700,35700,5000,1701,-2555,3815,0,70761,-92.480117,38.379759,Missouri
MT,0,0,0,0,750,0,0,0,900,1700,50,0,0,3400,-109.657143,47.048656,Montana
NE,0,0,0,0,0,0,0,0,0,0,3000,0,0,3000,-99.813973,41.523428,Nebraska
NV,0,0,0,0,2800,350,200,500,5900,4000,900,500,0,15150,-116.649615,39.347228,Nevada
NH,0,0,0,0,0,1500,6500,300,800,9400,9325,8095.16,0,35920.16,-71.563059,43.69196,New Hampshire
NJ,0,0,0,0,1022405,537700,635556.13,248086,216070,613385,215953.22,106778.88,0,3595934.23,-74.669503,40.205609,New Jersey
NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-106.087356,34.416615,New Mexico
NY,0,0,0,0,111450,115520,163311,38375,85575,191475,77356,52725,0,835787,-75.502933,42.927867,New York
NC,0,0,0,0,500,0,5900,3150,2195,1050,6500,200,0,19495,-79.251255,35.536226,North Carolina
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100.483902,47.461886,North Dakota
OH,0,0,0,0,0,0,300,200,400,4600,350,350,0,6200,-82.5,40,Ohio
OK,0,0,0,0,0,500,0,650,175,150,650,0,0,2125,-97.502839,35.58171,Oklahoma
OR,0,0,0,0,6400,1000,0,0,100,150,550,250,0,8450,-120.537708,43.944367,Oregon
PA,0,0,0,0,48375,38750,26500,4475,67500,80050,93801,27990,0,387441,-77.807272,40.874089,Pennsylvania
RI,0,0,0,0,0,0,5400,0,1000,500,775,0,0,7675,-71.531002,41.682406,Rhode Island
SC,0,0,0,0,0,0,1750,400,1200,4100,1150,450,0,9050,-80.883023,33.900651,South Carolina
SD,0,0,0,0,0,0,0,0,0,500,0,0,0,500,-100.22772,44.44542,South Dakota
TN,0,0,0,0,10800,10600,9650,0,500,3200,4325,2800,0,41875,-86.322209,35.838538,Tennessee
TX,0,0,0,0,55900,17845,128450,7725,7350,6975,30685,8275,0,263205,-98.5,31.3,Texas
UT,0,0,0,0,0,0,0,200,0,-1400,100,2700,0,1600,-111.669552,39.329209,Utah
VT,0,0,0,0,1000,0,0,500,0,0,0,0,0,1500,-72.662015,44.07374,Vermont
VA,0,0,0,0,31850,17520,46090,18250,4849,35965,10301,22475,0,187300,-78.810097,37.507621,Virginia
WA,0,0,0,0,500,0,2700,250,400,175,250,50,0,4325,-120.398462,47.380244,Washington
WV,0,0,0,0,0,0,0,0,500,0,2000,0,0,2500,-80.610605,38.644907,West Virginia
WI,0,0,0,0,0,0,1000,0,1250,0,5400,3050,0,10700,-89.7,44.5,Wisconsin
WY,0,0,0,0,2901,0,0,2700,0,0,2700,0,0,8301,-107.553549,43.027008,Wyoming
