state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat,name
AL,0,0,0,49150,15855,95700,42200,7300,27664,9335,5110,2635,0,254949,-86.827719,32.773329,Alabama
AK,0,0,0,2700,500,250,2700,275,389,325,350,50,0,7539,-151.3,64.9,Alaska
AZ,0,0,0,117325,17000,15910,38950,93860,13330,18595,2235,-40,0,317165,-111.658929,34.294776,Arizona
AR,0,0,0,15500,0,5750,116451,20710,2800,0,825,-11625,0,150411,-92.44427,34.921992,Arkansas
CA,0,0,0,754755,744318,612238.4,350409,323707.5,111959,240999,50354.33,-6716.4,0,3182023.83,-121,37.255299,California
CO,0,0,0,51675,21350,74050,33775,68976,12131,1560,5070,-2690,0,265897,-105.546087,38.999137,Colorado
CT,0,0,0,494250,123950,80350,94300,128347,53128,40311,15486,2,0,1030124,-72.737122,41.606924,Connecticut
DE,0,0,0,13050,1050,4050,450,200,1750,0,0,500,0,21050,-75.499779,38.993921,Delaware
DC,0,0,0,326000,73400,66638.1,157675,74662,12791.5,31899,12015.2,1391,0,756471.8,-77.018293,38.896097,District of Columbia
FL,0,0,0,2476468.95,504165,574554.4,988143,393489.5,385702,328329.08,545434.5,32351.76,0,6228638.19,-81.5,28.615732,Florida
GA,0,0,0,311506,34170,200374,91562,31161,28171,35557,27694,4390,0,764585,-83.2,32.652474,Georgia
HI,0,0,0,0,450,3300,1450,50,50,550,800,100,0,6750,-155.4,19.6,Hawaii
ID,0,0,0,8100,815,2300,14240,150,3150,250,430,3040,0,32475,-114,44,Idaho
IL,0,0,0,284820,49880,33285,60910,85415,23395,15225,21235,-6175,0,567990,-89.202674,40.061203,Illinois
IN,0,0,0,88850,15450,17040,104350,132922.55,-866,1275,1905,-22068,0,338858.55,-86,39.902306,Indiana
IA,0,0,0,21150,7800,4380,13305,4036,3850,7777,3410,-1235,0,64473,-93.506079,42.083992,Iowa
KS,0,0,0,41950,10300,1825,3200,1175,2776,156,1931,841,0,64154,-98.380047,38.482145,Kansas
KY,0,0,0,20150,3950,10546,6552,14451,3142,2751,4883,5852,0,72277,-84.7,37.513983,Kentucky
LA,0,0,0,65350,124350,14806.5,27350,41850,26600,90675,5955,-3283,0,393653.5,-91.956502,31.048572,Louisiana
ME,0,0,0,87400,39300,500,960,1100,3350,950,710,640,0,134910,-69.217654,45.336854,Maine
MD,0,0,0,172800,23850,53380,82390,51911,35926,25005,5433.4,12779.88,0,463475.28,-76.768453,39.032646,Maryland
MA,0,0,0,116150,42560,60850,89800,26515,9730,20225,18802,12923,0,397555,-71.733952,42.237892,Massachusetts
MI,0,0,0,332650,30650,16050,63950,377743.5,72887,13904,19333,-14718,0,912449.5,-84.5,43,Michigan
MN,0,0,0,46900,28050,8300,20750,8460,54381,38901,2255,-955,0,207042,-94.296494,46,Minnesota
MS,0,0,0,65400,14650,21130.3,13450,7750,18030,51300,1706,2585,0,196001.3,-89.661244,32.767379,Mississippi
MO,0,0,0,38650,7053,1825,191510,11701,3351,7086,1961,7691,0,270828,-92.480117,38.379759,Missouri
MT,0,0,0,7150,17000,4275,125,550,3250,25,800,100,0,33275,-109.657143,47.048656,Montana
NE,0,0,0,5400,1100,375,15594.31,3850,3325,1000,302,1225,0,32171.31,-99.813973,41.523428,Nebraska
NV,0,0,0,75300,50800,20320,51650,6800,13210,13975,8375,2135,0,242565,-116.649615,39.347228,Nevada
NH,0,0,0,27000,14650,2325,7850,7775,1645,3000,13310,575,0,78130,-71.563059,43.69196,New Hampshire
NJ,0,0,0,278300,329775,66985,48800,36382,56575,30645,86998,10633,0,945093,-74.669503,40.205609,New Jersey
NM,0,0,0,10350,1450,3950,1325,2001,1225,1500,1260,1100,0,24161,-106.087356,34.416615,New Mexico
NY,0,0,0,1245200,735876,424565,431704.54,278989.77,171195,155812,44460,1505,0,3489307.31,-75.502933,42.927867,New York
NC,0,0,0,135800,10825,162955,39927.6,22067,58125,6869,7531.85,5836,0,449936.45,-79.251255,35.536226,North Carolina
ND,0,0,0,500,5450,1025,350,25,3000,0,0,881,0,11231,-100.483902,47.461886,North Dakota
OH,0,0,0,43550,50505,57260,28135,7840,7475,12425,3610,3455,0,214255,-82.5,40,Ohio
OK,0,0,0,101950,10550,8624,66200,3800,3885,2750,2335,2592,0,202686,-97.502839,35.58171,Oklahoma
OR,0,0,0,71750,16575,4100,75850,3275,3450,575,4300,542,0,180417,-120.537708,43.944367,Oregon
PA,0,0,0,55600,26275,18318,81030,55106,153101,24586,14815,1732,0,430563,-77.807272,40.874089,Pennsylvania
RI,0,0,0,38800,3200,10800,2700,2800,-2600,300,-200,460,0,56260,-71.531002,41.682406,Rhode Island
SC,0,0,0,62660.32,44050,24195,20067.76,14181,4600,12005,50070,76786,0,308615.08,-80.883023,33.900651,South Carolina
SD,0,0,0,1250,3700,543.21,0,0,1000,0,100,500,0,7093.21,-100.22772,44.44542,South Dakota
TN,0,0,0,305700,77775,147177.6,86575,38005,45167,7635,1380,-2153,0,707261.6,-86.322209,35.838538,Tennessee
TX,0,0,0,1152245,198589,408363.84,524637.5,370760,333702.5,184552,253416,-36643.25,0,3389622.59,-98.5,31.3,Texas
UT,0,0,0,28350,10850,120411.66,11250,-5508.33,629,934,-3314,-26030,0,137572.33,-111.669552,39.329209,Utah
VT,0,0,0,2950,5500,250,400,0,200,0,950,875,0,11125,-72.662015,44.07374,Vermont
VA,0,0,0,497285,116896.5,185032.93,284914.83,116830.16,38041.62,51981.62,27658.12,11546,0,1330186.78,-78.810097,37.507621,Virginia
WA,0,0,0,69800,21100,27475,95475,7845,4750,4725,1965,-7764,0,225371,-120.398462,47.380244,Washington
WV,0,0,0,1500,350,2700,2500,500,1000,0,50,138,0,8738,-80.610605,38.644907,West Virginia
WI,0,0,0,14100,5200,7450,43650,24450,20850,5700,2435,-10825,0,113010,-89.7,44.5,Wisconsin
WY,0,0,0,4450,11300,2950,250,2000,650,2200,525,2900,0,27225,-107.553549,43.027008,Wyoming
