state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat,name
AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86.827719,32.773329,Alabama
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-151.3,64.9,Alaska
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-111.658929,34.294776,Arizona
AR,0,0,0,0,0,1250,600,0,100,900,500,0,0,3350,-92.44427,34.921992,Arkansas
CA,0,0,0,1100,1772,1250,130,570,1720,845,3927,1935,0,13249,-121,37.255299,California
CO,0,0,0,350,,250,0,0,100,250,0,0,0,950,-105.546087,38.999137,Colorado
CT,0,0,0,850,500,1825,0,0,150,,100,650,0,4075,-72.737122,41.606924,Connecticut
DE,0,0,0,0,0,0,230,0,0,0,250,250,0,730,-75.499779,38.993921,Delaware
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.018293,38.896097,District of Columbia
FL,0,0,0,1500,495,275,50,25,125,25,275,,0,2770,-81.5,28.615732,Florida
GA,0,0,0,250,250,50,100,30,900,177,1585,250,0,3592,-83.2,32.652474,Georgia
HI,0,0,0,0,0,0,0,0,0,0,0,250,0,250,-155.4,19.6,Hawaii
ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-114,44,Idaho
IL,0,0,0,1600,3000,100,100,350,600,100,450,100,0,6400,-89.202674,40.061203,Illinois
IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,39.902306,Indiana
IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93.506079,42.083992,Iowa
KS,0,0,0,250,0,0,0,100,50,0,350,0,0,750,-98.380047,38.482145,Kansas
KY,0,0,0,500,0,250,0,0,0,0,0,250,0,1000,-84.7,37.513983,Kentucky
LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91.956502,31.048572,Louisiana
ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69.217654,45.336854,Maine
MD,0,0,0,500,350,2900,0,0,0,300,350,0,0,4400,-76.768453,39.032646,Maryland
MA,0,0,0,1250,1200,550,0,0,870,0,2500,15,0,6385,-71.733952,42.237892,Massachusetts
MI,0,0,0,1000,500,0,300,250,100,200,1039,0,0,3389,-84.5,43,Michigan
MN,0,0,0,250,300,350,400,100,200,200,1265,350,0,3415,-94.296494,46,Minnesota
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89.661244,32.767379,Mississippi
MO,0,0,0,0,0,216,0,0,250,250,500,75,0,1291,-92.480117,38.379759,Missouri
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-109.657143,47.048656,Montana
NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.813973,41.523428,Nebraska
NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-116.649615,39.347228,Nevada
NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.563059,43.69196,New Hampshire
NJ,0,0,0,100,350,250,200,0,600,350,400,0,0,2250,-74.669503,40.205609,New Jersey
NM,0,0,0,0,0,0,100,100,0,350,100,0,0,650,-106.087356,34.416615,New Mexico
NY,0,0,0,6560,2460,10,10,250,115,100,1210,1193,0,11908,-75.502933,42.927867,New York
NC,0,0,0,300,100,570,700,20,300,405,543,200,0,3138,-79.251255,35.536226,North Carolina
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100.483902,47.461886,North Dakota
OH,0,0,0,240,250,250,0,0,0,350,350,0,0,1440,-82.5,40,Ohio
OK,0,0,0,100,100,100,100,1100,100,100,250,0,0,1950,-97.502839,35.58171,Oklahoma
OR,0,0,0,0,0,100,490,290,290,100,1000,0,0,2270,-120.537708,43.944367,Oregon
PA,0,0,0,250,250,0,0,100,570,70,270,450,0,1960,-77.807272,40.874089,Pennsylvania
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.531002,41.682406,Rhode Island
SC,0,0,0,0,0,500,0,0,0,0,0,0,0,500,-80.883023,33.900651,South Carolina
SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100.22772,44.44542,South Dakota
TN,0,0,0,0,0,250,0,0,0,0,0,0,0,250,-86.322209,35.838538,Tennessee
TX,0,0,0,1000,500,0,0,0,20,74,520,250,0,2364,-98.5,31.3,Texas
UT,0,0,0,250,0,0,0,0,0,0,0,0,0,250,-111.669552,39.329209,Utah
VT,0,0,0,0,0,0,0,0,0,250,0,0,0,250,-72.662015,44.07374,Vermont
VA,0,0,0,0,0,510,20,0,20,870,1205,50,0,2675,-78.810097,37.507621,Virginia
WA,0,0,0,650,500,20,0,0,240,112,695,300,0,2517,-120.398462,47.380244,Washington
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.610605,38.644907,West Virginia
WI,0,0,0,1500,0,0,0,0,0,3275,750,0,0,5525,-89.7,44.5,Wisconsin
WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-107.553549,43.027008,Wyoming
