state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat,name
AL,0,0,0,0,1500,10350,350,4425,9600,666,1930,9254,11468,49543,-86.827719,32.773329,Alabama
AK,0,0,0,0,250,500,500,0,250,630,1050,2544,2298,8022,-151.3,64.9,Alaska
AZ,0,0,0,0,4076,5050,15925,450,5175,1150,6970,23627,45671,108094,-111.658929,34.294776,Arizona
AR,0,0,0,0,250,0,250,0,3750,5725,2725,1631,2410,16741,-92.44427,34.921992,Arkansas
CA,0,0,0,0,17611,97986,257788.37,28000,94725,25085,187630,235469.8,327343.25,1271638.42,-121,37.255299,California
CO,0,0,0,0,750,5700,9925,6561,9420,5708.5,9150,38662,32245.75,118122.25,-105.546087,38.999137,Colorado
CT,0,0,0,0,1000,22300,5016,15450,21500,19857,10407,49092,105489,250111,-72.737122,41.606924,Connecticut
DE,0,0,0,0,0,0,1000,3700,2700,,750,3150,2725,14025,-75.499779,38.993921,Delaware
DC,0,0,0,0,4200,1250,16023,11770,550,3350,7341,31587,52880.5,128951.5,-77.018293,38.896097,District of Columbia
FL,0,0,0,0,14400,90846,35252,26050,93350,51736,67175.37,129417,176339.74,684566.11,-81.5,28.615732,Florida
GA,0,0,0,0,5206,10067,8210,3260,11610,5177,6675,61782,60358,172345,-83.2,32.652474,Georgia
HI,0,0,0,0,0,0,0,0,500,0,0,5050,5825,11375,-155.4,19.6,Hawaii
ID,0,0,0,0,5400,1500,1150,0,0,0,1200,6416,4250,19916,-114,44,Idaho
IL,0,0,0,0,11850,16350,110200,18350,55635,6785,55526,87779,158357,520832,-89.202674,40.061203,Illinois
IN,0,0,0,0,500,5750,1850,5400,3200,23475,4175,10906,19856.16,75112.16,-86,39.902306,Indiana
IA,0,0,0,0,2700,10916,3200,375,5070,8150,1275,7600,17885,57171,-93.506079,42.083992,Iowa
KS,0,0,0,0,,2000,3100,326,2050,2750,1400,12927,17599,42152,-98.380047,38.482145,Kansas
KY,0,0,0,0,8100,24150,16500,0,1100,12610,575,10775,10740,84550,-84.7,37.513983,Kentucky
LA,0,0,0,0,3200,500,2100,150,1891,375,3875,37600,27225,76916,-91.956502,31.048572,Louisiana
ME,0,0,0,0,0,0,4050,31,200,350,250,5650,5578,16109,-69.217654,45.336854,Maine
MD,0,0,0,0,2950,13967,11881,11800,1960,4500,7285,57182,69090,180615,-76.768453,39.032646,Maryland
MA,0,0,0,0,12050,26316,10910,15965,63695,17340,28590,85472,106288.5,366626.5,-71.733952,42.237892,Massachusetts
MI,0,0,0,0,15750,2600,51072,27950,114500,14620,9445,61730,117114,414781,-84.5,43,Michigan
MN,0,0,0,0,2000,6500,2470,5800,850,5000,5770,24660,58900,111950,-94.296494,46,Minnesota
MS,0,0,0,0,2700,2700,1431,900,27930,12812,6260,22084,7461,84278,-89.661244,32.767379,Mississippi
MO,0,0,0,0,5900,6956,11350,75,1000,1900,11150,12562,43575,94468,-92.480117,38.379759,Missouri
MT,0,0,0,0,0,2750,1000,100,300,1950,750,7550,7000,21400,-109.657143,47.048656,Montana
NE,0,0,0,0,0,500,100,0,250,150,50,3850,3056,7956,-99.813973,41.523428,Nebraska
NV,0,0,0,0,1750,2000,6,550,1275,250,11325,8800,11531,37487,-116.649615,39.347228,Nevada
NH,0,0,0,0,2700,9900,4476,6175,20370,8651,15400,24006,12487.5,104165.5,-71.563059,43.69196,New Hampshire
NJ,0,0,0,0,750,5616,9184,6550,3625,6490,17541,33829,57524.25,141109.25,-74.669503,40.205609,New Jersey
NM,0,0,0,0,500,2700,1000,250,450,1050,200,16477,7804.33,30431.33,-106.087356,34.416615,New Mexico
NY,0,0,0,0,2621,45732,83972,69389,58031,29181,38494,209870,172012.5,709302.5,-75.502933,42.927867,New York
