state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat,name
AL,0,0,0,0,0,0,350,4425,9600,0,0,0,0,14375,-86.827719,32.773329,Alabama
AK,0,0,0,0,0,0,500,0,250,0,0,0,0,750,-151.3,64.9,Alaska
AZ,0,0,0,0,0,0,15925,450,5175,0,0,0,0,21550,-111.658929,34.294776,Arizona
AR,0,0,0,0,0,0,250,0,3750,0,0,0,0,4000,-92.44427,34.921992,Arkansas
CA,0,0,0,0,0,0,257788.37,28000,94725,0,0,0,0,380513.37,-121,37.255299,California
CO,0,0,0,0,0,0,9925,6561,9420,0,0,0,0,25906,-105.546087,38.999137,Colorado
CT,0,0,0,0,0,0,5016,15450,21500,0,0,0,0,41966,-72.737122,41.606924,Connecticut
DE,0,0,0,0,0,0,1000,3700,2700,0,0,0,0,7400,-75.499779,38.993921,Delaware
DC,0,0,0,0,0,0,16023,11770,550,0,0,0,0,28343,-77.018293,38.896097,District of Columbia
FL,0,0,0,0,0,0,35252,26050,93350,0,0,0,0,154652,-81.5,28.615732,Florida
GA,0,0,0,0,0,0,8210,3260,11610,0,0,0,0,23080,-83.2,32.652474,Georgia
HI,0,0,0,0,0,0,0,0,500,0,0,0,0,500,-155.4,19.6,Hawaii
ID,0,0,0,0,0,0,1150,0,0,0,0,0,0,1150,-114,44,Idaho
IL,0,0,0,0,0,0,110200,18350,55635,0,0,0,0,184185,-89.202674,40.061203,Illinois
IN,0,0,0,0,0,0,1850,5400,3200,0,0,0,0,10450,-86,39.902306,Indiana
IA,0,0,0,0,0,0,3200,375,5070,0,0,0,0,8645,-93.506079,42.083992,Iowa
KS,0,0,0,0,0,0,3100,326,2050,0,0,0,0,5476,-98.380047,38.482145,Kansas
KY,0,0,0,0,0,0,16500,0,1100,0,0,0,0,17600,-84.7,37.513983,Kentucky
LA,0,0,0,0,0,0,2100,150,1891,0,0,0,0,4141,-91.956502,31.048572,Louisiana
ME,0,0,0,0,0,0,4050,31,200,0,0,0,0,4281,-69.217654,45.336854,Maine
MD,0,0,0,0,0,0,11881,11800,1960,0,0,0,0,25641,-76.768453,39.032646,Maryland
MA,0,0,0,0,0,0,10910,15965,63695,0,0,0,0,90570,-71.733952,42.237892,Massachusetts
MI,0,0,0,0,0,0,51072,27950,114500,0,0,0,0,193522,-84.5,43,Michigan
MN,0,0,0,0,0,0,2470,5800,850,0,0,0,0,9120,-94.296494,46,Minnesota
MS,0,0,0,0,0,0,1431,900,27930,0,0,0,0,30261,-89.661244,32.767379,Mississippi
MO,0,0,0,0,0,0,11350,75,1000,0,0,0,0,12425,-92.480117,38.379759,Missouri
MT,0,0,0,0,0,0,1000,100,300,0,0,0,0,1400,-109.657143,47.048656,Montana
NE,0,0,0,0,0,0,100,0,250,0,0,0,0,350,-99.813973,41.523428,Nebraska
NV,0,0,0,0,0,0,6,550,1275,0,0,0,0,1831,-116.649615,39.347228,Nevada
NH,0,0,0,0,0,0,4476,6175,20370,0,0,0,0,31021,-71.563059,43.69196,New Hampshire
NJ,0,0,0,0,0,0,9184,6550,3625,0,0,0,0,19359,-74.669503,40.205609,New Jersey
NM,0,0,0,0,0,0,1000,250,450,0,0,0,0,1700,-106.087356,34.416615,New Mexico
NY,0,0,0,0,0,0,83972,69389,58031,0,0,0,0,211392,-75.502933,42.927867,New York
NC,0,0,0,0,0,0,10050,2250,2560,0,0,0,0,14860,-79.251255,35.536226,North Carolina
ND,0,0,0,0,0,0,526,0,260,0,0,0,0,786,-100.483902,47.461886,North Dakota
OH,0,0,0,0,0,0,904873,182756,453827.35,0,0,0,0,1541456.35,-82.5,40,Ohio
OK,0,0,0,0,0,0,6000,350,1000,0,0,0,0,7350,-97.502839,35.58171,Oklahoma
OR,0,0,0,0,0,0,3200,325,150,0,0,0,0,3675,-120.537708,43.944367,Oregon
PA,0,0,0,0,0,0,34550,53611,5925,0,0,0,0,94086,-77.807272,40.874089,Pennsylvania
RI,0,0,0,0,0,0,3000,0,5400,0,0,0,0,8400,-71.531002,41.682406,Rhode Island
SC,0,0,0,0,0,0,2050,6150,8350,0,0,0,0,16550,-80.883023,33.900651,South Carolina
SD,0,0,0,0,0,0,2000,250,650,0,0,0,0,2900,-100.22772,44.44542,South Dakota
TN,0,0,0,0,0,0,12500,4050,9456,0,0,0,0,26006,-86.322209,35.838538,Tennessee
TX,0,0,0,0,0,0,43966,82556,20142,0,0,0,0,146664,-98.5,31.3,Texas
UT,0,0,0,0,0,0,2700,3000,100,0,0,0,0,5800,-111.669552,39.329209,Utah
VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72.662015,44.07374,Vermont
VA,0,0,0,0,0,0,41390,44682,15485,0,0,0,0,101557,-78.810097,37.507621,Virginia
WA,0,0,0,0,0,0,4750,4010,2685,0,0,0,0,11445,-120.398462,47.380244,Washington
WV,0,0,0,0,0,0,1200,1000,2700,0,0,0,0,4900,-80.610605,38.644907,West Virginia
WI,0,0,0,0,0,0,400,150,2250,0,0,0,0,2800,-89.7,44.5,Wisconsin
WY,0,0,0,0,0,0,850,300,100,0,0,0,0,1250,-107.553549,43.027008,Wyoming
