state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat,name
AL,0,0,0,70,85,500,0,25,0,0,0,0,0,680,-86.827719,32.773329,Alabama
AK,0,0,0,0,0,250,0,0,0,0,0,0,0,250,-151.3,64.9,Alaska
AZ,0,0,0,1250,500,,2700,,2600,0,0,0,0,7050,-111.658929,34.294776,Arizona
AR,0,0,0,500,0,5400,8000,2700,2600,0,0,0,0,19200,-92.44427,34.921992,Arkansas
CA,0,0,0,177965,18145,10450,32800,15675,3710,10295,0,0,0,269040,-121,37.255299,California
CO,0,0,0,24400,10825,3700,2775,50,75,125,0,0,0,41950,-105.546087,38.999137,Colorado
CT,0,0,0,26800,7800,3025,19875,4810,1525,2250,0,0,0,66085,-72.737122,41.606924,Connecticut
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75.499779,38.993921,Delaware
DC,0,0,0,21650,7000,0,750,0,1800,2250,0,0,0,33450,-77.018293,38.896097,District of Columbia
FL,0,0,0,38825,5385,23925,19430,11060,20245,3710,0,0,0,122580,-81.5,28.615732,Florida
GA,0,0,0,20575,2700,5250,2600,0,21748.62,12241.4,0,0,0,65115.02,-83.2,32.652474,Georgia
HI,0,0,0,0,150,150,50,0,100,50,0,0,0,500,-155.4,19.6,Hawaii
ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-114,44,Idaho
IL,0,0,0,24450,7600,16960,3650,0,1500,6500,0,0,0,60660,-89.202674,40.061203,Illinois
IN,0,0,0,0,0,7500,0,0,0,0,0,0,0,7500,-86,39.902306,Indiana
IA,0,0,0,750,750,850,1200,100,150,1250,0,0,0,5050,-93.506079,42.083992,Iowa
KS,0,0,0,500,0,0,0,0,0,0,0,0,0,500,-98.380047,38.482145,Kansas
KY,0,0,0,800,175,450,100,1100,300,200,0,0,0,3125,-84.7,37.513983,Kentucky
LA,0,0,0,3450,150,200,700,250,225,300,0,0,0,5275,-91.956502,31.048572,Louisiana
ME,0,0,0,0,0,50,80,0,0,0,0,0,0,130,-69.217654,45.336854,Maine
MD,0,0,0,16500,3750,9500,250,3810,2000,250,0,0,0,36060,-76.768453,39.032646,Maryland
MA,0,0,0,9100,65,9220,3480,70105,910,16450,0,0,0,109330,-71.733952,42.237892,Massachusetts
MI,0,0,0,10800,75,8185,175,1900,125,75,0,0,0,21335,-84.5,43,Michigan
MN,0,0,0,0,3700,0,0,0,0,0,0,0,0,3700,-94.296494,46,Minnesota
MS,0,0,0,750,0,0,2000,750,0,2000,0,0,0,5500,-89.661244,32.767379,Mississippi
MO,0,0,0,0,25,700,175,200,160,305,0,0,0,1565,-92.480117,38.379759,Missouri
MT,0,0,0,500,0,0,0,0,0,500,0,0,0,1000,-109.657143,47.048656,Montana
NE,0,0,0,1000,0,200,525,0,1500,1000,0,0,0,4225,-99.813973,41.523428,Nebraska
NV,0,0,0,1100,0,100,0,0,8200,11050,0,0,0,20450,-116.649615,39.347228,Nevada
NH,0,0,0,3250,240,2320,5925,2475,560,1135,0,0,0,15905,-71.563059,43.69196,New Hampshire
NJ,0,0,0,18300,21825,3780,3680,2450,5435,250,0,0,0,55720,-74.669503,40.205609,New Jersey
NM,0,0,0,0,0,0,0,50,20,0,0,0,0,70,-106.087356,34.416615,New Mexico
NY,0,0,0,118512,95400,17075,47610,16900,59420.07,19950,0,0,0,374867.07,-75.502933,42.927867,New York
NC,0,0,0,48452.08,3700,45810,19610,20260,52365,13550,0,0,0,203747.08,-79.251255,35.536226,North Carolina
ND,0,0,0,0,0,0,0,1000,0,0,0,0,0,1000,-100.483902,47.461886,North Dakota
OH,0,0,0,350,375,7375,8125,1250,0,275,0,0,0,17750,-82.5,40,Ohio
OK,0,0,0,3950,0,0,0,0,0,0,0,0,0,3950,-97.502839,35.58171,Oklahoma
OR,0,0,0,300,0,0,0,0,0,0,0,0,0,300,-120.537708,43.944367,Oregon
PA,0,0,0,16025,2900,0,25,8225,50,0,0,0,0,27225,-77.807272,40.874089,Pennsylvania
RI,0,0,0,0,0,35,25,2700,0,0,0,0,0,2760,-71.531002,41.682406,Rhode Island
SC,0,0,0,443212.16,110602.7,163240.08,312518.92,105030,57740,23020,0,0,0,1215363.86,-80.883023,33.900651,South Carolina
SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100.22772,44.44542,South Dakota
TN,0,0,0,11295,100,600,100,200,1200,2300,0,0,0,15795,-86.322209,35.838538,Tennessee
TX,0,0,0,48951,21801,2250,5575,4475,56935,22925,0,0,0,162912,-98.5,31.3,Texas
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-111.669552,39.329209,Utah
VT,0,0,0,0,0,0,0,0,0,500,0,0,0,500,-72.662015,44.07374,Vermont
VA,0,0,0,35375,13050,1225,5750,4575,20125,2600,0,0,0,82700,-78.810097,37.507621,Virginia
WA,0,0,0,4700,5850,275,2725,0,500,0,0,0,0,14050,-120.398462,47.380244,Washington
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.610605,38.644907,West Virginia
WI,0,0,0,0,500,50,200,200,0,0,0,0,0,950,-89.7,44.5,Wisconsin
WY,0,0,0,250,0,0,0,0,0,0,0,0,0,250,-107.553549,43.027008,Wyoming
