state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat,name
AL,0,8520,3247,23582,1047,1955,2635,6204.25,42591,221083,22340.16,152853.32,22452,508509.73,-86.827719,32.773329,Alabama
AK,0,1600,675,589,725,1105,2766,2665,1137,2857,1661,12846,2665,31291,-151.3,64.9,Alaska
AZ,0,85430,112891,33310,2723,12300,37662,27452.5,289508.2,96141,117422,158974.56,48104,1021918.26,-111.658929,34.294776,Arizona
AR,0,4325,435,3534,415,400,3230,2211,2925,9535,4825,30016.66,3334,65185.66,-92.44427,34.921992,Arkansas
CA,0,231729.15,241063,1189663.37,48930,188369.6,751087.85,262619.55,512351.3,1128222.37,755562.8,727390.45,219765.43,6256754.87,-121,37.255299,California
CO,0,19053.05,8425,46593.05,13260,14839,25074,61414,111420,111593.5,157706,137205.64,30448,737031.24,-105.546087,38.999137,Colorado
CT,0,21578.05,19546,65962,878,7547,52856,51298.8,123651,139920,35369,99223.01,21676,639504.86,-72.737122,41.606924,Connecticut
DE,0,1145,901,1361,1,400,1150,1600,1318,9075,610,7785,1105,26451,-75.499779,38.993921,Delaware
DC,0,20399.05,24762,66372,3694,12135,45851,14296,39709,100090,51989,95247.75,20848,495392.8,-77.018293,38.896097,District of Columbia
FL,0,789497.73,588383.12,639289.02,59937.68,149248.71,656081.81,445826.63,840064.64,1050940.02,1140915.81,809800.51,358072.37,7528058.05,-81.5,28.615732,Florida
GA,0,58909.6,42840.17,56685.79,5539,40537,79085.75,25314.95,57058,198134,49539.9,222488.25,53136,889268.41,-83.2,32.652474,Georgia
HI,0,4610,3235,4080,140,325,1200,2295,2532,10165,7875,20652.16,12497,69606.16,-155.4,19.6,Hawaii
ID,0,1632,1977,12360.5,865,1392,1560,1185,3930,47910,54515,17490.32,6952,151768.82,-114,44,Idaho
IL,0,51424.8,97634,62089,-533,55620,114420.25,105652.01,91920,275937.75,144677,210284.28,80237.05,1289363.14,-89.202674,40.061203,Illinois
IN,0,9762,4115,8310,3487.5,3283,90162.4,17860.2,8241,41116,19329,54503.64,14823,274992.74,-86,39.902306,Indiana
IA,0,3653.05,1150,2250,4910,3635,17189,3923,16546,19956,63156,54006.16,10441,200815.21,-93.506079,42.083992,Iowa
KS,0,7925,7975,6785,350,2100,8600,7764,7585,33014,15496,41948.32,30429,169971.32,-98.380047,38.482145,Kansas
KY,0,12258.05,1120,5701,5335,4975,3212,9816,6991,42297,9801,33150.6,4999.48,139656.13,-84.7,37.513983,Kentucky
LA,0,12277,77682.55,22788,-3550,1525,3827,7439.5,42777,190209.85,17125,21403.5,8048,401552.4,-91.956502,31.048572,Louisiana
ME,0,1150,955,725,300,160,3192,2900,3850,1410,3016.66,12135.16,2775,32568.82,-69.217654,45.336854,Maine
MD,0,53438,5030,33790,9300,3449,24212,18786.2,50484.7,72344.7,49550,112193.46,33431,466009.06,-76.768453,39.032646,Maryland
MA,0,50702.05,10815,230379,16451,76418,81864,57903,45220.5,52839,172452.98,110106.09,21706.6,926857.22,-71.733952,42.237892,Massachusetts
MI,0,16035,9375,26011,4117,8755,34420,23381,53511.5,419207,63321,113538.42,33306,804977.92,-84.5,43,Michigan
MN,0,9502,2567,6229,399,2032,17195,11884,8816,24325,66127,69124.97,24115.38,242316.35,-94.296494,46,Minnesota
MS,0,4870,5716.49,4569,390,885,1140,4286,3281,9550,3385,11628.32,2375,52075.81,-89.661244,32.767379,Mississippi
MO,0,18255,2872,30631,1155,1887,11780,10948,16989,156272.5,101977,64841.38,19428.16,437036.04,-92.480117,38.379759,Missouri
MT,0,5050,1500,7100,85,1750,7785,5246,10721.78,85640,19761.56,14548.67,4275,163463.01,-109.657143,47.048656,Montana
NE,0,9154,1510,1693,850,975,1455,2212,4202,1840,3405,16363,4969,48628,-99.813973,41.523428,Nebraska
NV,0,35065.05,5484,78082.4,32378,13615,23267.2,31649,50674,72343.6,27535.2,48069.96,10397,428560.41,-116.649615,39.347228,Nevada
NH,0,8210,2375,6625,330,5607,10523,5919,5930,21555,25877.34,45459.3,12990,151400.64,-71.563059,43.69196,New Hampshire
NJ,0,26898,8559,19896,14624,80240,69205,69069.95,68065,181161.16,62314,87190.14,27039,714261.25,-74.669503,40.205609,New Jersey
NM,0,4700,987.3,2775,990,557,1858,9160.05,3793,2877,5817.5,23365.32,13215,70095.17,-106.087356,34.416615,New Mexico
NY,0,108637,92774,242945,50476,277519.5,141356.5,215468.96,417703,832983,294537.82,265754.98,60205.5,3000361.26,-75.502933,42.927867,New York
NC,0,25233,6609,21546,1088,4577.1,74528,22155.05,16439,56561.5,136372.5,116692.57,33169.52,514971.24,-79.251255,35.536226,North Carolina
ND,0,325,421,725,25,0,1505,325,320,6900,752,4326.66,850,16474.66,-100.483902,47.461886,North Dakota
OH,0,23200,14509,19507,30659,180757.4,62293.4,30971,51681,325095.4,107931.6,100681.96,36920,984206.76,-82.5,40,Ohio
OK,0,11120,4916,8575,1590,2475,4492,6003,5042,51557,30121.5,189928.32,26101,341920.82,-97.502839,35.58171,Oklahoma
OR,0,5006,2734,19815,2347,5744,8650,6365.4,17785,13862.4,11438,41619.56,4575.16,139941.52,-120.537708,43.944367,Oregon
PA,0,24530,15527,29406,2982,40545,135571,343354.03,63572.6,145401,68255,265931.38,56950,1192025.01,-77.807272,40.874089,Pennsylvania
RI,0,300,850,2600,200,492,1527,2027,850,1635,4527,4902,1188,21098,-71.531002,41.682406,Rhode Island
SC,0,29150,8192,127923.48,10388,10090,101975.5,19179,24366.39,88327,81890.51,190671.44,18515.16,710668.48,-80.883023,33.900651,South Carolina
SD,0,2300,335,850,525,787,2143,1010,3085,19555,4225,17870.3,5204,57889.3,-100.22772,44.44542,South Dakota
TN,0,11671,4990.16,13660.32,1427.16,9517,68933.37,6055.91,20513.3,17726.16,100732.14,92109.08,20418.28,367753.88,-86.322209,35.838538,Tennessee
TX,0,296544.1,105130,365413.31,48032,158003,367708.8,181090.05,289502.26,608738.6,302338.84,967366.6,136206.5,3826074.06,-98.5,31.3,Texas
UT,0,5850,7050,3400,737,458,6650,42053,11859,23035.96,31726,45667,10544,189029.96,-111.669552,39.329209,Utah
VT,0,1950,700,600,325,10450,62490,560,6315,2372,945,4315.16,945,91967.16,-72.662015,44.07374,Vermont
VA,0,66867.05,32249,158162,17425,38962,63424.75,66087,118302,186284,115265.7,311933.36,84223.18,1259185.04,-78.810097,37.507621,Virginia
WA,0,39130,16705,46474.99,2124.6,58815,12948,18068.9,34105,58604,30955.5,111155.14,28599.3,457685.43,-120.398462,47.380244,Washington
WV,0,960,100,450,112,850,350,6450,625,4320,1540,8847.16,1275,25879.16,-80.610605,38.644907,West Virginia
WI,0,11000,3705,5785,1475,4768,14230,26667,56549.5,50685.5,21902.66,72688.46,22487,291943.12,-89.7,44.5,Wisconsin
WY,0,7150,3300,4969.6,800,2025,2318,20448.75,10940,22457,14832,29675.5,-8149,110766.85,-107.553549,43.027008,Wyoming
