state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat,name
AL,0,0,8650,14000,3925,7475,9269,25118.5,1831,8757,2366,350,0,81741.5,-86.827719,32.773329,Alabama
AK,0,0,228,500,0,0,1025,0,0,0,0,50,0,1803,-151.3,64.9,Alaska
AZ,0,0,45250,3770,550,2175,3450,1676,560,1410,1006,75,0,59922,-111.658929,34.294776,Arizona
AR,0,0,119350,199751,13000,43650,36938,9099.6,6257,11030,4966,1799,0,445840.6,-92.44427,34.921992,Arkansas
CA,0,0,89400,22643.1,10750,2234,16120.5,31440,21421,11651,11212,-966,0,215905.6,-121,37.255299,California
CO,0,0,3450,5850,2114.8,1500,3036,412,1156,1130,839,460,0,19947.8,-105.546087,38.999137,Colorado
CT,0,0,250,2850,0,872.5,1000,250,530,500,25,116,0,6393.5,-72.737122,41.606924,Connecticut
DE,0,0,0,300,0,1000,0,0,0,0,0,0,0,1300,-75.499779,38.993921,Delaware
DC,0,0,0,0,0,0,0,0,0,0,250,25,0,275,-77.018293,38.896097,District of Columbia
FL,0,0,22150,60540,3050,3080,30760,2812,13212,2908,5467,316,0,144295,-81.5,28.615732,Florida
GA,0,0,5396.5,12700,6261,15587,5278,2675,2951,3082,3753,409,0,58092.5,-83.2,32.652474,Georgia
HI,0,0,0,0,0,0,0,0,0,1000,150,50,0,1200,-155.4,19.6,Hawaii
ID,0,0,0,1000,150,150,125,175,115,150,516,86,0,2467,-114,44,Idaho
IL,0,0,500,7089.2,300,1787,1398,1348,1618,1620,2385,355,0,18400.2,-89.202674,40.061203,Illinois
IN,0,0,3623.5,1050,650,760,691,738,1436,454,1475,301,0,11178.5,-86,39.902306,Indiana
IA,0,0,5073.21,6500,50,650,743.01,2061,1621,3749,2963,3000,0,26410.22,-93.506079,42.083992,Iowa
KS,0,0,2000,750,500,1530,1916,405,848,1100,799,360,0,10208,-98.380047,38.482145,Kansas
KY,0,0,7010,1575,1250,500,1708,931,690,731,981,0,0,15376,-84.7,37.513983,Kentucky
LA,0,0,9732,35700,175,6000,4325,1161,1000,1445,970,525,0,61033,-91.956502,31.048572,Louisiana
ME,0,0,0,0,0,0,50,360,105,0,195,100,0,810,-69.217654,45.336854,Maine
MD,0,0,705.5,1509,100,236,4075,225,575,616,475,100,0,8616.5,-76.768453,39.032646,Maryland
MA,0,0,2950,875,50,566,987,356,982,3199,417,316,0,10698,-71.733952,42.237892,Massachusetts
MI,0,0,1500,650,150,633,1510,396,1043,665,1632,321,0,8500,-84.5,43,Michigan
MN,0,0,1996,1310.6,500,1345,976,531,1158,656,633,250,0,9355.6,-94.296494,46,Minnesota
MS,0,0,5450,580.5,250,3600,1075,486,410,675,1005,250,0,13781.5,-89.661244,32.767379,Mississippi
MO,0,0,5325,54455.6,825,1131,5901,1708,11061,11556,795,56,0,92813.6,-92.480117,38.379759,Missouri
MT,0,0,3600,-900,25,768,849,5550,50,225,250,50,0,10467,-109.657143,47.048656,Montana
NE,0,0,1250,275,500,85,355,385,1516,305,830,125,0,5626,-99.813973,41.523428,Nebraska
NV,0,0,270,200,50,500,100,1967,150,6050,0,175,0,9462,-116.649615,39.347228,Nevada
NH,0,0,0,50,0,0,0,0,100,0,100,0,0,250,-71.563059,43.69196,New Hampshire
NJ,0,0,2450,950,1150,700,1001,501,300,3953,512.5,75,0,11592.5,-74.669503,40.205609,New Jersey
NM,0,0,0,625,25,225,550,175,75,2770,755,0,0,5200,-106.087356,34.416615,New Mexico
NY,0,0,37700,53681,17828,7018,6149,761,1693,19482,1385.5,524,0,146221.5,-75.502933,42.927867,New York
NC,0,0,7526,39000,1225,18575.08,2741,2283,1882,1789,2284,536,0,77841.08,-79.251255,35.536226,North Carolina
ND,0,0,0,0,250,0,0,500,50,100,100,25,0,1025,-100.483902,47.461886,North Dakota
OH,0,0,1750,800,300,685,1413,788,1655,1438,1230,467,0,10526,-82.5,40,Ohio
OK,0,0,2500,5300,3450,442,797,433,380,2445,746,311,0,16804,-97.502839,35.58171,Oklahoma
OR,0,0,3050,300,0,100,378,587,323,424,565,760,0,6487,-120.537708,43.944367,Oregon
PA,0,0,9305,6250,750,497,3297,726,1347,1253,1584,387,0,25396,-77.807272,40.874089,Pennsylvania
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.531002,41.682406,Rhode Island
SC,0,0,6500,1171,1425,2675,792,1900,860,995,1359,165,0,17842,-80.883023,33.900651,South Carolina
SD,0,0,0,3450,0,0,589,175,455,96,100,0,0,4865,-100.22772,44.44542,South Dakota
TN,0,0,105450,21000,4380,3766,37957,2907,4999,4416,2542,-1369,0,186048,-86.322209,35.838538,Tennessee
TX,0,0,113991.47,59116.4,18167,7593,31694.28,36887,4312,15708,9337,1970,0,298776.15,-98.5,31.3,Texas
UT,0,0,0,0,0,0,75,50,75,25,50,25,0,300,-111.669552,39.329209,Utah
VT,0,0,0,0,0,0,0,100,0,0,0,0,0,100,-72.662015,44.07374,Vermont
VA,0,0,2124,2466.4,1550,2330,3486,1172.5,2967,1001,1980,651,0,19727.9,-78.810097,37.507621,Virginia
WA,0,0,950,2300,250,175,1217,1735,1046,1876,976,115,0,10640,-120.398462,47.380244,Washington
WV,0,0,0,0,0,0,966,50,150,91,50,0,0,1307,-80.610605,38.644907,West Virginia
WI,0,0,0,500,0,345,1350,425,335,233,225,0,0,3413,-89.7,44.5,Wisconsin
WY,0,0,0,500,0,0,0,0,0,0,0,0,0,500,-107.553549,43.027008,Wyoming
