state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat,name
AL,0,0,0,500,100,0,0,0,0,0,0,0,0,600,-86.827719,32.773329,Alabama
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-151.3,64.9,Alaska
AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,350,-111.658929,34.294776,Arizona
AR,0,0,0,350,0,0,50,0,0,0,0,0,0,50,-92.44427,34.921992,Arkansas
CA,0,0,0,218625,5725,250,-16200,0,0,0,0,0,0,208400,-121,37.255299,California
CO,0,0,0,15000,1500,3575,50,0,0,0,0,0,0,20125,-105.546087,38.999137,Colorado
CT,0,0,0,3000,0,0,0,0,0,0,0,0,0,3000,-72.737122,41.606924,Connecticut
DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75.499779,38.993921,Delaware
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77.018293,38.896097,District of Columbia
FL,0,0,0,73800,0,400,-29700,0,0,0,0,0,0,44500,-81.5,28.615732,Florida
GA,0,0,0,1650,1100,8230,1890,0,0,0,0,0,0,12870,-83.2,32.652474,Georgia
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-155.4,19.6,Hawaii
ID,0,0,0,2700,0,100,0,0,0,0,0,0,0,2800,-114,44,Idaho
IL,0,0,0,500,500,0,0,0,0,0,0,0,0,1000,-89.202674,40.061203,Illinois
IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,39.902306,Indiana
IA,0,0,0,962.91,0,0,0,0,0,0,0,0,0,962.91,-93.506079,42.083992,Iowa
KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98.380047,38.482145,Kansas
KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84.7,37.513983,Kentucky
LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91.956502,31.048572,Louisiana
ME,0,0,0,250,0,0,0,0,0,0,0,0,0,250,-69.217654,45.336854,Maine
MD,0,0,0,0,0,50,50,0,0,0,0,0,0,100,-76.768453,39.032646,Maryland
MA,0,0,0,250,0,0,500,0,0,0,0,0,0,750,-71.733952,42.237892,Massachusetts
MI,0,0,0,250,0,100,0,0,0,0,0,0,0,350,-84.5,43,Michigan
MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-94.296494,46,Minnesota
MS,0,0,0,12350.16,0,3950,0,0,0,0,0,0,0,16300.16,-89.661244,32.767379,Mississippi
MO,0,0,0,5750,0,200,-2700,0,0,0,0,0,0,3250,-92.480117,38.379759,Missouri
MT,0,0,0,0,0,0,1000,0,0,0,0,0,0,1000,-109.657143,47.048656,Montana
NE,0,0,0,0,0,0,0,0,0,0,0,0,0,200,-99.813973,41.523428,Nebraska
NV,0,0,0,0,250,0,0,0,0,0,0,0,0,250,-116.649615,39.347228,Nevada
NH,0,0,0,0,0,200,0,0,0,0,0,0,0,1000,-71.563059,43.69196,New Hampshire
NJ,0,0,0,5400,100,0,0,0,0,0,0,0,0,5500,-74.669503,40.205609,New Jersey
NM,0,0,0,500,0,100,0,0,0,0,0,0,0,600,-106.087356,34.416615,New Mexico
NY,0,0,0,7970.96,3475,5154.04,100,0,0,0,0,0,0,16700,-75.502933,42.927867,New York
NC,0,0,0,250,250,1000,55,0,0,0,0,0,0,1555,-79.251255,35.536226,North Carolina
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100.483902,47.461886,North Dakota
OH,0,0,0,1000,1100,850,235,0,0,0,0,0,0,3185,-82.5,40,Ohio
OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-97.502839,35.58171,Oklahoma
OR,0,0,0,1000,1750,50,0,0,0,0,0,0,0,2800,-120.537708,43.944367,Oregon
PA,0,0,0,1000,25,2700,0,0,0,0,0,0,0,3725,-77.807272,40.874089,Pennsylvania
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.531002,41.682406,Rhode Island
SC,0,0,0,250,0,275,250,0,0,0,0,0,0,775,-80.883023,33.900651,South Carolina
SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100.22772,44.44542,South Dakota
TN,0,0,0,5900,1500,500,-50,0,0,0,0,0,0,7850,-86.322209,35.838538,Tennessee
TX,0,0,0,626024.44,28969.92,77335.64,17009.52,0,0,0,0,0,0,749339.52,-98.5,31.3,Texas
UT,0,0,0,0,0,100,0,0,0,0,0,0,0,100,-111.669552,39.329209,Utah
VT,0,0,0,250,0,0,0,0,0,0,0,0,0,250,-72.662015,44.07374,Vermont
VA,0,0,0,450,0,250,0,0,0,0,0,0,0,700,-78.810097,37.507621,Virginia
WA,0,0,0,500,6400,25,0,0,0,0,0,0,0,6925,-120.398462,47.380244,Washington
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.610605,38.644907,West Virginia
WI,0,0,0,750,500,500,0,0,0,0,0,0,0,1750,-89.7,44.5,Wisconsin
WY,0,0,0,0,250,250,0,0,0,0,0,0,0,500,-107.553549,43.027008,Wyoming
