state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat,name
AL,0,0,0,0,0,0,5500,206,200,1300,3702,0,0,10908,-86.827719,32.773329,Alabama
AK,0,0,0,0,250,0,0,0,0,0,0,0,0,250,-151.3,64.9,Alaska
AZ,0,0,0,5400,0,0,5400,2000,1025,9405.53,54.02,0,0,23284.55,-111.658929,34.294776,Arizona
AR,0,0,0,0,0,100,100,100,100,100,100,100,0,700,-92.44427,34.921992,Arkansas
CA,0,0,1250,8500,300,6053.8,8950,450,7625.67,2270.16,705.25,125,0,36229.88,-121,37.255299,California
CO,0,0,2700,3450,250,1000,8400,0,25,145,2700,0,0,18670,-105.546087,38.999137,Colorado
CT,0,0,2000,0,500,520.16,955.63,560,560,260,20.16,100,0,5475.95,-72.737122,41.606924,Connecticut
DE,0,0,0,0,0,0,0,0,0,0,500,0,0,500,-75.499779,38.993921,Delaware
DC,0,0,0,0,0,1000,1000,0,0,0,250,0,0,2250,-77.018293,38.896097,District of Columbia
FL,0,0,1500,30675,0,6200,12783.61,333.94,3075,2281.98,4514.42,0,0,61363.95,-81.5,28.615732,Florida
GA,0,0,0,5400,0,0,40,25,100,2732.79,150,10,0,8457.79,-83.2,32.652474,Georgia
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-155.4,19.6,Hawaii
ID,0,0,0,0,0,0,0,160.99,145.99,125,620.16,0,0,1052.14,-114,44,Idaho
IL,0,0,200,690,3200,750,4450,50,1531.98,50.32,100.16,300,0,11322.46,-89.202674,40.061203,Illinois
IN,0,0,2600,1000,0,1000,1160,50,75,1650,425,0,0,7960,-86,39.902306,Indiana
IA,0,0,250,1375,0,150,8899.99,1452.95,2280.99,1960.48,2670,100,0,19139.41,-93.506079,42.083992,Iowa
KS,0,0,35,2150,0,5,68.33,110,186.99,420.16,510.16,175,0,3660.64,-98.380047,38.482145,Kansas
KY,0,0,0,1000,0,0,0,0,0,0,0,0,0,1000,-84.7,37.513983,Kentucky
LA,0,0,2950,10400,0,5500,26400,100,0,2700,1000,0,0,49050,-91.956502,31.048572,Louisiana
ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69.217654,45.336854,Maine
MD,0,0,250,6700,0,0,4000,0,250,1100,200,0,0,12500,-76.768453,39.032646,Maryland
MA,0,0,0,1040,0,0,5400,830,210.1,130,10,0,0,7620.1,-71.733952,42.237892,Massachusetts
MI,0,0,0,300,100,50,630,380,121.98,615,170,50,0,2416.98,-84.5,43,Michigan
MN,0,0,8250,1000,4000,37.5,3750,3091,566,3466,326,66,0,24552.5,-94.296494,46,Minnesota
MS,0,0,500,0,500,0,0,0,35,0,0,0,0,1035,-89.661244,32.767379,Mississippi
MO,0,0,0,3850,250,603,440,118.5,593.49,80.65,895.16,50,0,6880.8,-92.480117,38.379759,Missouri
MT,0,0,0,500,300,0,0,0,0,200,0,0,0,1000,-109.657143,47.048656,Montana
NE,0,0,0,5300,400,0,0,1100,0,0,0,200,0,7000,-99.813973,41.523428,Nebraska
NV,0,0,0,3650,0,0,5400,0,0,2700,0,0,0,11750,-116.649615,39.347228,Nevada
NH,0,0,250,0,0,250,0,200,200,325,300,0,0,1525,-71.563059,43.69196,New Hampshire
NJ,0,0,0,17150,350,125,235,185,45.16,3661.98,960,0,0,22712.14,-74.669503,40.205609,New Jersey
NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-106.087356,34.416615,New Mexico
NY,0,0,0,7490,1400,2900,6225,940,635,3575,3790.1,25,0,26980.1,-75.502933,42.927867,New York
NC,0,0,0,1818,0,0,0,25,1050,550,652,50,0,4145,-79.251255,35.536226,North Carolina
ND,0,0,0,0,0,0,0,0,0,0,0,333.33,0,333.33,-100.483902,47.461886,North Dakota
OH,0,0,300,1458,6110,155,2575.46,302.69,1800,432.14,725.32,95.99,0,13954.6,-82.5,40,Ohio
OK,0,0,0,250,0,200,0,50,0,0,25,25,0,550,-97.502839,35.58171,Oklahoma
OR,0,0,0,0,0,0,150,0,0,150,100,0,0,400,-120.537708,43.944367,Oregon
PA,0,0,26676.42,49780,17990,15513.63,16185,2405,19325,10570,33036.39,3288.93,0,194770.37,-77.807272,40.874089,Pennsylvania
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.531002,41.682406,Rhode Island
SC,0,0,0,20300,2700,113.45,14900,155.99,2200,1750,2200,100,0,44419.44,-80.883023,33.900651,South Carolina
SD,0,0,0,300,0,0,0,0,0,1000,0,0,0,1300,-100.22772,44.44542,South Dakota
TN,0,0,250,14150,1700,175,5800,550,100,4180,-1136.54,0,0,25768.46,-86.322209,35.838538,Tennessee
TX,0,0,22450,148280,18490,2107.6,35850,4335,9083.31,22766.14,10306.15,9270,0,282938.2,-98.5,31.3,Texas
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-111.669552,39.329209,Utah
VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72.662015,44.07374,Vermont
VA,0,0,9370,27035.16,3500,520,11169.99,1826.96,250,3550.99,2966.31,655.99,0,60845.4,-78.810097,37.507621,Virginia
WA,0,0,0,0,0,85,2135,-1640,60,560,60,60,0,1320,-120.398462,47.380244,Washington
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.610605,38.644907,West Virginia
WI,0,0,0,0,300,46.3,25,275,0,45,225,0,0,916.3,-89.7,44.5,Wisconsin
WY,0,0,0,5400,0,1000,0,0,0,5400,5400,87.5,0,17287.5,-107.553549,43.027008,Wyoming
