state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat,name
AL,0,0,0,0,10915,36741,3025,0,0,0,0,0,0,50681,-86.827719,32.773329,Alabama
AK,0,0,0,0,1250,635,50,0,0,0,0,0,0,1935,-151.3,64.9,Alaska
AZ,0,0,0,0,30245,23188,7125,0,0,0,0,0,0,60558,-111.658929,34.294776,Arizona
AR,0,0,0,0,5351,17950,10953,0,0,0,0,0,0,34254,-92.44427,34.921992,Arkansas
CA,0,0,0,0,308572.4,98917.5,29923,0,0,0,0,0,0,437412.9,-121,37.255299,California
CO,0,0,0,0,28325,9732,625,0,0,0,0,0,0,38682,-105.546087,38.999137,Colorado
CT,0,0,0,0,75101,8900,9120,0,0,0,0,0,0,93121,-72.737122,41.606924,Connecticut
DE,0,0,0,0,750,650,5400,0,0,0,0,0,0,6800,-75.499779,38.993921,Delaware
DC,0,0,0,0,15525,4620,2273.76,0,0,0,0,0,0,22418.76,-77.018293,38.896097,District of Columbia
FL,0,0,0,0,123061,66074,15043,0,0,0,0,0,0,204178,-81.5,28.615732,Florida
GA,0,0,0,0,98145,13781,4538,0,0,0,0,0,0,116464,-83.2,32.652474,Georgia
HI,0,0,0,0,5200,3350,450,0,0,0,0,0,0,9000,-155.4,19.6,Hawaii
ID,0,0,0,0,8370,3950,1910,0,0,0,0,0,0,14230,-114,44,Idaho
IL,0,0,0,0,158090,102303,52590,0,0,0,0,0,0,312983,-89.202674,40.061203,Illinois
IN,0,0,0,0,17969.19,11382.02,6269.43,0,0,0,0,0,0,35620.64,-86,39.902306,Indiana
IA,0,0,0,0,12325,7400,2195,0,0,0,0,0,0,21920,-93.506079,42.083992,Iowa
KS,0,0,0,0,5750,1500,100,0,0,0,0,0,0,7350,-98.380047,38.482145,Kansas
KY,0,0,0,0,4700,2556,150,0,0,0,0,0,0,7406,-84.7,37.513983,Kentucky
LA,0,0,0,0,12000,11900,100,0,0,0,0,0,0,24000,-91.956502,31.048572,Louisiana
ME,0,0,0,0,4950,0,100,0,0,0,0,0,0,5050,-69.217654,45.336854,Maine
MD,0,0,0,0,12826,6258,1500,0,0,0,0,0,0,20584,-76.768453,39.032646,Maryland
MA,0,0,0,0,38000,8220,5600,0,0,0,0,0,0,51820,-71.733952,42.237892,Massachusetts
MI,0,0,0,0,16825,8072,38485,0,0,0,0,0,0,63382,-84.5,43,Michigan
MN,0,0,0,0,18435,69878,2315,0,0,0,0,0,0,90628,-94.296494,46,Minnesota
MS,0,0,0,0,1500,350,300,0,0,0,0,0,0,2150,-89.661244,32.767379,Mississippi
MO,0,0,0,0,74075,29865,0,0,0,0,0,0,0,103940,-92.480117,38.379759,Missouri
MT,0,0,0,0,3500,650,1125,0,0,0,0,0,0,5275,-109.657143,47.048656,Montana
NE,0,0,0,0,9000,3000,250,0,0,0,0,0,0,12250,-99.813973,41.523428,Nebraska
NV,0,0,0,0,39300,3600,6300,0,0,0,0,0,0,49200,-116.649615,39.347228,Nevada
NH,0,0,0,0,8575,18150,675,0,0,0,0,0,0,27400,-71.563059,43.69196,New Hampshire
NJ,0,0,0,0,38490,7025,34755,0,0,0,0,0,0,80270,-74.669503,40.205609,New Jersey
NM,0,0,0,0,3075,2200,1105,0,0,0,0,0,0,6380,-106.087356,34.416615,New Mexico
NY,0,0,0,0,129375,30985,30475,0,0,0,0,0,0,190835,-75.502933,42.927867,New York
NC,0,0,0,0,37659,31783,9243,0,0,0,0,0,0,78685,-79.251255,35.536226,North Carolina
ND,0,0,0,0,7200,1100,55,0,0,0,0,0,0,8355,-100.483902,47.461886,North Dakota
OH,0,0,0,0,13165,17100,2880,0,0,0,0,0,0,33145,-82.5,40,Ohio
OK,0,0,0,0,19000,9953,6250,0,0,0,0,0,0,35203,-97.502839,35.58171,Oklahoma
OR,0,0,0,0,10025,1665,960,0,0,0,0,0,0,12650,-120.537708,43.944367,Oregon
PA,0,0,0,0,66445,31308,3945,0,0,0,0,0,0,101698,-77.807272,40.874089,Pennsylvania
RI,0,0,0,0,1400,700,200,0,0,0,0,0,0,2300,-71.531002,41.682406,Rhode Island
SC,0,0,0,0,12680,5537,2125,0,0,0,0,0,0,20342,-80.883023,33.900651,South Carolina
SD,0,0,0,0,4300,3453,0,0,0,0,0,0,0,7753,-100.22772,44.44542,South Dakota
TN,0,0,0,0,50525,8668,1488,0,0,0,0,0,0,60681,-86.322209,35.838538,Tennessee
TX,0,0,0,0,206259,58190,55978,0,0,0,0,0,0,320427,-98.5,31.3,Texas
UT,0,0,0,0,3270,4200,800,0,0,0,0,0,0,8270,-111.669552,39.329209,Utah
VT,0,0,0,0,550,363,375,0,0,0,0,0,0,1288,-72.662015,44.07374,Vermont
VA,0,0,0,0,52547,33751,16609,0,0,0,0,0,0,102907,-78.810097,37.507621,Virginia
WA,0,0,0,0,37950,17233,2710,0,0,0,0,0,0,57893,-120.398462,47.380244,Washington
WV,0,0,0,0,4600,500,250,0,0,0,0,0,0,5350,-80.610605,38.644907,West Virginia
WI,0,0,0,0,558173,369130.25,101301.75,0,0,0,0,0,0,1028605,-89.7,44.5,Wisconsin
WY,0,0,0,0,9350,6400,400,0,0,0,0,0,0,16150,-107.553549,43.027008,Wyoming
