state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat,name
AL,13050,3271,5694,10515,11970.46,20533.18,117892,40210.58,37263.6,94430.01,60315.61,121823.96,122781.01,659750.41,-86.827719,32.773329,Alabama
AK,1200,1600,1414,3215,2546,3474,6096,8093.16,10456.76,13766.16,15292.36,26872.36,27008.56,121034.36,-151.3,64.9,Alaska
AZ,57800,25760,13512,18046.67,29404,28704.16,46113,34811.47,69664.92,143215.52,95650.51,135490.84,156446.85,854619.94,-111.658929,34.294776,Arizona
AR,5400,3144,5900,6157,6428.16,16904.16,16121.16,13626,20735.99,34977.5,35997.66,80499.26,103016.96,348907.85,-92.44427,34.921992,Arkansas
CA,150049.99,85866.56,75264,345512,109124.14,229976.98,360956.61,201191.63,306654.39,1120612.85,542719.95,753099.69,840348,5121376.79,-121,37.255299,California
CO,14600,21106,23228,71397,41408.24,39613,53741.36,46004.76,73882.26,110316.79,88248.61,135257.01,192852.51,911655.54,-105.546087,38.999137,Colorado
CT,1300,10858,3815,10474,8768,22317,43430,7405,26543,38229.5,21113,46596.5,62109,302958,-72.737122,41.606924,Connecticut
DE,2001,225,637,11753,1669,4584,9873,3050,4232,8506,8362,15456,20806,91154,-75.499779,38.993921,Delaware
DC,15750,2000,6025,15250,3305,951,24915,6251.56,12010.3,18594.35,12395,16088,11416.9,144952.11,-77.018293,38.896097,District of Columbia
FL,120643,182143.16,129441,126601.32,61026.78,111324.73,348694.96,133546.48,291021.88,334798.36,232866.78,418941.56,439410.15,2930460.16,-81.5,28.615732,Florida
GA,22750,13930,23254.99,46117,19250.85,39783.93,71624.09,41228.16,134008.76,141214.22,103635.03,219834,203087.51,1079718.54,-83.2,32.652474,Georgia
HI,700,5210,3466,9637,3560,5265,10015,4560,8261,7068,9947,23164,29591.5,120444.5,-155.4,19.6,Hawaii
ID,5250,3520,1996,3420,6188,11710,12929,11282.5,28348.5,39032.5,36494.5,55353,72673.78,288197.78,-114,44,Idaho
IL,35150,36385,152178,45582,40542,37346,56034.11,45700.5,81464.33,189774.98,95920.68,151492.73,279963.83,1247534.16,-89.202674,40.061203,Illinois
