March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16
Ted Cruz joins race,"Rand Paul, Hillary Clinton, Marco Rubio, and Bernie Sanders join race","Carly Fiorina, Ben Carson, Mike Huckabee, Rick Santorum, George Pataki, and Martin O'Malley join race","Lindsey Graham, Rick Perry, Jeb Bush, Donald Trump, Jill Stein, Bobby Jindal, and Chris Christie join race","James Webb, Scott Walker, and John Kasich join race",1st Republican Forum in New Hampshire; 1st Republican Debate in Ohio,Lawrence Lessig joins race; 2nd Republican Debate in California; Rick Perry and Scott Walker drop out of race,1st Democratic Debate in Nevada; 3rd Republican Debate in Colorado; James Webb drops out of race,1st Democratic Forum in South Carolina; 4th Republican Debate in Wisconsin; 2nd Democratic Debate in Iowa; Presidential Family (Republican) Forum in Iowa; MoveOn.org Democratic Forum; Lawrence Lessig and Bobby Jindal drop out of race.,Republican Jewish Coalition Presidentail Candidates Forum in D.C.; 5th Republican Debate in Nevada; 3rd Democratic Debate in New Hampshire; Lindsey Graham and George Pataki drop out of race,Republican's Kemp Forum in South Carolina; 3rd Democratic Forum in Iowa; 6th Republican Debate in South Carolina; Democratic Forum in Iowa; 7th Republican Debate in Iowa,"Democratic Town Hall Forum in New Hampshire; 5th Democratic Debate in New Hampshire; 8th Republican Debate - New Hampshire; 6th Democratic Debate in Wisconsin; 2 Republican Town Halls in South Carolina; Democratic Town Hall Forum in Nevada; CNN Democratic Town Hall in South Carolina; 10th Republican Debate in Texas; Hillary Clinton and Ted Cruz win Iowa caucuses; Donald Trump and Bernie Sanders win New Hampshire primaries; Hillary Clinton and Donald Trump win Nevada caucuses; Donald Trump and Hillary Clinton win South Carolina primaries; Martin O'Malley, Mike Huckabee, Rand Paul, Rick Santorum, Chris Christie, and Carly Fiorina drop out of race","11th Republican Debate in Michigan; 7th Democratic Debate in Michigan; 8th/Final Democratic Debate in Florida; 12th Republican Debate in Florida; Republican Town Hall; Hillary wins primaries in Alabama, Arizona, Arkansas, Florida, Georgia, Illinois, Louisiana, Massachusetts, Missouri, Mississippi, North Carolina, Ohio, Tennessee, Texas, and Virginia; Bernie Sanders wins primaries in Colorado, Michigan, Oklahoma, and Vermont; Bernie Sanders wins caucuses in Alaska, Kansas, Hawaii, Idaho, Maine, Minnesota, Nebraska, Utah, and Washington; Donald Trump wins primaries in Alabama, Arizona, Arkansas, Florida, Georgia, Illinois, Louisiana, Massachusetts, Michigan, Mississippi, Missouri, North Carolina, Tennessee, Vermont, Virginia; Donald Trump wins caucuses In Hawaii and Kentucky; Ted Cruz wins primaries in Alaska, Oklahoma, and Texas; Ted Cruz wins Wyoming County Conventions; Marco Rubio wins Minnesota and D.C. caucuses; John Kasich wins Ohio caucus"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Ben Carson
,,,,,,,,,,,,Marco Rubio
