state,BenCarson,BernieSanders,BobbyJindal,CarlyFiorina,ChrisChristie,DonaldTrump,GeorgePataki,HillaryClinton,JamesWebb,JebBush,JohnKasich,LawrenceLessig,LindseyGraham,MarcoRubio,MartinOMalley,MikeHuckabee,RandPaul,RickPerry,RickSantorum,ScottWalker,TedCruz,Total,PerCapita,Population,Lon,Lat,name,CompareCandidates
AL,578227.85,208582.18,2759,31294,3645,37306.69,0,545974.72,150,254949,49543,14375,680,508509.73,2820.48,81741.5,49584.3,600,10908,50681,659750.41,3092081.86,0.636364524,4858979,-86.827719,32.773329,Alabama,0.1
AK,133313.71,280209.28,0,13208.5,300,15958.89,0,91664.54,0,7539,8022,750,250,31291,975,1803,21319.19,0,250,1935,121034.36,729823.47,0.988342149,738432,-151.3,64.9,Alaska,0.1
AZ,678817.92,1117192.84,8915,157082.5,57850,71275.7,0,1116761.23,950,317165,108094,21550,7050,1021918.26,12076.81,59922,143431.06,350,23284.55,60558,854619.94,5838864.81,0.855127303,6828065,-111.658929,34.294776,Arizona,0.1
AR,175783.38,199651.95,3950,16950.5,22600,13561.13,0,974759.46,0,150411,16741,4000,19200,65185.66,19200,445840.6,17938.85,50,700,34254,348907.85,2529685.38,0.849399631,2978204,-92.44427,34.921992,Arkansas,0.1
CA,3072934.55,13930246.82,22731.26,1345839.42,434666,331901,30450,30346423.56,38150,3182023.83,1271638.42,380513.37,269040,6256754.87,295890.16,215905.6,713260.28,208400,36229.88,437412.9,5121376.79,67941788.71,1.73565218,39144818,-121,37.255299,California,0.1
CO,716927.38,1626949.25,7000,223509.65,64539,59954.43,500,3006104.71,4250,265897,118122.25,25906,41950,737031.24,66322.24,19947.8,98241.12,20125,18670,38682,911655.54,8072284.61,1.479368668,5456574,-105.546087,38.999137,Colorado,0.1
CT,162054.95,963391.36,2700,84638.95,233325,27425.55,14600,2772330.35,2109,1030124,250111,41966,66085,639504.86,51850,6393.5,54766.66,3000,5475.95,93121,302958,6807931.13,1.895891746,3590886,-72.737122,41.606924,Connecticut,0.1
DE,62494.02,98265.35,0,14413,5775,5929.26,0,173018.71,550,21050,14025,7400,0,26451,5875,1300,14077.98,0,500,6800,91154,549078.32,0.580461554,945934,-75.499779,38.993921,Delaware,0.1
DC,31987.66,480379.68,0,25750,45150,7211.62,4200,5845624.02,6520,756471.8,128951.5,28343,33450,495392.8,130572.96,275,52863.63,0,2250,22418.76,144952.11,8242764.54,12.26185839,672228,-77.018293,38.896097,District of Columbia,0.1
FL,1925030.62,2347319.45,32050,412728.08,269829.25,323754.93,21300,8247226.26,9250,6228638.19,684566.11,154652,122580,7528058.05,150347.85,144295,361856.41,44500,61363.95,204178,2930460.16,32203984.31,1.588651384,20271272,-81.5,28.615732,Florida,0.1
GA,864967.43,773440.45,3600,153896.91,35128,97141.88,0,2223184.98,2450,764585,172345,23080,65115.02,889268.41,13150,58092.5,101833.6,12870,8457.79,116464,1079718.54,7458789.51,0.730190087,10214860,-83.2,32.652474,Georgia,0.1
HI,89716.14,397584.27,0,21742,0,11679.75,0,217810.58,4169,6750,11375,500,500,69606.16,11165,1200,23988.92,0,0,9000,120444.5,997231.32,0.696583704,1431603,-155.4,19.6,Hawaii,0.1
ID,224230.73,202154.42,1050,30840,3071,12267.78,0,118623.47,500,32475,19916,1150,0,151768.82,500,2467,38647.92,2800,1052.14,14230,288197.78,1145942.06,0.692441408,1654930,-114,44,Idaho,0.1
IL,684082.63,2430433.5,5500,142437.5,146373,79699.09,4200,5944369.41,4450,567990,520832,184185,60660,1289363.14,123715,18400.2,184695.2,1000,11322.46,312983,1247534.16,13964225.29,1.08586553,12859995,-89.202674,40.061203,Illinois,0.1
IN,535087.77,530213.14,3450,38366,24525,31137.03,0,797236.87,50,338858.55,75112.16,10450,7500,274992.74,7640,11178.5,67982.44,0,7960,35620.64,547286.14,3344646.98,0.505258106,6619680,-86,39.902306,Indiana,0.1
IA,327717.5,463725.53,6420.16,50664.4,58625,34130.89,1000,487968.55,3100,64473,57171,8645,5050,200815.21,27430.7,26410.22,68868.28,962.91,19139.41,21920,402991.94,2337229.7,0.748177102,3123899,-93.506079,42.083992,Iowa,0.1
KS,355185.78,325323.25,250,31993.85,8475,17586.46,0,344996.39,0,64154,42152,5476,500,169971.32,3250,10208,28539.22,0,3660.64,7350,434739.58,1853811.49,0.636689582,2911641,-98.380047,38.482145,Kansas,0.1
KY,204244.98,352235.53,0,22150,5550,27653.62,0,443850.9,0,72277,84550,17600,3125,139656.13,114067.94,15376,248278.89,0,1000,7406,245720.74,2004742.73,0.453039785,4425092,-84.7,37.513983,Kentucky,0.1
LA,349843.9,258352.53,899089.32,70601.82,3700,43404.95,0,804897.98,200,393653.5,76916,4141,5275,401552.4,8350,61033,56611.21,0,49050,24000,633265.16,4143937.77,0.887215295,4670724,-91.956502,31.048572,Louisiana,0.1
ME,71620.91,557794.56,0,63999,8700,4757.4,0,389435.15,600,134910,16109,4281,130,32568.82,7875,810,21012.43,250,0,5050,71787.3,1391690.57,1.046912854,1329328,-69.217654,45.336854,Maine,0.1
MD,610661.52,1396587.15,9650,74034.25,234683,45688.08,4000,4923535.42,6600,463475.28,180615,25641,36060,466009.06,1528754.99,8616.5,61999.78,100,12500,20584,554317.21,10664112.24,1.775457922,6006401,-76.768453,39.032646,Maryland,0.1
MA,264365.44,3866970.53,250,111207.48,156120,82957.53,5650,5842425.51,3350.09,397555,366626.5,90570,109330,926857.22,224046.39,10698,77176.18,750,7620.1,51820,387547.6,12983893.57,1.910963665,6794422,-71.733952,42.237892,Massachusetts,0.1
MI,1000701.83,1379951.33,11300,101316,21625,43721.79,500,1778265.66,1350,912449.5,414781,193522,21335,804977.92,31391,8500,183106.04,350,2416.98,63382,822603.76,7797546.81,0.785838961,9922576,-84.5,43,Michigan,0.1
MN,423703.28,1077611.93,0,49367,41128,18359.27,5000,1527783.14,750,207042,111950,9120,3700,242316.35,26693,9355.6,81518.37,0,24552.5,90628,468733.13,4419311.57,0.805034319,5489594,-94.296494,46,Minnesota,0.1
MS,183342.97,83878.2,13500,23963,3700,27633.59,0,209001.74,0,196001.3,84278,30261,5500,52075.81,12900,13781.5,46555.27,16300.16,1035,2150,249512.74,1255370.28,0.419528936,2992333,-89.661244,32.767379,Mississippi,0.1
MO,682594.37,595670.02,11810,43782,70761,27176.93,1250,1678157.34,650,270828,94468,12425,1565,437036.04,9000,92813.6,82039.52,3250,6880.8,103940,896828.86,5122926.48,0.842078021,6083672,-92.480117,38.379759,Missouri,0.1
MT,210748.6,222589.34,0,16298.2,3400,5465.16,0,114782.18,500,33275,21400,1400,1000,163463.01,750,10467,12877.08,1000,1000,5275,209920.16,1035610.73,1.002576826,1032949,-109.657143,47.048656,Montana,0.1
NE,190789.8,174703.98,300,28042,3000,22806.74,0,336748.57,0,32171.31,7956,350,4225,48628,20400,5626,21314.38,200,7000,12250,178843,1095354.78,0.577660878,1896190,-99.813973,41.523428,Nebraska,0.1
NV,311146.48,463096.1,250,70301.57,15150,61312.23,4000,909908.35,1250,242565,37487,1831,20450,428560.41,15050,9462,139477.76,250,11750,49200,452993.15,3245491.05,1.122679026,2890845,-116.649615,39.347228,Nevada,0.1
NH,103550.24,752381.85,1250,62635,35920.16,19023.09,5450,456820.58,1000,78130,104165.5,31021,15905,151400.64,37064.96,250,50383.81,1000,1525,27400,177683.28,2113960.11,1.588717421,1330608,-71.563059,43.69196,New Hampshire,0.1
NJ,423175.26,1386138.15,6250,82834.51,3595934.23,69542.16,55100,3767924.36,1550,945093,141109.25,19359,55720,714261.25,50810,11592.5,93759.45,5500,22712.14,80270,837778.73,12366413.99,1.380486274,8958013,-74.669503,40.205609,New Jersey,0.1
NM,176524.39,760032.74,500,35548,0,10610.81,750,763344.05,1000,24161,30431.33,1700,70,70095.17,4925,5200,37561.72,600,0,6380,394745.04,2324179.25,1.114655996,2085109,-106.087356,34.416615,New Mexico,0.1
NY,637953.42,5654041.6,32176.42,327223.23,835787,211538.58,286595.82,36468989.11,18050,3489307.31,709302.5,211392,374867.07,3000361.26,251357,146221.5,211946.75,16700,26980.1,190835,1516835.78,54618461.45,2.759094671,19795791,-75.502933,42.927867,New York,0.1
NC,1086435.56,1189751.58,15885,109446.86,19495,53534.29,0,1884844.06,7650,449936.45,140623.16,14860,203747.08,514971.24,13168.25,77841.08,111756.23,1555,4145,78685,851692.94,6830023.78,0.680091451,10042802,-79.251255,35.536226,North Carolina,0.1
ND,76624.04,61011.74,0,4651,0,3598.36,0,38988.01,0,11231,13861,786,1000,16474.66,300,1025,11273.57,0,333.33,8355,81192,330704.71,0.436904365,756927,-100.483902,47.461886,North Dakota,0.1
OH,679941.55,975142.01,3420.16,83575.09,6200,71261.54,1250,1887450.52,900,214255,4362613.67,1541456.35,17750,984206.76,16370,10526,98285.12,3185,13954.6,33145,1024146.53,12029034.9,1.035787201,11613423,-82.5,40,Ohio,0.1
OK,489768.84,320319.84,7143,104154.5,2125,28175.56,250,985196.27,500,202686,35801,7350,3950,341920.82,2500,16804,65228.38,0,550,35203,690551.03,3340177.24,0.85397305,3911338,-97.502839,35.58171,Oklahoma,0.1
OR,403710.9,2020166.19,270.16,33724,8450,19932.13,5400,977420.79,9225,180417,43827.95,3675,300,139941.52,8501,6487,58089.13,2800,400,12650,452347.86,4387735.63,1.089044596,4028977,-120.537708,43.944367,Oregon,0.1
PA,881735.37,1669040.03,4895.16,290530.85,387441,84224.81,625,3577058.82,1300,430563,474673.05,94086,27225,1192025.01,101154.55,25396,130551.06,3725,194770.37,101698,1137554.31,10810272.39,0.844387413,12802503,-77.807272,40.874089,Pennsylvania,0.1
RI,24816.05,268416.92,0,5887,7675,6745.21,250,660345.32,950,56260,24050,8400,2760,21098,32370,0,3033.71,0,0,2300,50414.8,1175772.01,1.113106349,1056298,-71.531002,41.682406,Rhode Island,0.1
SC,468736.11,329481.85,2061.26,73116.76,9050,49995.57,0,905801.07,2000,308615.08,88832,16550,1215363.86,710668.48,18410,17842,66636.69,775,44419.44,20342,647014.81,4995711.98,1.020335582,4896146,-80.883023,33.900651,South Carolina,0.1
SD,130972.51,76540.93,500,10110,500,4757.32,0,61565.92,100,7093.21,7810,2900,0,57889.3,50751.42,4865,8788.59,0,1300,7753,104919.2,539116.4,0.627997517,858469,-100.22772,44.44542,South Dakota,0.1
TN,895963.63,542076.6,1050,71675.41,41875,84053.48,1000,1368154.65,2100,707261.6,191348,26006,15795,367753.88,152712,186048,105325.14,7850,25768.46,60681,900836.46,5755334.31,0.871980847,6600299,-86.322209,35.838538,Tennessee,0.1
