name,urban_unmarried_m_f,rural_unmarried_m_f,urban_newborn_m_f,rural_newborn_m_f,gdp_per_capita,region_code
Beijing Municipality,136.4586334,150.5129349,116.77,109.99,7333,a1
Tianjin Municipality,121.1858279,133.2630354,108.7,114.35,5274,a2
Hebei Province,109.785761,135.4086653,113.32,118.145,2307,a3
Shanxi Province,119.0376184,177.296436,109.64,113.93,1739,a4
Inner Mongolia Autonomous Region,120.5639372,163.8008022,105.02,107.42,1976,a5
Liaoning Province,122.3506016,163.010109,107.66,113.755,3397,a6
Jilin Province,123.3791028,154.7957269,110.73,110.655,2234,a7
Heilongjiang Province,129.5183218,149.5400921,108.73,108.03,2521,a8
Shanghai Municipality,138.2083683,147.5314861,112.67,124,9132,a9
Jiangsu Province,124.1754098,148.3302602,113.01,122.45,3576,a10
Zhejiang Province,129.9366113,173.190858,112.65,113.165,4077,a11
Anhui Province,134.6205474,162.6132752,112.94,130.31,1453,a12
Fujian Province,117.2196201,151.4358427,113.49,120.295,3402,a13
Jiangxi Province,137.8607427,191.3189224,126.38,137.26,1474,a14
Shandong Province,110.0596717,130.8153054,110.78,115.02,2834,a15
Henan Province,115.9729857,148.8105956,116.65,132.995,1656,a16
Hubei Province,133.1428999,194.264995,122.25,128.145,1913,a17
Hunan Province,131.5771501,202.5732896,113.04,125.435,1649,a18
Guangdong Province,103.5381769,135.4672149,128.05,143.35,3871,a19
Guangxi Zhuang Autonomous Region,126.792023,197.1967315,122.68,132.64,1414,a20
Hainan Province,117.9309919,185.2274308,138.55,138.01,2066,a21
Chongqing Municipality,147.4633825,259.2038826,103.94,115.775,1907,a22
Sichuan Province,135.8531424,215.2415497,111.15,113.71,1506,a23
Guizhou Province,140.9189102,197.15461,106.73,109.28,839,a24
Yunnan Province,129.6067323,184.525897,104.77,109.555,1450,a25
Tibet Autonomous Region,110.1038716,117.4206802,89.13,91.91,1390,a26
Shaanxi Province,130.690787,172.1480683,114.94,123.87,1510,a27
Gansu Province,137.6698189,164.0908847,111.28,118.885,1255,a28
Qinghai Province,136.6173032,158.3507963,98.06,106.36,1562,a29
Ningxia Hui Autonomous Region,118.1608691,140.0708902,102.89,104.35,1634,a30
Xinjiang Uyghur Autonomous Region,128.0760832,162.8572886,105.87,107.31,2241,a31
