FIPS,2010-,2000-2009,1990-1999,1980-1989,1970-1979,1960-1969,1950-1959,1940-1949,-1939
1001,3.03,24.84,23.32,12.96,15.38,11.49,4.47,1.41,3.11
1003,1.57,32.88,25.16,16.62,10.82,5.1,3.56,1.93,2.36
1005,1.39,10.01,20.34,18.8,17.13,11.05,7.85,4.73,8.69
1007,0.86,15.68,19.96,17.71,14.94,10.22,6.5,5.65,8.49
1009,0.35,18.8,25.77,14.32,16.29,8.89,6.33,4.91,4.35
1011,3.69,14.34,17.95,23.11,13.63,7.72,4.16,4.36,11.03
1013,0.9,9.14,25.59,18.24,15.51,9.68,7.26,4.22,9.46
1015,0.94,11.59,14.4,15.88,18.84,13.66,11.07,7.7,5.92
1017,1.17,12.53,13.46,11.08,18.13,13.31,11.78,7.06,11.48
1019,1.48,16.65,21.94,16.24,15.79,10.82,8.56,2.82,5.7
1021,1.01,19.98,23.28,15.6,15.48,8.55,7.24,4.18,4.67
1023,0.5,11.91,19.29,19.29,17.38,12.73,11.18,2.73,4.99
1025,0.48,12.09,23.25,13.75,16.41,13.73,9.18,4.06,7.06
1027,0.49,13.51,15.69,14.37,16.7,9.16,9.64,7.93,12.51
1029,2.46,14.54,21.13,15.29,17.53,11.24,5.7,3.36,8.75
1031,1.51,20.97,17.95,16.27,17.9,10.94,6.59,4.68,3.2
1033,1.09,11.04,15,12.54,18.4,15.49,12.39,6.38,7.67
1035,0.51,7.64,26.27,20.51,14.02,6.21,7.84,4.16,12.84
1037,1.45,14.03,22.29,15.38,13.01,12.44,8.72,6.31,6.36
1039,1.29,9.8,16.06,15.64,17.83,13.86,9.98,6.56,8.98
1041,0.61,11,18.84,15.64,20.01,10,7.59,6.45,9.85
1043,0.75,13.91,20.45,17.71,17.58,12.13,7.02,4.4,6.06
1045,1.69,16.27,16.79,17.92,21.84,12.83,5.74,2.38,4.54
1047,0.55,9.19,16.57,11.25,19.82,15.36,12.61,6.76,7.89
1049,1.01,13.01,18.62,17.62,22.67,12.45,6.93,3.57,4.12
1051,2.94,26.51,24.5,12.1,16.12,7.92,3.86,2.13,3.94
1053,0.61,9.18,21.81,18.71,17.78,12.54,10.47,3.99,4.91
1055,0.75,10.27,11.98,13.39,17.3,12.6,11.99,10.19,11.52
1057,0.81,8.69,16.2,19.04,20.37,11.69,7.52,8.1,7.58
1059,1.33,8.04,19.63,16.24,22.15,13.91,9.06,5.27,4.35
1061,1.08,12.76,18.68,15.35,18.55,11.29,9.38,5.31,7.6
