FIPS,2009,2010,2011,2012,2013,2014
1001,130700,133900,137500,137900,136200,136600
1003,173100,177200,175700,172900,168600,168800
1005,83400,88200,91600,88700,89200,89500
1007,81300,81200,87500,91600,90500,96300
1009,109700,113700,111500,115200,117100,117700
1011,65700,66300,68000,73900,70600,68900
1013,68000,70200,74300,73500,74700,76000
1015,94600,98200,99600,101900,100600,103300
1017,79200,82200,82400,78000,81200,82400
1019,96200,97100,96200,99900,99400,98500
1021,102100,103700,104300,103700,102600,98800
1023,61500,63400,61400,59300,58200,59100
1025,72400,73300,79900,84800,85600,84700
1027,78400,82900,83400,80600,79900,82200
1029,88600,87900,88200,91300,100800,101000
1031,113500,116700,121800,126400,131000,137000
1033,92900,94700,97300,101500,99300,99900
1035,67800,72500,76700,74200,69600,65800
1037,68800,73100,79200,74500,75100,73100
1039,80100,85700,86100,86700,88800,90600
1041,70600,71900,75400,70000,70800,68100
1043,103600,102200,102300,104700,106100,107000
1045,88800,93900,96800,96100,99400,103300
1047,70300,70300,70200,73700,75700,79200
1049,80300,84400,87400,89400,93400,95300
1051,131400,136500,143200,143900,144600,143800
1053,81100,83800,84500,85300,84100,88000
1055,95300,98200,102000,101200,100000,100400
1057,71400,71500,72200,72600,71400,72700
1059,76700,78200,81400,82000,82300,86300
1061,71500,77200,82000,79400,78100,78100
1063,71700,71500,77100,77200,72700,69100
1065,70900,70600,73500,80300,79900,86800
1067,88500,89700,95100,100400,97000,93900
1069,111300,116300,120500,122000,122300,121600
1071,84200,86300,88900,92000,93400,93800
1073,132700,138300,141700,142300,140800,141300
1075,64100,68200,70000,69900,66800,66800
1077,100600,107400,108100,111900,114300,115300
1079,92100,97600,95000,96600,94200,92400
1081,131000,139500,144100,149300,146900,150100
1083,115100,122300,128700,132500,134500,138100
1085,61800,64000,64900,70200,71400,69100
1087,78700,79200,77900,77500,75700,73400
1089,147700,155600,160400,163300,164500,166500
1091,76500,79000,88500,89500,89600,89600
1093,71500,74700,75900,76400,78700,77700
1095,98100,101300,107000,109800,114000,114600
1097,113200,120700,124100,125400,124300,124500
1099,81800,80400,77900,76600,76900,78800
1101,116300,121000,124000,123500,122900,123100
1103,109800,115300,117300,121100,120500,121900
1105,60600,61000,62200,63500,58000,61700
1107,73700,81100,81200,82500,81900,85600
1109,85500,93900,102800,101600,101000,101900
1111,85500,88100,91200,89100,88600,89700
1113,91300,93300,96200,102000,104400,108600
1115,119600,126500,129700,132600,134600,135200
