FIPS,2009,2010,2011,2012,2013,2014
1001,51463,53255,53899,53773,53682,52475
1003,48918,50147,51321,50706,50221,50183
1005,32537,33219,34041,31889,32911,35634
1007,41236,41770,40506,36824,36447,37984
1009,45406,45549,45404,45192,44145,44409
1011,26209,31602,31955,34500,32033,34804
1013,31938,30659,31273,30752,29918,31571
1015,38382,38407,39467,40093,39962,40919
1017,32433,31467,32186,32181,32402,32835
1019,40240,40690,37833,36241,34907,34983
1021,38966,39486,40418,40834,41250,41785
1023,30749,31076,32188,35123,33941,34325
1025,27080,27439,29668,30954,29357,30951
1027,37652,35595,35410,34556,34002,35286
1029,33742,36077,38785,37244,38019,37008
1031,41973,42253,42065,44626,43768,45558
1033,39366,39610,40247,40158,39077,39914
1035,27216,26944,27977,27064,24658,24433
1037,33595,35560,37191,37425,37277,32340
1039,33278,33852,33544,35321,35869,36256
1041,31058,35140,38041,37309,36275,37349
1043,38394,38567,38703,39244,38847,39415
1045,42225,43353,45491,45247,44889,44473
1047,26442,26029,26909,26178,26519,26494
1049,33634,35065,36853,36853,37851,37977
1051,52971,53128,54831,55514,54766,54159
1053,32321,31927,31638,31075,30687,31422
1055,36378,36422,37772,37660,38013,38467
1057,35754,34560,33378,33090,33838,33144
1059,33380,33942,35831,37235,36415,35450
1061,31055,34140,35237,33618,35625,36268
1063,22352,22222,23004,23777,24226,22170
1065,29841,29299,29236,29409,30051,30839
1067,35792,38379,39948,40680,41650,42926
1069,41096,41022,41766,41828,40948,41077
1071,35073,36312,36383,37059,37634,36874
1073,44718,45244,45750,45415,45429,45239
1075,31094,33887,34711,35271,36028,36021
1077,37691,39345,39702,40701,42844,42703
1079,41472,40516,40009,39526,38551,40356
1081,38588,40894,42320,43189,43542,43641
1083,44997,46682,47199,48197,48619,49461
1085,30270,29714,27905,28023,26230,25678
1087,26305,27544,29355,27957,30724,30254
1089,54979,55851,57453,58242,58434,58203
1091,30819,32940,35165,34515,35079,33714
1093,32224,32769,31799,31970,32888,33819
1095,37396,37661,38563,38649,39526,39473
1097,40476,40996,42187,42973,43028,43844
1099,29810,30235,29849,30996,29203,30569
1101,43015,43725,44587,44401,44790,44830
1103,42913,44349,45564,45852,44800,45341
1105,26270,25950,27222,31008,28209,25528
1107,27150,28280,29096,28762,28741,29839
1109,28065,29181,31179,31702,33090,32798
1111,35137,34593,35823,35074,35213,36498
1113,32064,32481,33754,33591,36143,36066
1115,48425,48837,49200,49652,50786,51317
1117,67534,68380,68883,69379,68770,69723
1119,20994,25338,21964,22655,22186,22865
1121,35865,36948,36609,35209,35439,35896
1123,36637,36904,39423,38611,39130,38644
1125,39579,42311,43538,43996,45408,46448
1127,36708,37191,37161,37408,37566,36712
1129,34738,36431,40286,42256,42156,44731
1131,22006,23491,23750,24212,23642,23406
1133,29818,33685,32557,32830,32900,34064
2013,56250,54375,57083,58125,61250,59886
2016,72989,72917,75179,77292,81853,82284
2020,70151,73004,75485,76495,77454,78121
2050,53120,52214,52063,52349,51689,51930
2060,62500,84000,80000,79931,79531,82500
2068,76250,72500,82898,74044,72500,79167
2070,60466,60800,57681,56857,54150,54846
2090,65121,66598,68922,69485,69223,70408
2100,44284,47981,51667,50208,52866,57551
2105,43208,43750,49545,48942,49545,50268
2110,76437,75517,77465,78947,81490,84750
2122,55966,57454,59256,59421,61793,63099
2130,57500,61695,57243,59736,62519,61712
2150,59655,60776,66326,70976,68718,70529
2164,41458,40909,51429,49808,51786,47143
2170,66052,67703,70343,70728,71037,72134
2180,55766,53899,52435,51472,49974,47579
2185,66556,68517,76667,76679,80761,74609
2188,57885,55217,59893,60870,61607,63971
2195,61115,62317,64216,61696,63934,61492
2198,45889,45728,45513,45774,46071,46387
2220,58895,62024,69798,66895,69405,69635
2230,71295,73500,73000,71583,71667,72868
2240,59407,59596,59917,62712,56801,65481
2261,55952,60383,62238,67421,74878,81736
2270,36712,37955,39583,40608,40176,40943
2275,49508,50389,50000,47348,45841,48324
2282,66250,65750,74844,71705,72500,69306
2290,33716,33712,35335,35559,34710,37796
