FIPS,2009,2010,2011,2012,2013,2014
1001,854,889,912,918,887,875
1003,846,887,926,909,893,913
1005,535,577,591,577,561,573
1007,466,491,534,561,572,599
1009,653,690,707,730,718,706
1011,477,505,524,540,522,520
1013,528,543,554,565,525,513
1015,628,664,673,668,642,642
1017,556,559,566,568,586,617
1019,484,513,575,623,603,589
1021,648,663,678,672,669,636
1023,375,397,446,454,440,449
1025,384,423,490,503,509,498
1027,500,518,528,500,565,546
1029,500,534,550,526,540,567
1031,667,681,702,726,693,691
1033,624,632,628,631,624,639
1035,378,375,398,397,389,389
1037,540,559,607,547,555,544
1039,506,518,523,533,541,532
1041,492,523,572,534,488,487
1043,651,661,675,685,682,690
1045,610,649,672,663,656,669
1047,563,599,605,611,609,605
1049,507,545,560,588,577,579
1051,855,905,937,927,928,926
1053,549,544,531,481,468,444
1055,597,626,654,668,662,659
1057,458,460,475,473,448,451
1059,550,563,579,581,562,549
1061,448,451,460,455,449,452
1063,473,470,483,483,479,477
1065,509,532,573,581,578,569
1067,418,526,526,612,610,616
1069,679,711,720,717,722,711
1071,481,511,524,542,534,512
1073,948,993,1019,1009,996,976
1075,463,489,512,517,481,469
1077,631,667,682,687,680,688
1079,649,642,627,615,597,562
1081,828,864,890,904,900,911
1083,738,777,778,795,811,820
1085,575,574,600,651,612,657
1087,609,630,648,633,623,610
1089,929,945,969,973,962,968
1091,543,543,607,569,575,572
1093,479,502,504,504,484,480
1095,581,597,624,647,674,674
1097,816,841,874,895,885,883
1099,426,463,463,460,465,493
1101,895,939,962,956,935,924
1103,709,742,758,753,736,722
1105,519,511,500,529,518,530
1107,460,493,513,549,552,550
1109,494,530,576,588,590,627
1111,480,502,550,534,568,545
1113,652,688,724,745,782,772
1115,693,747,812,816,831,828
1117,1201,1235,1260,1245,1234,1209
1119,418,525,524,542,523,537
1121,565,606,623,622,621,625
1123,600,629,656,635,599,622
1125,849,898,922,928,949,958
1127,493,519,530,520,493,492
1129,377,440,490,515,493,507
1131,483,513,533,514,536,479
1133,507,529,510,523,511,489
2013,666,624,741,685,678,711
2016,836,789,878,928,992,1051
2020,1648,1698,1746,1741,1739,1719
2050,446,492,551,573,568,559
2060,793,816,882,920,911,1011
2068,1007,1055,1050,1004,745,735
2070,650,649,673,664,658,687
2090,1425,1415,1445,1473,1451,1499
2100,726,693,742,754,791,913
2105,534,475,538,496,540,500
2110,1625,1604,1708,1785,1767,1691
2122,1000,1027,1084,1044,1027,1020
2130,1143,1392,1399,1448,1444,1320
2150,1481,1420,1489,1589,1423,1508
2164,554,490,511,482,481,483
2170,1344,1396,1404,1408,1370,1350
2180,649,712,736,727,764,713
2185,804,685,673,670,601,558
2188,738,773,798,794,797,838
2195,908,900,958,1064,1034,1018
2198,494,484,490,476,479,485
2220,1158,1093,1269,1155,1082,1099
2230,918,993,1330,1238,1395,1353
2240,595,567,592,581,630,649
2261,791,826,792,870,860,807
2270,362,404,417,423,431,455
2275,750,584,585,624,502,501
2282,850,569,793,644,693,732
2290,402,410,443,466,456,440
4001,229,252,250,252,253,253
4003,755,793,791,781,735,732
4005,961,1002,1010,985,927,940
4007,543,571,568,560,576,555
4009,613,585,634,656,666,716
4011,382,370,369,359,362,351
4012,355,353,343,354,345,326
4013,1327,1359,1361,1315,1243,1184
4015,739,749,745,719,681,653
4017,456,496,531,506,475,447
4019,1024,1056,1076,1059,1021,982
4021,1027,1094,1100,1039,980,928
4023,925,900,923,924,882,857
4025,845,860,866,842,819,808
4027,639,734,776,768,770,762
5001,537,551,560,582,568,579
5003,560,548,506,497,479,463
5005,499,529,547,556,569,550
5007,951,975,1001,986,968,960
5009,587,609,654,645,612,610
5011,468,486,509,529,508,500
5013,430,431,434,438,444,477
5015,604,611,628,597,593,574
5017,447,502,551,546,522,494
5019,499,517,545,598,611,495
5021,440,419,448,456,451,460
5023,486,506,528,542,525,568
5025,435,484,493,449,483,473
5027,548,557,546,525,515,502
5029,501,504,498,510,539,552
5031,696,717,735,759,758,781
5033,612,652,676,673,672,701
5035,834,823,814,852,806,808
5037,631,630,627,600,635,639
5039,393,405,408,392,390,414
5041,483,523,564,548,496,492
5043,528,535,544,526,495,535
5045,832,848,877,910,925,933
5047,491,473,520,518,482,523
5049,425,429,410,469,481,515
5051,616,645,643,663,663,645
5053,675,638,627,627,601,573
5055,594,623,637,656,676,672
5057,523,542,504,524,545,493
5059,523,541,522,526,530,541
5061,519,547,578,549,526,499
5063,528,545,539,551,584,588
5065,474,442,457,450,457,458
5067,461,448,452,451,447,446
5069,621,620,627,620,636,623
5071,502,506,545,542,518,518
5073,390,411,418,430,425,432
5075,483,463,488,456,446,434
5077,459,439,421,426,415,420
5079,567,543,486,457,450,442
5081,464,492,532,516,507,459
5083,472,483,499,499,497,487
5085,854,851,869,879,878,882
5087,522,523,482,429,431,459
5089,430,447,462,480,472,520
5091,565,565,556,557,561,548
5093,581,596,620,643,638,645
5095,511,468,497,462,464,437
5097,359,376,383,376,391,402
5099,536,555,522,475,470,468
5101,299,299,312,326,333,338
5103,471,476,482,481,463,463
5105,474,464,444,474,442,438
5107,458,457,494,497,517,512
5109,440,472,462,481,497,508
5111,499,498,516,515,521,505
5113,439,431,403,447,457,486
5115,624,646,654,667,655,656
5117,489,503,522,499,488,474
5119,907,927,958,954,946,935
5121,479,496,506,489,476,462
5123,499,510,533,562,585,584
5125,801,806,849,881,878,877
5127,372,384,398,423,452,447
5129,293,305,333,326,340,356
5131,705,709,741,733,736,732
5133,552,559,570,516,532,519
5135,390,423,452,458,476,513
5137,444,446,466,453,438,446
5139,516,512,529,528,509,497
5141,427,447,445,454,434,445
5143,886,916,939,941,923,931
5145,609,628,668,676,658,664
5147,429,421,479,447,448,434
5149,513,511,515,558,561,569
6001,2231,2277,2305,2270,2206,2167
6003,1548,1375,1430,1506,970,1200
6005,1291,1359,1359,1322,1268,1128
6007,1025,1054,1090,1087,1070,1046
