fips,medianTaxes2010,medianTaxes2011,medianTaxes2012,medianTaxes2013,medianTaxes2014
1001,366,392,415,433,441
1003,557,574,587,586,590
1005,298,314,321,311,314
1007,210,225,222,246,247
1009,352,368,384,399,417
1011,308,354,344,332,288
1013,306,329,332,330,328
1015,399,420,428,433,444
1017,259,283,291,322,344
1019,360,388,408,402,402
1021,385,384,402,401,391
1023,200-,200-,200-,200-,200-
1025,279,292,283,277,268
1027,210,220,229,247,265
1029,337,374,410,437,426
1031,415,460,490,509,529
1033,355,374,391,373,378
1035,314,346,319,320,306
1037,212,200-,225,256,261
1039,265,293,295,299,307
1041,206,247,258,249,277
1043,291,297,311,339,353
1045,300,332,357,388,386
1047,288,307,323,345,358
1049,269,303,318,323,334
1051,367,395,424,423,428
1053,336,358,365,365,377
1055,372,399,413,424,429
1057,200-,209,231,226,234
1059,282,296,301,284,287
1061,224,252,270,273,287
1063,242,250,269,261,250
1065,217,247,293,310,326
1067,334,354,373,360,342
1069,359,386,407,406,419
1071,269,281,306,322,339
1073,802,857,882,888,912
1075,200-,200-,200-,200-,200-
1077,456,483,517,534,545
1079,281,310,306,315,330
1081,693,726,752,776,802
1083,378,416,445,468,487
1085,279,280,347,338,325
1087,336,350,332,373,368
1089,667,709,730,747,763
1091,265,278,279,282,283
1093,200-,218,230,245,251
1095,388,422,452,462,476
1097,601,634,662,671,680
1099,244,236,240,242,247
1101,435,460,478,485,484
1103,427,449,466,476,483
1105,200-,200-,215,200-,206
1107,250,246,269,268,285
1109,320,310,319,342,355
1111,301,311,312,310,304
1113,407,437,475,505,523
1115,391,423,432,451,454
1117,905,944,958,959,978
1119,250,240,247,251,260
1121,340,358,365,369,372
1123,292,296,308,326,355
1125,479,493,527,559,586
1127,232,253,262,255,270
1129,235,253,238,249,243
1131,246,231,271,291,287
1133,241,246,257,280,261
2013,200-,200-,200-,200-,7500
2016,2321,2641,2716,2659,2478
2020,3563,3650,3727,3849,3882
2050,200-,200-,1071,200-,1298
2060,1513,1607,1778,1805,1963
2068,200-,200-,200-,200-,200-
2070,2132,2180,2328,2451,2455
2090,2693,2769,2789,2807,2822
2100,1012,1282,1248,1343,1535
2105,678,1750,2440,2281,1986
2110,2854,2865,2859,2914,2884
2122,1501,1526,1502,1524,1546
2130,2157,2230,2237,2180,2123
2150,1841,1997,2098,2087,2375
2164,1250,2071,2100,200-,-
2170,2436,2514,2570,2600,2613
2180,1948,1969,1683,1445,1597
2185,1888,2121,2198,2104,2183
2188,2944,2300,1808,1656,1841
2195,2089,2108,1965,2072,1929
2198,1153,1144,1175,1200,1283
2220,1683,1711,1698,1715,1719
2230,1483,1660,1765,1787,1704
2240,1848,1828,1677,1750,1727
2261,1829,1730,1831,2001,2117
2270,200-,200-,200-,200-,2417
2275,1174,1164,1085,938,1165
2282,768,1016,979,1093,1133
2290,750,617,608,700,369
4001,598,643,663,646,627
4003,977,1023,1071,1070,1088
4005,1290,1337,1353,1377,1400
4007,942,959,1018,1086,1087
4009,627,659,696,724,746
4011,303,302,363,349,357
4012,831,824,803,830,812
4013,1418,1439,1433,1427,1408
4015,916,925,931,919,896
4017,842,847,879,895,861
4019,1614,1678,1703,1712,1701
4021,1383,1407,1361,1326,1280
4023,1131,1186,1231,1222,1208
4025,1246,1285,1300,1310,1316
4027,895,935,958,963,961
5001,391,392,404,406,422
5003,365,366,375,367,371
5005,585,623,639,653,653
5007,929,998,1039,1052,1102
5009,546,570,574,580,583
5011,387,390,391,392,396
5013,275,282,328,319,348
5015,643,673,709,753,742
5017,346,375,384,398,394
5019,464,480,513,500,485
5021,373,371,387,394,393
5023,484,503,526,519,527
5025,399,450,433,445,478
5027,393,448,463,478,479
5029,421,412,428,438,472
5031,572,614,640,664,698
5033,550,554,596,627,654
5035,587,588,592,612,682
5037,385,399,410,413,437
5039,371,375,365,370,370
5041,322,354,370,379,390
5043,403,443,459,483,513
5045,706,738,802,844,903
5047,441,477,497,489,526
5049,391,447,478,483,476
5051,581,613,661,666,673
5053,440,471,483,507,531
5055,472,496,527,557,598
5057,355,367,367,382,370
5059,437,455,460,464,493
5061,370,384,389,409,443
5063,496,515,512,536,553
5065,461,489,496,492,496
5067,351,357,356,349,324
5069,450,486,508,510,506
5071,442,440,434,467,467
5073,331,332,324,307,328
5075,351,361,359,361,365
5077,286,274,292,313,340
5079,386,392,389,374,373
5081,356,374,372,382,359
5083,452,466,487,451,451
5085,684,707,748,799,841
5087,396,409,422,455,442
5089,489,509,499,523,530
5091,551,580,606,605,617
5093,364,375,378,372,411
5095,351,378,381,385,377
5097,388,400,378,386,390
5099,364,363,342,345,319
5101,345,360,366,359,354
5103,372,374,390,386,393
5105,409,444,434,421,473
5107,345,360,366,357,341
5109,426,426,411,435,432
5111,355,355,359,357,372
5113,366,400,422,426,429
5115,488,533,558,578,654
5117,376,377,392,382,382
5119,915,973,1007,1058,1102
5121,333,355,355,377,381
5123,355,355,368,379,383
5125,798,836,889,920,970
5127,343,362,349,367,365
5129,325,342,378,407,452
5131,639,674,698,720,721
5133,346,345,343,339,341
5135,387,386,395,413,439
5137,355,353,368,363,374
5139,395,421,432,454,456
5141,403,393,387,419,448
5143,909,959,987,1007,1056
5145,473,491,509,522,523
5147,363,369,360,357,343
5149,400,429,492,508,521
6001,3993,4181,4270,4324,4411
6003,2244,2417,2020,1945,2274
6005,1932,1992,2043,2080,2059
6007,1548,1647,1648,1663,1684
6009,2193,2199,2235,2211,2146
6011,1403,1434,1431,1438,1431
6013,3883,3929,3921,3883,3936
6015,1416,1545,1470,1463,1380
6017,2744,2772,2843,2920,2913
6019,1666,1716,1721,1726,1734
6021,1433,1459,1468,1526,1570
6023,1651,1733,1750,1789,1784
6025,1343,1374,1393,1379,1365
6027,1414,1496,1533,1606,1542
6029,1746,1784,1795,1810,1793
6031,1353,1419,1427,1423,1408
6033,1645,1639,1609,1586,1518
6035,1234,1321,1408,1449,1406
6037,2989,3131,3218,3301,3372
6039,1616,1685,1669,1613,1603
6041,5500,5718,5942,6099,6274
6043,1482,1566,1708,1686,1686
6045,2002,2078,2065,2107,2137
6047,1558,1543,1457,1442,1434
6049,953,1171,1199,1183,1103
6051,2299,2556,2426,2328,2284
6053,2894,2912,2874,2818,2800
6055,3342,3457,3524,3498,3563
6057,2697,2875,2901,2929,2856
6059,3404,3519,3620,3703,3807
6061,3441,3516,3488,3481,3525
6063,1475,1457,1476,1573,1616
6065,2618,2659,2642,2603,2606
6067,2204,2243,2251,2225,2245
6069,3716,3684,3487,3416,3257
6071,1997,2046,2083,2052,2073
6073,2955,3046,3086,3144,3226
6075,4311,4542,4793,4949,5226
6077,2340,2337,2273,2211,2173
6079,3002,3095,3122,3120,3159
6081,4424,4683,4847,4977,5163
6083,2919,3026,2996,3049,3116
