fips,pctMigration2011,pctMigration2012,pctMigration2013,pctMigration2014
1001,0.71,-0.18,-0.24,0.25
1003,1.66,1.92,2.29,2.08
1005,-0.91,-0.16,-0.67,-0.22
1007,-0.55,-0.57,-0.71,-0.02
1009,0.28,-0.05,-0.09,-0.18
1011,-3.75,-1.55,0.31,1.34
1013,-1.45,-1.33,-0.5,0.02
1015,-0.57,-0.5,-0.37,-0.38
1017,-0.34,0.44,0.42,-0.16
1019,0.59,0.12,0.7,0.04
1021,0.1,-0.23,0.1,0.06
1023,-1.49,0.37,-0.85,-0.11
1025,-0.14,-1.61,0.04,-0.8
1027,-0.09,-1.11,0.62,0.61
1029,-0.72,-0.44,0.72,0.36
1031,0.32,1.13,-0.95,-0.05
1033,0.11,0.14,0.24,0.24
1035,-0.61,-0.44,-0.68,-1.48
1037,-5.95,-1.14,-0.47,-1.59
1039,0.8,-0.33,0.16,0.42
1041,0.22,0.92,0.22,0.46
1043,0.02,-0.02,0.46,0.58
1045,-1.04,0.13,-1.31,-0.95
1047,-1.31,-1.05,-1.63,-0.92
1049,0.08,-0.82,-0.04,0.15
1051,0.33,0.18,0.23,-0.09
1053,-0.61,-0.43,-0.27,-0.32
1055,0.08,0.29,-0.13,-0.12
1057,-0.11,-0.04,-0.44,0.05
1059,0.18,-0.37,-0.67,0.09
1061,0.02,0.76,-0.68,0.04
1063,-1.35,-0.71,-1,-2.08
1065,-2.07,0.12,-0.24,-0.86
1067,0.78,-0.75,0.12,0.02
1069,0.23,0.6,0.1,0.35
1071,0.31,-0.27,-0.05,-0.35
1073,-0.32,-0.29,-0.08,0.02
1075,-1.03,0.1,0.11,-0.49
1077,0.2,0.02,0.28,0.55
1079,-0.57,-0.75,-0.58,-0.14
1081,1.4,2.11,1.54,1.08
1083,2.12,2.04,1.26,1.72
1085,-1.21,-2.42,-1.48,-1.53
1087,-1.43,-3.06,-3.11,-1.65
1089,0.7,0.56,0.74,0.55
1091,-1.36,-1.39,-1.13,-0.45
1093,-0.08,-0.33,-0.53,0.2
1095,0.66,0.3,0.06,-0.06
1097,-0.54,-0.19,-0.23,-0.11
1099,-1.01,-0.79,-1.69,-0.94
1101,0.51,-1.36,-1.58,-0.84
1103,0.02,0.07,-0.49,-0.11
1105,-1.55,-3.18,-1.35,-1.27
1107,-1.86,0.17,0.39,4.92
1109,-0.38,0.64,0.48,-0.89
1111,-0.46,-0.55,0.13,-0.53
1113,2.83,4.28,2.39,-0.23
1115,0.29,0.77,1.01,0.24
1117,0.42,0.87,1.01,0.68
1119,-2,-0.89,-0.26,-1.21
1121,-0.35,0.07,-0.43,0.21
1123,0.38,-0.65,0.2,0.04
1125,0.72,0.52,0.67,0.38
1127,-0.36,-0.45,-0.08,-0.28
1129,-1.39,-1.15,-1.11,0.18
1131,-1.23,-0.89,-1.14,-1.37
1133,0,-0.34,0.25,0.1
2013,-0.09,-0.95,-1.42,-0.18
2016,-1.23,0.07,-1.09,0.47
2020,-0.34,-0.29,-0.11,-1.26
2050,-0.29,-0.44,-1.05,-1.38
2060,2.1,-5.3,-3.35,-0.42
2068,-0.05,0.64,-0.58,-1.76
2070,0.1,-1.25,-0.79,-1.12
2090,-0.35,-0.23,-0.87,-2.7
2100,1.24,-0.62,0.04,-1.09
2105,-2.33,0,-0.05,-3.51
2110,1.53,0.06,-0.08,-1.44
2122,0.76,0.32,-0.04,0.25
2130,-0.35,-0.04,-0.8,-0.18
2150,0.35,0.99,-1.02,-2.23
2164,0.67,-2.11,1.03,-3.01
2170,1.4,1.16,0.49,1.21
2180,0.96,-1.61,-1.08,-1.97
2185,-1.24,-0.33,-0.4,-1.78
2188,-0.15,-1.58,-1.82,-1.1
2195,-0.06,-0.49,-1.67,-2.58
2198,1.46,-0.85,-0.03,-0.94
2220,-0.35,0.79,-0.88,-2.05
2230,-1.66,3.33,1.61,3.06
2240,-0.18,-0.81,-3.33,-1.69
2261,0.08,-1,-0.42,-4.24
2270,0.15,-0.51,0.18,-0.86
2275,1.1,1.13,0.88,-1.71
2282,-3.18,-0.31,-3.53,-1.26
2290,-0.39,-0.78,-1.69,-2.19
4001,0.23,0.34,-2.01,-0.58
4003,0.67,-0.98,-2.07,-2.07
4005,-0.9,0.63,-0.25,0
4007,-0.67,-0.65,0.13,0.4
4009,-0.78,-0.21,0.36,0.64
4011,2.07,1.15,2.44,3.31
4012,-0.06,-0.68,0.43,-0.23
4013,0.68,1.16,1.01,1.1
4015,0.59,0.62,0.17,0.55
4017,-1.06,-0.89,-0.22,0.08
4019,0.36,0.15,0.08,0.31
4021,-1.16,0.32,0.17,1.95
4023,-0.41,-1.13,-1.82,-1.72
4025,0.57,0.98,1.56,1.85
4027,1.1,-1.07,-1.22,-0.36
5001,-0.69,0.17,-1,-1.37
5003,-0.87,-0.7,-1.19,-1.47
5005,0.76,0.25,0.45,0.59
5007,1.29,1.31,1.16,1.39
5009,0.49,0.69,0.04,-0.58
5011,-0.19,-0.69,-0.84,-0.33
5013,-3.38,0.55,-1.13,-0.46
5015,-0.21,0.47,0.61,-0.05
5017,-0.56,-1.99,-0.86,-1.23
5019,-0.38,-0.11,-0.38,-0.5
5021,-0.64,-0.7,-0.75,-0.55
5023,0.01,-0.05,-0.09,0.46
5025,-0.3,-0.6,-0.86,-1.34
5027,-0.36,-0.94,-0.77,-1.32
5029,-0.4,0.15,-0.24,-0.68
5031,1.08,0.9,0.97,0.38
5033,-0.4,-0.15,-0.75,-0.2
5035,-1.43,-1.53,-1.2,-0.97
5037,-0.39,-0.55,-0.96,-1.77
5039,-0.31,-1.19,-0.45,-1.93
5041,-1.74,-1.15,-0.51,-1.91
5043,-0.51,0.06,-0.09,-0.74
5045,1.31,1.22,0.05,0.57
5047,-0.58,0.13,0.03,-0.85
