country-sovereign,capital,latitude,longitude,most_recent,1_s_term,2_recent,2_s_term,2_e_term,3_recent,3_s_term,3_e_term,4_recent,4_s_term,4_e_term,5_recent,5_s_term,5_e_term,6_recent,6_s_term,6_e_term,7_recent,7_s_term,7_e_term,Links to Data
Portugal,Lisbon,38.713057,-9.138006,Fernando Medina,2015,António Costa,2007,2015,António Carmona Rodrigues,2004,2007,Pedro Santana Lopes,2002,2004,João Soares,1996,2002,Jorge Sampaio,1989,1996,Nuno Krus Abecasis,1980,1989,https://en.wikipedia.org/wiki/List_of_mayors_of_Lisbon
Spain,Madrid,40.416705,-3.703582,Manuela Carmena,2015,Ana Botella,2011,2015,Alberto Ruiz-Gallardón,2003,2011,José del Manzano,1991,2003,Agustín Rodríguez Sahagún,1989,1991,Juan Barranco Gallardo,1986,1989,Enrique Tierno Galván,1979,1986,https://en.wikipedia.org/wiki/List_of_mayors_of_Madrid
France,Paris,48.856506,2.352133,Anne Hidalgo,2014,Bertrand Delanoë,2001,2014,Jean Tiberi,1995,2001,Jacques Chirac,1977,1995,N/A,1871,1977,Joseph Vautrain,1871,1871,Louis Charles Delescluze,1871,1871,https://en.wikipedia.org/wiki/List_of_mayors_of_Paris
United Kingdom,City of London,51.515618,-0.091998,Lord Mountevans,2015,Sir Alan Yarrow,2014,2014,Dame Fiona Woolf,2013,2013,Sir Roger Gifford,2012,2012,Sir David Wootton,2011,2011,Sir Michael Bear,2010,2010,Nick Anstee,2009,2009,https://en.wikipedia.org/wiki/List_of_Lord_Mayors_of_London#21st_century
Ireland,Dublin,53.349765,-6.260273,Críona Ni Dhálaigh,2015,Christy Burke,2014,2014,Oisín Quinn,2013,2013,Naoise Ó Muirí,2012,2012,Andrew Montague,2011,2011,Gerry Breen,2010,2010,Emer Costello,2009,2010,https://en.wikipedia.org/wiki/List_of_Lord_Mayors_of_Dublin#21st_century
Belgium,City of Brussels,50.855688,4.360083,Yvan Mayeur,2013,Freddy Thielemans,2001,2013,François-Xavier de Donnea,1995,2000,Freddy Thielemans,1994,1995,Michel Demaret,1993,1994,Hervé Brouhon,1983,1993,Pierre Van Halteren,1975,1983,https://en.wikipedia.org/wiki/List_of_mayors_of_the_City_of_Brussels#Kingdom_of_Belgium_.281830.E2.80.93present.29
Netherlands,Amsterdam,52.374436,4.897996,Eberhard van der Laan,2010,Job Cohen,2001,2010,Schelto Patijn,1994,2001,Ed van Thijn,1983,1994,Wim Polak,1977,1983,Ivo Samkalden,1967,1977,Gijs van Hall,1957,1967,https://en.wikipedia.org/wiki/List_of_mayors_of_Amsterdam#21st_century
Germany,Berlin,52.517037,13.38886,Michael Müller,2014,Klaus Wowereit,2001,2014,Eberhard Diepgen,1991,2001,Walter Momper,1989,1991,Eberhard Diepgen,1984,1989,Richard von Weizsäcker,1981,1984,Hans-Jochen Vogel,1981,1981,https://en.wikipedia.org/wiki/Governing_Mayor_of_Berlin#Reunified_Germany_.281990.E2.80.93present.29
Switzerland,Bern,46.948276,7.451501,Alexander Tschäppät,2005,Klaus Baumgartner,1993,2004,Werner Bircher,1979,1992,Reynold Tschäppät,1966,1979,Eduard Freimüller,1958,1966,Otto Steiger,1952,1958,Ernst Bärtschi,1937,1951,https://en.wikipedia.org/wiki/List_of_mayors_of_Bern
Italy,Rome,41.893344,12.483072,Ignazio Marino,2013,Gianni Alemanno,2008,2013,Walter Veltroni,2001,2008,Francesco Rutelli,1993,2001,Franco Carraro,1989,1993,Pietro Giubilo,1988,1989,Nicola Signorello,1985,1988,https://en.wikipedia.org/wiki/Mayor_of_Rome#Republic_of_Italy_.281946-present.29
Austria,Vienna,48.208354,16.372504,Michael Häupi,1994,Helmut Zilk,1984,1994,Leopold Gratz,1973,1984,Felix Slavik,1970,1973,Bruno Marek,1965,1970,Franz Jonas,1951,1965,Theodor Körner,1945,1951,https://en.wikipedia.org/wiki/List_of_mayors_of_Vienna#Mayors_and_State_governors_of_Vienna
Czech Republic,Prague,50.08744,14.421256,Adriana Krná?ová,2014,Tomáš Hude?ek,2013,2014,Bohuslav Svoboda,2010,2013,Pavel Bém,2002,2010,Jan Kasl,1998,2002,Jan Koukal,1993,1998,Milan Kondr,1991,1993,https://en.wikipedia.org/wiki/List_of_mayors_of_Prague#1993.E2.80.93present
Denmark,Copenhagen,55.686724,12.570072,Frank Jensen,2010,Ritt Bjerregaard,2006,2009,Lars Engberg,2004,2005,Jens Kramer Mikkelsen,1989,2004,Egon Weidekamp,1976,1989,Urban Hansen,1962,1976,Sigvard Munk,1956,1962,https://en.wikipedia.org/wiki/List_of_lord_mayors_of_Copenhagen
Norway,Oslo,59.913269,10.739111,Marianne Borgen,2015,Fabian Stang,2007,2015,Per Ditlev-Simonsen,1995,2007,Ann-Marit Sæbønes,1992,1995,Peter N. Myhre,1990,1991,Albert Nordengen,1976,1990,Brynjulf Bull,1964,1975,https://en.wikipedia.org/wiki/List_of_mayors_of_Oslo
Sweden,Stockholm,59.325117,18.071094,Karin Wanngård,2014,Sten Nordin,2008,2014,Kristina Axén Olin,2006,2008,Annika Billström,2002,2006,Carl Cederschiöld,1998,2002,Mats Hulth,1994,1998,Carl Cederschiöld,1991,1994,https://en.wikipedia.org/wiki/List_of_municipal_commissioners_for_finance_of_Stockholm
