id,name,adm1_code,num_employees_per_tenThousand_pop,num_businesses_per_tenThousand_pop,total_wages_dollars_per_100dollars_GDP,avg_weekly_wage,avg_annual_pay_thousands,civilianEmployees16,stateGDP_millions,num_employees,num_businesses,total_wages_thousands,total_wages_millions,avg_annual_pay
1,Alabama,USA-3541,1257.532506,24.95457491,6.448971795,1017,52.879,2010453,207303,252821,5017,13368912,13368.912,52879
3,Arizona,USA-3520,566.5699449,16.88577276,3.736146152,1360,70.718,2754982,295445,156089,4652,11038257,11038.257,70718
4,Arkansas,USA-3528,1231.316663,23.79930927,5.539405022,847,44.024,1251717,122492,154126,2979,6785328,6785.328,44024
5,California,USA-3521,748.4197276,24.17639515,4.243294501,1565,81.368,16890442,2424033,1264114,40835,102858859,102858.859,81368
6,Colorado,USA-3522,531.9164308,21.20511438,2.804259876,1253,65.168,2560703,316535,136208,5430,8876464,8876.464,65168
7,Connecticut,USA-3537,903.2991611,26.09605113,5.003020477,1565,81.393,1766934,259661,159607,4611,12990893,12990.893,81393
8,Delaware,USA-3555,602.4834371,18.18809067,2.312500378,1146,59.588,426103,66150,25672,775,1529719,1529.719,59588
9,Florida,USA-3542,397.1902657,23.09891646,2.07975298,1068,55.517,8335023,883735,331059,19253,18379505,18379.505,55517
10,Georgia,USA-3543,848.2086587,21.61125599,4.05406022,1061,55.151,4300074,496180,364736,9293,20115436,20115.436,55151
12,Idaho,USA-3518,851.1252328,34.14793648,5.363198982,1123,58.409,703410,65202,59869,2402,3496913,3496.913,58409
13,Illinois,USA-3546,959.6154264,32.18982131,4.984957055,1267,65.866,6032031,764817,578843,19417,38125799,38125.799,65866
14,Indiana,USA-3547,1693.608385,28.15941038,8.956983567,1109,57.667,2994736,326538,507191,8433,29247955,29247.955,57667
15,Iowa,USA-3529,1387.866306,25.75373186,7.020433223,1046,54.417,1562492,168089,216853,4024,11800576,11800.576,54417
16,Kansas,USA-3530,1166.739472,22.47391216,5.948102504,1030,53.558,1391836,146219,162391,3128,8697256,8697.256,53558
17,Kentucky,USA-3548,1254.250008,23.48628639,6.702547777,1059,55.091,1870879,192874,234655,4394,12927472,12927.472,55091
18,Louisiana,USA-3535,734.6048012,22.47791411,3.923278319,1297,67.469,2002410,252965,147098,4501,9924521,9924.521,67469
19,Maine,USA-3561,776.1610549,27.28799978,4.791116673,1013,52.651,646438,55137,50174,1764,2641678,2641.678,52651
20,Maryland,USA-3557,350.6801291,12.38540197,2.015895825,1353,70.354,2949440,360969,103431,3653,7276759,7276.759,70354
21,Massachusetts,USA-3513,746.2650967,21.01050794,4.407881023,1604,83.404,3354036,473606,250300,7047,20875989,20875.989,83404
22,Michigan,USA-3562,1342.881245,34.00430504,8.041293926,1240,64.469,4293574,462252,576576,14600,37171042,37171.042,64469
23,Minnesota,USA-3514,1121.152091,28.86841631,5.760492107,1175,61.093,2781933,330782,311897,8031,19054671,19054.671,61093
24,Mississippi,USA-3544,1163.920095,20.33652868,5.961913361,878,45.667,1198828,106880,139534,2438,6372093,6372.093,45667
25,Missouri,USA-3531,920.6108941,23.72309838,4.909177701,1059,55.091,2779991,287207,255929,6595,14099502,14099.502,55091
26,Montana,USA-3515,392.3977228,29.14039978,1.884912334,879,45.726,481119,45799,18879,1402,863271,863.271,45726
27,Nebraska,USA-3532,1017.432753,20.63690329,3.974624804,880,45.779,957508,112208,97420,1976,4459847,4459.847,45779
28,Nevada,USA-3523,334.157119,15.72608402,1.613744595,1053,54.734,1240614,140608,41456,1951,2269054,2269.054,54734
29,New Hampshire,USA-3538,958.4338748,29.03383531,6.144403339,1274,66.235,693329,71632,66451,2013,4401359,4401.359,66235
30,New Jersey,USA-3558,567.3835898,20.90156783,3.348824543,1538,79.988,4235089,573947,240292,8852,19220478,19220.478,79988
31,New Mexico,USA-3524,319.4485511,19.4075669,1.763248541,1100,57.223,875947,90810,27982,1700,1601206,1601.206,57223
32,New York,USA-3559,492.7168581,18.84971229,1.937714604,1195,62.166,9137540,1444406,450222,17224,27988466,27988.466,62166
33,North Carolina,USA-3549,1046.519221,24.0595752,4.917651987,1062,55.208,4287690,503745,448715,10316,24772426,24772.426,55208
34,North Dakota,USA-3516,682.6029286,21.73844389,2.404083001,957,49.761,379972,53686,25937,826,1290656,1290.656,49761
35,Ohio,USA-3550,1271.407406,29.38329587,6.536996014,1105,57.485,5303013,592899,674229,15582,38757784,38757.784,57485
36,Oklahoma,USA-3533,819.5939068,25.70001353,4.124700009,1031,53.621,1699610,181089,139299,4368,7469378,7469.378,53621
37,Oregon,USA-3525,1021.7791,32.62356954,5.079194899,1231,64.011,1752414,225661,179058,5717,11461762,11461.762,64011
