Name,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016
Adams,98,95,93,92,86,95,95,95,94,89,94,94
Asotin,86,87,86,83,58,76,55,75,92,91,78,89
Benton,95,94,93,91,89,92,88,91,91,91,92,94
Chelan,89,88,92,86,87,87,93,93,95,94,94,94
Clallam,91,91,84,82,81,76,81,80,81,78,76,78
Clark,91,89,84,82,75,81,84,87,80,79,77,77
Columbia,86,60,70,999,64,63,999,999,100,100,69,56
Cowlitz,96,95,93,94,90,90,92,91,92,90,89,89
Douglas,89,98,97,93,96,95,96,87,93,92,91,90
Ferry,81,68,61,65,32,49,63,67,84,57,66,82
Franklin,95,96,97,92,91,95,94,96,97,97,95,94
Garfield,91,89,74,100,88,999,999,93,96,83,96,90
Grant,94,90,86,86,81,86,82,84,91,93,90,88
Grays Harbor,84,86,80,77,72,73,82,85,87,81,74,81
Island,81,80,80,74,71,77,80,88,88,74,83,85
Jefferson,73,75,57,66,50,53,64,48,48,73,67,58
King,82,82,83,84,75,82,81,82,84,84,81,85
Kitsap,91,90,86,86,80,82,84,87,88,86,86,89
Kittitas,92,94,82,77,57,77,73,78,88,73,71,79
Klickitat,92,90,85,91,65,81,80,83,91,76,83,84
Lewis,92,93,85,88,82,89,92,87,90,85,90,89
Lincoln,91,87,88,83,69,94,72,77,71,66,65,88
Mason,86,83,75,77,78,83,79,84,85,86,80,81
Okanogan,72,66,69,65,58,76,76,86,89,59,80,84
Pacific,92,80,91,87,72,77,77,85,91,92,84,85
Pend Oreille,82,74,77,68,53,57,66,66,66,60,59,55
Pierce,92,92,90,91,86,89,90,90,90,87,86,88
San Juan,83,61,69,71,58,25,28,62,57,42,74,46
Skagit,91,89,84,82,81,84,83,86,88,83,86,86
Skamania,77,71,64,71,61,75,55,80,999,67,71,86
Snohomish,89,90,85,85,81,85,87,87,86,86,86,85
Spokane,86,82,79,80,72,77,78,83,85,74,73,85
Stevens,84,78,72,78,46,66,62,73,82,74,78,74
Thurston,83,81,80,73,67,70,73,71,76,69,76,75
Wahkiakum,79,59,999,999,91,89,91,999,86,90,82,82
Walla Walla,94,97,92,88,92,87,92,88,92,84,83,88
Whatcom,84,82,77,81,76,80,81,79,84,80,82,79
Whitman,63,85,78,89,77,87,81,90,89,80,85,80
Yakima,88,89,89,90,82,80,81,82,85,88,90,88
