state,st,disease,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
USA,USA,Measles,312,746,281,443,81,74,66,60,62,26,32,10,42,,,,,,,,
Connecticut,CT,Measles,9,4,1,2,0,0,1,0,1,0,0,0,0,,,,,,,,
Maine,ME,Measles,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Massachusetts,MA,Measles,11,1,3,9,10,1,4,0,2,0,0,1,0,,,,,,,,
New Hampshire,NH,Measles,2,1,0,0,1,0,0,2,0,0,1,0,0,,,,,,,,
Rhode Island,RI,Measles,1,5,6,1,0,0,0,0,0,0,0,0,0,,,,,,,,
Vermont,VT,Measles,30,2,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,
New Jersey,NJ,Measles,6,172,6,3,3,7,0,0,0,0,1,1,1,,,,,,,,
New York (exc NYC),NY,Measles,4,60,1,3,2,3,0,9,0,0,2,0,0,,,,,,,,
New York (inc NYC),NY,Measles,16,232,7,6,5,10,0,9,0,0,3,1,1,0,0,0,0,0,0,0,0
NYC,NYC,Measles,12,11,2,8,8,0,0,6,3,3,3,1,2,,,,,,,,
Pennsylvania,PA,Measles,0,5,0,10,5,1,0,0,4,1,8,0,0,,,,,,,,
Wisconsin,WI,Measles,3,3,6,8,0,0,0,0,0,0,0,0,1,,,,,,,,
Ohio,OH,Measles,6,15,1,4,0,0,0,3,0,0,1,0,2,,,,,,,,
Michigan,MI,Measles,5,24,4,0,0,9,4,3,0,0,2,0,0,,,,,,,,
Indiana,IN,Measles,1,0,0,0,0,2,1,0,0,1,0,0,32,,,,,,,,
Illinois,IL,Measles,5,18,0,2,6,1,0,3,0,1,0,0,1,,,,,,,,
Iowa,IA,Measles,0,6,0,0,0,0,0,0,2,0,0,2,0,,,,,,,,
Kansas,KS,Measles,0,1,1,1,0,0,0,1,0,0,0,0,0,,,,,,,,
Minnesota,MN,Measles,0,0,9,17,5,0,0,0,0,0,0,0,0,,,,,,,,
Missouri,MO,Measles,1,119,2,3,1,0,0,0,0,1,0,0,0,,,,,,,,
Nebraska,NE,Measles,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
North Dakota,ND,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
South Dakota,SD,Measles,0,0,0,0,8,0,0,0,0,0,0,0,0,,,,,,,,
West Virginia,WV,Measles,0,37,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,
"Washington, DC",DC,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Virginia,VA,Measles,0,1,0,0,0,0,15,2,1,0,0,0,0,,,,,,,,
South Carolina,SC,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
North Carolina,NC,Measles,1,2,0,1,0,1,0,0,0,0,0,1,0,,,,,,,,
Maryland,MD,Measles,0,2,0,0,0,0,0,0,2,0,0,0,0,,,,,,,,
Georgia,GA,Measles,0,5,4,1,0,1,0,0,0,1,0,0,0,,,,,,,,
Florida,FL,Measles,24,18,10,0,3,2,0,2,0,1,0,0,0,,,,,,,,
Delaware,DE,Measles,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,
