GEOID,Geography,Population,MedianAge,Households ,Kids,CarTruckVan,PublicTransportation,DroveAlone ,Carpool ,PublicTransit,Bikes,Walked,OtherCommute,WorkedFromHome,WhiteNormalized,BlackNormalized,AsianNormalized,MHI,OtherRace
27003050107,"Census Tract 501.07, Anoka County, Minnesota",2875,34.2,35.72,13.15,N,N,46.47,3.65,0.38,0,0.28,0,2.82,97.88,0.7,0,70938,1.43
27003050108,"Census Tract 501.08, Anoka County, Minnesota",4823,32.5,35.77,12.25,N,N,49.33,7.67,0.31,0,0.1,0,2.76,93.49,0.15,2.26,62973,4.11
27003050109,"Census Tract 501.09, Anoka County, Minnesota",5070,40.3,34.67,12.76,38.6,65.9,52.86,4.28,0.77,0,0,0,1.81,98.38,0,0.2,90435,1.43
27003050110,"Census Tract 501.10, Anoka County, Minnesota",2796,39.6,34.84,11.66,N,N,53.08,9.73,0.43,0,0.25,0.29,3,98.53,0,0.89,88264,0.57
27003050111,"Census Tract 501.11, Anoka County, Minnesota",3748,40.9,36.29,12.01,N,N,48.91,4.94,0.29,0,0.24,0,2.43,97.81,0,0,82500,2.19
27003050114,"Census Tract 501.14, Anoka County, Minnesota",2742,43.3,35.96,10.28,N,N,48.03,3.25,0.55,0,0.47,0,2.81,97.23,1.53,0,79423,1.24
27003050115,"Census Tract 501.15, Anoka County, Minnesota",5403,37.9,31.11,11.49,N,N,48.21,3.2,0.19,0,0.37,0,3.92,84.66,1.3,5.48,90799,8.57
27003050116,"Census Tract 501.16, Anoka County, Minnesota",4493,40.7,34.03,11.57,N,N,48.88,3.78,0.02,0,2.18,0.53,1.74,94.35,0.49,1,80865,4.17
27003050208,"Census Tract 502.08, Anoka County, Minnesota",3279,35.4,34.49,13.6,N,N,48.64,3.57,1.25,0,0.58,0.61,3.93,94.45,0.09,1.4,81343,4.06
27003050210,"Census Tract 502.10, Anoka County, Minnesota",3940,45.9,38.32,9.42,N,N,50.69,3.35,0.94,0,0.38,0,3.35,99.19,0,0.51,79519,0.3
27003050215,"Census Tract 502.15, Anoka County, Minnesota",4105,40.5,34.13,11.79,N,N,44.97,2.7,0.93,0,0,0.12,3.24,91.99,0.76,2.78,96659,4.48
27003050216,"Census Tract 502.16, Anoka County, Minnesota",5794,39.6,31.79,15.38,N,N,44.34,2.92,1.78,0.17,0.24,0.09,2.16,96.32,0.02,1.76,105455,1.9
27003050217,"Census Tract 502.17, Anoka County, Minnesota",2862,39.7,32.81,10.59,N,N,53.14,4.54,0.63,0.17,0,0.17,3.39,92.28,0,4.02,92208,3.7
27003050218,"Census Tract 502.18, Anoka County, Minnesota",3206,42.7,33.81,11.79,N,N,52.5,4.77,0.41,0,0,0,1.12,98.03,0,0.56,88333,1.41
27003050219,"Census Tract 502.19, Anoka County, Minnesota",2964,40.5,34.92,13.26,26.9,42.1,47,2.87,1.89,0,0,0.51,2.4,94.5,0,0.3,88906,5.19
27003050220,"Census Tract 502.20, Anoka County, Minnesota",6630,37.2,33.23,15.2,N,N,48.28,6.41,1.13,0.17,0.45,0,5.11,92.05,2.5,2.55,86897,2.9
27003050221,"Census Tract 502.21, Anoka County, Minnesota",6837,35.1,30.36,14.99,N,N,44.51,4.14,2.85,0,0,0,3.83,94.97,1.07,1.78,98648,2.18
27003050222,"Census Tract 502.22, Anoka County, Minnesota",5493,37.1,30.27,15.44,N,N,51.67,3.55,1.77,0,0.16,0.16,2.6,89.6,2.68,6.14,105938,1.59
27003050223,"Census Tract 502.23, Anoka County, Minnesota",2784,41.3,33.23,10.7,N,N,48.02,6.29,3.38,0,0,0,4.17,96.48,0,1.15,88490,2.38
27003050224,"Census Tract 502.24, Anoka County, Minnesota",2844,42.3,34.88,10.58,N,N,52.71,4.99,1.34,0,0.42,0,1.86,95.96,0.04,1.9,87794,2.11
27003050225,"Census Tract 502.25, Anoka County, Minnesota",6313,31.9,32.65,13.19,N,N,47.27,2.2,1.01,0,0.27,0.19,3.33,91.18,2.53,3.96,92205,2.33
