id,county,geo_id,adm,latitude,longitude,measles10,measles11,measles12,measles13,measles14
1,Alameda,6001,ALA,37.7,-122,2,1,0,1,6
2,Alpine,6003,ALP,38.73,-119.8,0,0,0,0,0
3,Amador,6005,AMA,38.39,-120.7,1,0,0,0,0
4,Butte,6007,BUT,39.66,-121.7,0,0,0,0,0
5,Calaveras,6009,CAL,38.16,-120.63,0,0,0,0,0
6,Colusa,6011,COL,39.16,-122.08,0,0,0,0,0
7,Contra Costa,6013,CON,37.93,-122,1,0,0,0,4
8,Del Norte,6015,DEL,41.79,-124.16,0,0,0,0,0
9,El Dorado,6017,ELD,38.7,-120.744,0,0,0,0,0
10,Fresno,6019,FRE,36.73,-119.76,0,0,0,0,0
11,Glenn,6021,GLE,39.74,-122,0,0,0,0,0
12,Humboldt,6023,HUM,40.752982,-124.087189,0,1,0,0,1
13,Imperial,6025,IMP,32.841101,-115.534487,0,0,0,0,0
14,Inyo,6027,INY,37.160247,-118.267513,0,0,0,0,0
15,Kern,6029,KER,35.372968,-118.936004,0,0,0,0,0
16,Kings,6031,KIN,36.242749,-119.729084,0,0,0,0,0
17,Lake,6033,LAK,38.973362,-122.734609,0,0,0,0,0
18,Lassen,6035,LAS,40.392397,-120.579176,0,0,0,0,0
19,Los Angeles,6037,LOS,34.065193,-118.244222,8,8,6,3,14
20,Madera,6039,MAD,37.043099,-120.00675,0,0,0,0,0
21,Marin,6041,MAR,37.986705,-122.547075,0,0,0,0,0
22,Mariposa,6043,MARP,37.542748,-119.957219,0,0,0,0,0
23,Mendocino,6045,MEN,39.285329,-123.397227,0,3,0,1,0
24,Merced,6047,MER,37.281016,-120.623989,0,2,0,0,0
25,Modoc,6049,MOD,41.522584,-120.650911,0,0,0,0,0
26,Mono,6051,MON,37.763322,-118.970594,0,0,0,0,0
27,Monterey,6053,MONT,36.611722,-121.646162,0,0,0,1,2
28,Napa,6055,NAP,38.329075,-122.321646,0,0,0,0,0
29,Nevada,6057,NEV,39.219524,-120.916546,0,0,0,0,0
30,Orange,6059,ORA,33.733953,-117.86288,2,1,0,2,24
31,Placer,6061,PLA,38.844511,-121.182466,0,0,0,0,0
32,Plumas,6063,PLU,39.983857,-120.825847,0,0,0,0,0
33,Riverside,6065,RIV,33.800439,-117.066205,0,1,1,1,6
34,Sacramento,6067,SAC,38.56895,-121.380861,0,1,0,0,0
35,San Benito,6069,SAN,36.843404,-121.403859,0,1,0,0,0
36,San Bernardino,6071,SANB,34.190248,-117.357474,1,0,0,0,1
37,San Diego,6073,SAND,32.88326,-117.112994,5,4,0,2,6
38,San Francisco,6075,SANF,37.759598,-122.438323,2,0,0,3,0
39,San Joaquin,6077,SANJ,37.931804,-121.298108,0,0,0,0,1
40,San Luis Obispo,6079,SANL,35.342391,-120.667689,0,1,0,0,0
41,San Mateo,6081,SANM,37.56395,-122.340991,0,1,1,0,4
42,Santa Barbara,6083,SANBA,34.639262,-120.092602,0,0,0,0,2
43,Santa Clara,6085,SANC,37.315105,-121.910421,5,4,0,0,0
44,Santa Cruz,6087,SANCR,36.985171,-121.936728,0,0,0,3,1
45,Shasta,6089,SHA,40.580269,-122.299961,0,0,0,0,0
46,Sierra,6091,SIE,39.612588,-120.414236,0,0,0,0,0
47,Siskiyou,6093,SIS,41.576203,-122.489833,0,0,0,0,0
48,Solano,6095,SOL,38.235582,-122.069324,0,0,0,0,0
49,Sonoma,6097,SON,38.41408,-122.720522,0,1,0,0,0
50,Stanislaus,6099,STA,37.619147,-120.955577,0,1,0,0,0
51,Sutter,6101,SUT,39.13549,-121.644269,0,0,0,0,0
52,Tehama,6103,TEH,40.115187,-122.218704,0,0,0,0,0
53,Trinity,6105,TRI,40.681268,-123.072357,0,0,0,0,0
54,Tulare,6107,TUL,36.251227,-119.231547,0,0,0,0,0
55,Tuolumne,6109,TUO,37.971531,-120.32853,0,0,0,0,0
56,Ventura,6111,VEN,34.241989,-119.025018,0,0,0,1,3
57,Yolo,6113,YOL,38.598913,-121.721112,0,0,0,0,0
58,Yuba,6115,YUB,39.13883,-121.506626,0,1,0,0,0
