Name,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016
Adams,0.98,0.95,0.93,0.92,0.86,0.95,0.95,0.95,0.94,0.89,0.94,0.94
Asotin,0.86,0.87,0.86,0.83,0.58,0.76,0.55,0.75,0.92,0.91,0.78,0.89
Benton,0.95,0.94,0.93,0.91,0.89,0.92,0.88,0.91,0.91,0.91,0.92,0.94
Chelan,0.89,0.88,0.92,0.86,0.87,0.87,0.93,0.93,0.95,0.94,0.94,0.94
Clallam,0.91,0.91,0.84,0.82,0.81,0.76,0.81,0.8,0.81,0.78,0.76,0.78
Clark,0.91,0.89,0.84,0.82,0.75,0.81,0.84,0.87,0.8,0.79,0.77,0.77
Columbia,0.86,0.6,0.7,fill,0.64,0.63,fill,fill,1,1,0.69,0.56
Cowlitz,0.96,0.95,0.93,0.94,0.9,0.9,0.92,0.91,0.92,0.9,0.89,0.89
Douglas,0.89,0.98,0.97,0.93,0.96,0.95,0.96,0.87,0.93,0.92,0.91,0.9
Ferry,0.81,0.68,0.61,0.65,0.32,0.49,0.63,0.67,0.84,0.57,0.66,0.82
Franklin,0.95,0.96,0.97,0.92,0.91,0.95,0.94,0.96,0.97,0.97,0.95,0.94
Garfield,0.91,0.89,0.74,1,0.88,fill,fill,0.93,0.96,0.83,0.96,0.9
Grant,0.94,0.9,0.86,0.86,0.81,0.86,0.82,0.84,0.91,0.93,0.9,0.88
Grays Harbor,0.84,0.86,0.8,0.77,0.72,0.73,0.82,0.85,0.87,0.81,0.74,0.81
Island,0.81,0.8,0.8,0.74,0.71,0.77,0.8,0.88,0.88,0.74,0.83,0.85
Jefferson,0.73,0.75,0.57,0.66,0.5,0.53,0.64,0.48,0.48,0.73,0.67,0.58
King,0.82,0.82,0.83,0.84,0.75,0.82,0.81,0.82,0.84,0.84,0.81,0.85
Kitsap,0.91,0.9,0.86,0.86,0.8,0.82,0.84,0.87,0.88,0.86,0.86,0.89
Kittitas,0.92,0.94,0.82,0.77,0.57,0.77,0.73,0.78,0.88,0.73,0.71,0.79
Klickitat,0.92,0.9,0.85,0.91,0.65,0.81,0.8,0.83,0.91,0.76,0.83,0.84
Lewis,0.92,0.93,0.85,0.88,0.82,0.89,0.92,0.87,0.9,0.85,0.9,0.89
Lincoln,0.91,0.87,0.88,0.83,0.69,0.94,0.72,0.77,0.71,0.66,0.65,0.88
Mason,0.86,0.83,0.75,0.77,0.78,0.83,0.79,0.84,0.85,0.86,0.8,0.81
Okanogan,0.72,0.66,0.69,0.65,0.58,0.76,0.76,0.86,0.89,0.59,0.8,0.84
Pacific,0.92,0.8,0.91,0.87,0.72,0.77,0.77,0.85,0.91,0.92,0.84,0.85
Pend Oreille,0.82,0.74,0.77,0.68,0.53,0.57,0.66,0.66,0.66,0.6,0.59,0.55
Pierce,0.92,0.92,0.9,0.91,0.86,0.89,0.9,0.9,0.9,0.87,0.86,0.88
San Juan,0.83,0.61,0.69,0.71,0.58,0.25,0.28,0.62,0.57,0.42,0.74,0.46
Skagit,0.91,0.89,0.84,0.82,0.81,0.84,0.83,0.86,0.88,0.83,0.86,0.86
Skamania,0.77,0.71,0.64,0.71,0.61,0.75,0.55,0.8,fill,0.67,0.71,0.86
Snohomish,0.89,0.9,0.85,0.85,0.81,0.85,0.87,0.87,0.86,0.86,0.86,0.85
Spokane,0.86,0.82,0.79,0.8,0.72,0.77,0.78,0.83,0.85,0.74,0.73,0.85
Stevens,0.84,0.78,0.72,0.78,0.46,0.66,0.62,0.73,0.82,0.74,0.78,0.74
Thurston,0.83,0.81,0.8,0.73,0.67,0.7,0.73,0.71,0.76,0.69,0.76,0.75
Wahkiakum,0.79,0.59,fill,fill,0.91,0.89,0.91,fill,0.86,0.9,0.82,0.82
Walla Walla,0.94,0.97,0.92,0.88,0.92,0.87,0.92,0.88,0.92,0.84,0.83,0.88
Whatcom,0.84,0.82,0.77,0.81,0.76,0.8,0.81,0.79,0.84,0.8,0.82,0.79
Whitman,0.63,0.85,0.78,0.89,0.77,0.87,0.81,0.9,0.89,0.8,0.85,0.8
Yakima,0.88,0.89,0.89,0.9,0.82,0.8,0.81,0.82,0.85,0.88,0.9,0.88
