GEOID,Az_Co,Percent_Native,PER_6Grade1516,PER_6Grade1314,PER_Kind1516,PER_Kind1011
4015,Mohave,2.9,3.2,3.4,5.2,4.8
4012,La Paz,17.8,2,1.1,0.5,1.4
4027,Yuma,2.2,0.7,0.9,1.1,0.6
4005,Coconino,27.3,6.3,5.8,7.1,5.1
4025,Yavapai,2.1,11.8,10.2,13.5,8.5
4013,Maricopa,2.8,4.8,5.2,4.9,1.4
4019,Pima,4.3,2.7,2.9,2.6,2.5
4021,Pinal,6.8,4.4,5.2,4.1,3.6
4023,Santa Cruz,1.3,0.4,1.9,1.1,1.6
4007,Gila,16.5,2.9,3.8,4.4,1.4
4003,Cochise,1.7,2,1.3,2.6,1.9
4009,Graham,14,5.2,8.1,4.2,2.1
4011,Greenlee,3.3,0.8,0,1.9,6
4017,Navajo,44.9,6.2,4.7,4.3,3.5
4001,Apache,73.5,0.1,2.1,1,1.4
