State,2009-2010,2011-2012,2012-2013,2013-2014,2014-2015
Alabama,94,93.6,92.8,92,93.5
Alaska,999,999,999,94.4,92.7
Arizona,95,94.7,94.5,93.9,94.2
Arkansas,98.3,94.9,85.9,86.5,88.4
California,93.6,93.2,92.7,92.3,92.6
Colorado,999,86.8,85.7,81.7,86.9
Connecticut,98.5,97.4,97.1,96.9,97
Delaware,89.7,96.9,95.7,96.4,97.8
District of Columbia,96.9,94,91.8,89,90.4
Florida,91.3,92.6,92.1,93.2,93.3
Georgia,99.6,96.6,95.1,94,94
Hawaii,999,999,999,999,999
Idaho,87,89.2,88.4,88.2,89.5
Illinois,94.5,97.3,95.5,94.7,94.7
Indiana,92.8,93.3,95.4,92.9,89.3
Iowa,84.5,91.1,90.5,91,91.9
Kansas,90.9,88.2,90,86.9,89.2
Kentucky,92.2,92,92.4,92.6,92.7
Louisiana,96.9,98.1,96.6,96.8,96.8
Maine,95.5,93,91.3,89.9,92.1
Maryland,98.9,98.7,98.2,97.6,99.1
Massachusetts,93,94.2,94.8,95.1,94.7
Michigan,95.3,95,94.4,97.5,94.3
Minnesota,95.1,95.7,96.3,93.4,93.5
Mississippi,99.7,99.2,99.9,99.7,99.2
Missouri,97.3,96.8,96.7,95.5,95.8
Montana,95.5,95,94.8,93.7,94.6
Nebraska,97.5,99,96,96.6,96
Nevada,94.5,95.3,93.6,95.6,94
New Hampshire,999,999,999,94.7,91.4
New Jersey,999,999,97,96.8,92.3
New Mexico,97.6,95.7,93.9,95.9,97.7
New York,97.6,96.9,96.6,96.8,98.2
North Carolina,97.3,97.2,97.3,98.8,98.5
North Dakota,92.2,90.6,89.9,90,89.8
Ohio,88.6,96.1,96.3,96.2,91.9
Oklahoma,97.3,95,90.5,96.4,90.3
Oregon,94.4,94,93.5,93.2,94.1
Pennsylvania,86.9,86.9,87,85.3,91.7
Rhode Island,92.1,91.7,94.2,95.1,95.7
South Carolina,87.2,94.5,90.9,96.8,96.5
South Dakota,96.8,97.4,97.9,96.6,97.1
Tennessee,97.4,97.3,94.5,94.9,95.1
Texas,98.1,99.3,97.5,97.5,97.4
Utah,97.7,98,96.3,98.5,94
Vermont,91.8,92.9,92.8,91.2,92.7
Virginia,92.1,93,93.1,93.1,93.4
Washington,91.7,91.8,91.7,89.7,89.4
West Virginia,91.2,92,96.3,96.1,97.6
Wisconsin,94.2,93.1,92.8,92.6,91.6
Wyoming,999,999,97.5,999,96.8
