school_id,year,name,medical-exemptions,religious-exemptions,polio,measles,mumps,rubella,diphtheria,hepb,varicella,completely-immunized,street,city,county,state,zip,latitude,longitude,address,address2
3.10E+11,2014-2015,UN International School,0,0,93.8,93.6,93.6,93.6,95.4,91.7,97.2,75.1,2450 E RIVER DR,NEW YORK,NEW YORK,NY,10010,40.7358589,-73.9751282,"2450 E RIVER DR, NEW YORK, NY, 10010","E River Dr, New York, NY 10010"
3.11E+11,2014-2015,Mt. Pleasant Christian Academy,0,0,85.7,85.7,85.7,85.7,85.7,85.7,92.9,78.6,2009 7TH AVE,NEW YORK,NEW YORK,NY,10027,40.805929,-73.95011,"2009 7TH AVE, NEW YORK, NY, 10027","2009 7th Ave, New York, NY, 10027"
3.21E+11,2014-2015,St. Joseph School For The Deaf,0,0,100,100,100,100,100,100,100,100,1000 HUTCHINSON RIVER PKWY,BRONX,BRONX,NY,10465,40.827089,-73.835458,"1000 HUTCHINSON RIVER PKWY, BRONX, NY, 10465","1000 Hutchinson River Pkwy, Bronx, NY, 10465"
3.21E+11,2014-2015,Yeshiva Of Telshe Alumni,0,0,100,100,100,100,100,100,100,100,4904 INDEPENDENCE AVENUE,BRONX,BRONX,NY,10471,40.8967781,-73.911293,"4904 INDEPENDENCE AVENUE, BRONX, NY, 10471","4904 Independence Avenue, Bronx, NY, 10471"
3.21E+11,2014-2015,Ethical Culture Fieldston Upper School,0.1,0.3,99.6,99.6,99.6,99.6,99.6,99.6,99.1,98.7,3901 FIELDSTON RD,BRONX,BRONX,NY,10471,40.889137,-73.905715,"3901 FIELDSTON RD, BRONX, NY, 10471","3901 Fieldston Rd, Bronx, NY, 10471"
3.21E+11,2014-2015,Ethical Culture Fieldston Lower School,0,0.4,99.6,99.6,99.6,99.6,99.6,99.2,99.6,99.2,3901 FIELDSTON RD,BRONX,BRONX,NY,10471,40.889137,-73.905715,"3901 FIELDSTON RD, BRONX, NY, 10471","3901 Fieldston Rd, Bronx, NY, 10471"
3.21E+11,2014-2015,St. Raymond H S-Boys,0,0.15,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.7,2151 ST RAYMOND AVENUE,BRONX,BRONX,NY,10462,40.8376843,-73.8538501,"2151 ST RAYMOND AVENUE, BRONX, NY, 10462","2151 st Raymond Ave, Bronx, NY 10462"
3.31E+11,2014-2015,Khhd Yoel Of Satmar Bp,0,0.1,99.7,99.9,99.9,99.9,99.5,99.5,99.9,98.3,76 RUTLEDGE,BROOKLYN,KINGS,NY,11211,40.7024918,-73.9563522,"76 RUTLEDGE, BROOKLYN, NY, 11211","76 Rutledge, Brooklyn, NY, 11211"
3.32E+11,2014-2015,St. Gregory The Great,0,0.44,99.6,99.6,99.6,99.6,99.6,99.6,99.6,87.6,991 ST JOHNS PL,BROOKLYN,KINGS,NY,11213,40.6714035,-73.9454897,"991 ST JOHNS PL, BROOKLYN, NY, 11213","991 st Johns Pl, Brooklyn, NY 11213"
3.32E+11,2014-2015,Fontbonne Hall Academy,0.22,0.44,99.3,99.3,99.3,99.3,99.3,99.1,99.3,99.1,9901 SHORE ROAD AND 3 AVENUE,BROOKLYN,KINGS,NY,11209,40.614028,-74.034751,"9901 SHORE ROAD AND 3 AVENUE, BROOKLYN, NY, 11209","9901 3rd Ave, Brooklyn, NY 11209"
3.32E+11,2014-2015,Mosdos Satmar Bp,0,2.4,85.2,87.8,87.8,87.8,82.2,79,65.7,53.9,76 RUTLEDGE ST,BROOKLYN,KINGS,NY,11211,40.700503,-73.958562,"76 RUTLEDGE STREET, BROOKLYN, NY 11211","76 Rutledge Street, Brooklyn, Ny 11211"
3.32E+11,2014-2015,Polytech Prep Country Day School,0.2,0.81,99,98.9,98.8,98.9,99,99,99,98.7,9216 7TH AVE,BROOKLYN,KINGS,NY,11228,40.612138,-74.024221,"9216 7TH AVE, BROOKLYN, NY, 11228","9216 7th Ave, Brooklyn, NY, 11228"
