"ID","Place","DecLatitude","DecLongitude","Source","ModernName","Alternative.Name","Near","Ocean","Spanish","Dutch","French","Notes"
"1","","0","0","","","","","","","",NA,""
"2","2e hoek van Java","-6.63","105.37","Atlas van Tropisch Nederland 1938","","","","","","",NA,""
"3","3e hoek van Java","-6.47","105.67","Atlas van Tropisch Nederland 1938","","","","","","",NA,""
"4","4e hoek van Java","-6.07","105.87","Atlas van Tropisch Nederland 1938","","","","","","",NA,""
"5","Abrolhos","-17.9666666666667","-38.6833333333333","Times Atlas of the World","Arquipelago dos Abrolhos","Abrolhos","Near Caravelas, Brazil","South Atlantic","","",NA,""
"6","Acapulco","16.85","-99.93","","Acapulco, Mexico","","","Pacific Ocean","","",NA,""
"7","Accra","5.53333333333333","-0.2","Lloyds Maritime Atlas","Accra, Ghana","","","North Atlantic","","",NA,""
"8","Accra, W African coast","5.53333333333333","-0.2","Lloyds Maritime Atlas","Accra, Ghana","","","North Atlantic","","",NA,""
"9","Accraw","5.53333333333333","-0.2","Lloyds Maritime Atlas","Accra, Ghana","","","North Atlantic","","",NA,""
"10","Accraw Castle","5.53333333333333","-0.2","Lloyds Maritime Atlas","Accra, Ghana","","","North Atlantic","","",NA,""
"11","Acheen","5.5","95.37","","Banda Aceh, Sumatra, Indonesia","","","Indian Ocean","","",NA,""
"12","Acheen Head","5.5","95.37","","Banda Aceh, Sumatra, Indonesia","","","Indian Ocean","","",NA,""
"13","Achin Head, N tip Sumatra (Banda Aceh)","5.5","95.37","","Banda Aceh, Sumatra, Indonesia","","","Indian Ocean","","",NA,""
"14","Achlins Island Bahamas","22.73","-73.85","West Indies Pilot (NW part, vol 1). #70","Acklins Island, Bahamas","","","North Atlantic Ocean","","",NA,""
"15","Aden (Gulf of?)","12.78","44.95","","","","","","","",NA,""
"16","Adiera D'Natall","-31","31.2","ArcView","Estimate","","","","","",NA,""
"17","Adria Dira","-31","31.2","ArcView","Estimate","","","","","",NA,""
"18","Adria Dira 1","-26","46","Clive Wilkinson","Estimate","","","","","",NA,""
"19","Aguadilla","18.45","-67.13333333","Times Atlas of the World","Aguadilla, Puerto Rico","","","Caribbean Sea","","",NA,""
"20","Aguilas","37.42","-1.58","Times Atlas of the World","Aguilas, Spain","","","Mediterranean Sea","","",NA,""
"21","Akijab","20.15","92.9167","Times Atlas of the World","Sittwe, Burma","Akyab","","Bay of Bengal, Indian Ocean","","",NA,""
"22","Alderney","50.18","-2.33","","","","","","","",NA,""
"23","Algiers","36.8333","3","Times Atlas of the World","Alger, Algeria","","","Mediterranean Sea","","",NA,""
"24","Algoa","-33.8333333333333","26.0833333333333","Rand McNally Atlas","Algoa Bay, South Africa","","Port Elizabeth, South Africa","Indian Ocean","","",NA,""
"25","Algoa Baai","-33.83","26","Times Atlas of the World","Algoa Bay, South Africa","","","Indian Ocean","","",NA,""
"26","ALICANTE","38.35","-0.4833","Times Atlas of the World","Alicante, Spain","","","Mediterranean Sea","","",NA,""
"27","Aller Heilige Baai","-13.0167","-38.5333","Pilot #5, p. 109","Bahia de Todos los Santos, Brazil","","","South Atlantic Ocean","","",NA,""
"28","Allerheiligen Baai","-13.0166666666667","-38.5333333333333","Pilot #5, p. 109","Bahia de Todos los Santos, Brasil","","","South Atlantic Ocean","","",NA,""
"29","Allerheiligen Baaij","-13.0166666666667","-38.5333333333333","Pilot #5, p. 109","Bahia de Todos los Santos, Brasil","","","South Atlantic Ocean","","",NA,""
"30","Allicanten","38.35","-0.4833","Times Atlas of the World","Alicante, Spain","","","Mediterranean Sea","","",NA,""
"31","Almeria","36.8333","-2.4333","Times Atlas of the World","Almeria, Spain","","","Mediterranean Sea","","",NA,""
"32","Alrad, St Christoffel","17.33","-62.8","Times Atlas of the World","Old Road Town, St. Kitts, W.I.","","","Caribbean Sea","","",NA,""
