"ID","WindDirection","ProbWindDD"
1,"CALMA",0
2,"CALMA MUERTE",0
3,"CALMA SIN GOBIERNO",0
4,"CALMA TOTAL",0
5,"CALMOSO",0
6,"CUASI CALMA",0
7,"TOTAL CALMA",0
8,"N1/4E",3
9,"N1/4NE",3
10,"N1/4SE",3
11,"N5O",5
12,"N3/4NE",8
13,"NEWN",11
14,"NNEWE",11
15,"NWNE",11
16,"20",20
17,"NNE",23
18,"34",34
19,"NE1/4N",42
20,"NE1/4NO",42
21,"NE1/4O",42
22,"1° CUADRANTE",45
23,"1º CUADRANTE",45
24,"1º QTE",45
25,"1º QUADRANTE",45
26,"DEL 1º QTE",45
27,"EN EL 1º QTE",45
28,"NE",45
29,"NE1/4E",48
30,"NE1/4S",48
31,"NE1/4SE",48
32,"NE1/3E",49
33,"52",52
34,"NO7O",52
35,"56",56
36,"NEWE",56
37,"NOWO",56
38,"63",63
39,"ENE",68
40,"ENE1/4N",70
41,"EWNE",79
42,"80",80
43,"E5N",85
44,"E1/4NE",87
45,"LESTE1/4NE",87
46,"E",90
47,"ESTE",90
48,"LESTE",90
49,"91",91
50,"E1/4S",93
51,"E1/4SE",93
52,"E1/4SO",93
53,"E1/2S",96
54,"100",100
55,"101",101
56,"EWSE",101
57,"ESE1/4E",110
58,"ESE",113
59,"ESE8S",121
60,"124",124
61,"SEWE",124
62,"SE1/4E",132
63,"2º CUADRANTE",135
64,"2º QTE",135
65,"2º QUADRANTE",135
66,"DEL 2º CUADRANTE",135
67,"DEL 2º QTE",135
68,"SE",135
69,"SEGUNDO CUADRANTE",135
70,"SE1/4O",138
71,"SE1/4S",138
72,"SE1/4SE",138
73,"140",140
74,"SEWS",146
75,"SSE",158
76,"163",163
77,"SWSE",169
78,"S1/4E",177
79,"S1/4ESE",177
80,"S1/4NE",177
81,"S1/4SE",177
82,"S",180
83,"SUR",180
84,"S1/4O",183
85,"S1/4SO",183
86,"185",185
87,"S1/2SO",186
88,"SSO",203
89,"217",217
90,"SO1/4S",222
91,"SO1/4SE",222
92,"3º CUADRANTE",225
93,"3º QTE",225
94,"3º QUADRANTE",225
95,"DEL 3º CUADRANTE",225
96,"SO",225
97,"TERCER CUADRANTE",225
98,"SO1/4O",228
99,"SO 4º O",229
100,"SOWO",236
101,"OSO",248
102,"251",251
103,"254",254
104,"OWSO",259
105,"O1/2SO",264
106,"O1/4S",267
107,"O1/4SE",267
108,"O1/4SO",267
109,"O",270
110,"O1/4N",273
111,"O1/4NE",273
112,"O1/4NO",273
113,"281",281
114,"ONO1/4O",290
115,"ONO",293
116,"304",304
117,"NO1/4O",312
118,"4º CUADRANTE",315
119,"4º QTE",315
120,"4º QUADRANTE",315
121,"DEL 4º CUADRANTE",315
122,"DEL 4º QTE",315
123,"NO",315
124,"POR EL 4º QTE",315
125,"NO1/4E",318
126,"NO1/4N",318
127,"NO1/4NE",318
128,"NNO",338
129,"339",339
130,"NNO5N",343
131,"NWNO",349
132,"N1/2NO",354
133,"355",355
134,"N1/4NO",357
135,"N1/4O",357
136,"N",360
137,"",500
138,"A LA TIERRA",500
139,"A TIERRA",500
140,"DE LA TIERRA",500
141,"DE POPA",500
142,"DE TIERRA",500
143,"E1/4E",500
144,"EGNE",500
145,"ENO",500
146,"L",500
147,"L1/4NE",500
148,"L1/4SE",500
149,"LN E",500
150,"LNE",500
151,"LSE",500
152,"LTE",500
153,"N1/4N",500
154,"NE1/4L",500
155,"NE1/4NE",500
156,"NEE",500
157,"NEN",500
158,"NO CAPA",500
159,"NO1/4NO",500
160,"NON",500
161,"NOO",500
162,"NR",500
163,"NSE",500
164,"ONE",500
165,"OSE",500
166,"OTE",500
167,"PAMPERO",500
168,"PAYRO",500
169,"PAYRO NE",500
170,"PONIENTE",500
171,"PONIENTES",500
172,"ROLO TODA LA AGUJA",500
173,"S1/4S",500
174,"SE1/3L",500
175,"SE1/4",500
176,"SE1/4L",500
177,"SEE",500
178,"SES",500
179,"SO1/4SO",500
180,"SOO",500
181,"SOS",500
182,"SS",500
183,"TERRA",500
184,"TERRAL",500
185,"TERRALES",500
186,"VIRAZON",500
187,"DE TODAS PARTES",999
188,"MUY VARIO",999
189,"TODOS CUADRANTES",999
190,"TODOS QUADRANTE",999
191,"TODOS RUMBOS",999
192,"VARIABLE",999
193,"VARIABLES",999
194,"VARIO",999
195,"VARIOS",999
