"ID","WindForce","Cliwoc.Class","Beaufort","mps"
"1","","9",NA,NA
"2","2 MILLAS","1","1","1"
"3","4 A 5 MILLAS","1","1","1"
"4","6 A 7 MILLAS","2","2","2.29999995"
"5","6 Y 7 MILLAS","2","2","2.29999995"
"6","8 Y 9 MILLAS","2","3","4.4000001"
"7","A FUGADAS","8",NA,NA
"8","A FUGADAS FUERTES","3","7","15.3999996"
"9","A LA BRISA FRESCO","3","6","12.3000002"
"10","A LA TIERRA MUY FLOJO","2","3","4.5999999"
"11","A MENOS","8",NA,NA
"12","A RACHAS","8",NA,NA
"13","A RÁFAGAS","8",NA,NA
"14","A RAFRAGAS","8",NA,NA
"15","A RÁFRAGAS","8",NA,NA
"16","A RAFRAGONES","8",NA,NA
"17","A RATOS FRESCO A RATOS BONANCIBLE PERO MUY VARIABLE","3","6","12.3000002"
"18","A RECALMONES","8",NA,NA
"19","A VECES CON AGUACEROS","8",NA,NA
"20","A VECES DURO CON AGUACEROS","8",NA,NA
"21","A VECES FRESCO A VECES BONANCIBLE","3","6","12.3000002"
"22","A VECES FRESCO OTRAS BONANCIBLE","3","6","12.3000002"
"23","A VECES FRESQUITO","3","5","9.30000019"
"24","A VECES FRESQUITO Y EN OTRAS MAS BONANCIBLE","3","5","9.30000019"
"25","A VECES FRESQUITO Y EN OTRAS MUY BONANCIBLE","3","5","9.30000019"
"26","A VECES MUY BONANCIBLE Y EN OTRAS FRESCO","2","4","6.69999981"
"27","ABONANZA","2","4","6.69999981"
"28","ABONANZADO","2","4","6.69999981"
"29","ABONANZANDO","2","4","6.69999981"
"30","ABONANZAR","8",NA,NA
"31","ABONANZO","2","4","6.69999981"
"32","ABRISADO","2","2","2.5999999"
"33","AFLOXANDO Y VARIABLE","8",NA,NA
"34","AFUGADO","8",NA,NA
"35","AHURACANADO","4","12","35"
"36","AL PRINCIPIO BENIGNO DESPUES FRESCACHON","3","7","15.3999996"
"37","ALARGANDOSE","8",NA,NA
"38","ALEGRE","8",NA,NA
"39","ALEGRITO","8",NA,NA
"40","ALGO ALEGRE","8",NA,NA
"41","ALGO ATURBONADO","8",NA,NA
"42","ALGO CALMA","8",NA,NA
"43","ALGO CALMOSO","8",NA,NA
"44","ALGO CHUBASCOSO","8",NA,NA
"45","ALGO DESIGUAL","8",NA,NA
"46","ALGO FAVORABLE","8",NA,NA
"47","ALGO FLOXO","8",NA,NA
"48","ALGO FRESCA","3","6","11.6000004"
"49","ALGO FRESCO","3","6","11.6000004"
"50","ALGO FRESQUITO","3","5","8.69999981"
"51","ALGO MAS BONANCIBLE","2","4","6.69999981"
"52","ALGO MÁS BONANCIBLE","2","4","6.69999981"
"53","ALGO MÁS FAVORABLE","8",NA,NA
"54","ALGO MAS FRESCO","3","6","12.3000002"
"55","ALGO MÁS FRESCO","3","6","12.3000002"
"56","ALGO MAS FRESQUITO","8",NA,NA
"57","ALGO MENOS FLOJO","8",NA,NA
"58","ALGO MENOS FRESCO","8",NA,NA
"59","ALGO VARIABLE","8",NA,NA
"60","ALGO VARIABLE Y FRESCO","3","6","12.3000002"
"61","ALGUN","8",NA,NA
"62","ALGUNA","8",NA,NA
"63","ALGUNA CALMA","8",NA,NA
"64","ALGUNA COSA MAS APACIBLE","2","4","6.69999981"
"65","ALGUNAS CALMAS","8",NA,NA
"66","ALGUNAS VENTOLINAS","8",NA,NA
"67","ALGUNO","8",NA,NA
"68","alterados","4","9","22.6000004"
"69","ALTIVO","3","7","15.3999996"
"70","AMAINANDO ALGO","8",NA,NA
"71","AMINORANDO SU FUERZA","8",NA,NA
"72","APACIBLE","2","4","6.69999981"
"73","APACIBLE DE TODA VELA","2","4","6.69999981"
"74","APACIBLES","2","4","6.69999981"
"75","APACIGUADO","2","4","6.69999981"
"76","ARRACHADO","8",NA,NA
"77","ARRECIA","8",NA,NA
"78","ARRECIA EL VIENTO","8",NA,NA
"79","ARRECIANDO","8",NA,NA
"80","Arreciando a mas","8",NA,NA
"81","ARRECIO MAS","8",NA,NA
"82","aturbonado","4","9","22.6000004"
"83","aturbonados","4","9","22.6000004"
"84","AUMENTANDO","8",NA,NA
"85","aumento","8",NA,NA
"86","AUMENTO MUCHO","8",NA,NA
"87","aventolinado","8",NA,NA
"88","BASTANTE","8",NA,NA
"89","BASTANTE BONANCIBLE","2","4","6.69999981"
"90","BASTANTE BONANZA","8",NA,NA
"91","BASTANTE CELAJERÍA","8",NA,NA
"92","BASTANTE DESIGUAL","8",NA,NA
"93","BASTANTE DURO","8",NA,NA
"94","BASTANTE FEO POR TODAS PARTES","8",NA,NA
"95","BASTANTE FLOJO","8",NA,NA
"96","BASTANTE FRESCO","3","6","12.3000002"
"97","BASTANTE FRESQUITO","8",NA,NA
"98","BASTANTE FUERTE","3","7","15.3999996"
"99","BASTANTE FUERTE Y VARIANDO A CADA INSTANTE","3","7","15.3999996"
"100","BASTANTE OSCURO","8",NA,NA
"101","BASTANTE RECIO","3","7","15.3999996"
"102","BASTANTE TORMENTA","4","9","22.6000004"
"103","BASTANTE TORMENTOSO","4","9","22.6000004"
"104","BASTANTE VIENTO","8",NA,NA
"105","BASTANTEMENTE FRESCO","3","6","12.3000002"
"106","BELLO","8",NA,NA
"107","BENDABAL Y FRESCO","8",NA,NA
"108","BENIGNO","2","4","6.69999981"
"109","BENTOLINA","1","1","1"
"110","BENTOLINA FLOJA","2","3","4.5999999"
"111","BENTOLINAS","1","1","1"
"112","BIEN FLOJO","2","3","2.5999999"
"113","BIEN FRESCO","3","6","12.3000002"
"114","BOB","8",NA,NA
"115","BOBNANCIBLE","2","4","6.69999981"
"116","BON","2","4","6.69999981"
"117","BON ANZA","2","4","6.69999981"
"118","BONACIBLE","2","4","6.69999981"
"119","BONANCIBLE","2","4","6.69999981"
"120","BONANCIBLE / CALMOSO","2","4","6.69999981"
"121","BONANCIBLE / FRESQUITO","2","4","6.69999981"
"122","BONANCIBLE AUNQUE EN FUGAS","2","4","6.69999981"
"123","BONANCIBLE CON CHUBASCOS","2","4","6.69999981"
"124","BONANCIBLE DE TODA VELA","2","4","6.69999981"
"125","BONANCIBLE EN SU MAYOR PARTE","2","4","6.69999981"
"126","BONANCIBLE EN VECES Y EN OTRAS FRESCO","2","4","6.69999981"
"127","BONANCIBLE EN VECES Y EN OTRAS FRESQUITO","2","4","6.69999981"
"128","BONANCIBLE HASTA LAS 21:00 QUE COMENZO A REFRESCAR","2","4","6.69999981"
"129","BONANCIBLE HASTA LAS 22:00 QUE REFRESCO","2","4","6.69999981"
"130","BONANCIBLE HASTA LAS 7 QUE SE QUEDO CALMA","2","4","6.69999981"
"131","BONANCIBLE Y CALMA","2","4","6.69999981"
"132","BONANCIBLE Y CALMOSO","2","4","6.69999981"
"133","BONANCIBLE Y CONTRARIOS","2","4","6.69999981"
"134","BONANCIBLE Y CUASI CALMA","2","4","6.69999981"
"135","BONANCIBLE Y EN CALMA","2","4","6.69999981"
"136","BONANCIBLE Y EN OTRAS FRESQUITO","2","4","6.69999981"
"137","BONANCIBLE Y EN TIEMPOS FRESQUITO","2","4","6.69999981"
"138","BONANCIBLE Y EN VECES CALMA","2","4","6.69999981"
"139","BONANCIBLE Y EN VECES FRESCO","2","4","6.69999981"
"140","BONANCIBLE Y FRESCO","2","4","6.69999981"
"141","BONANCIBLE Y FRESQUITO","2","4","6.69999981"
"142","BONANCIBLE Y MUY VARIABLE","2","4","6.69999981"
