"ID","WindDirection","ProbWindDD"
1,"calme",0
2,"N1/4NE",3
3,"N1/3E",4
4,"N1/2E",6
5,"NbE1/2N",6
6,"NbE",11
7,"NbE1/2E",17
8,"NNE1/2N",17
9,"NNE",23
10,"NNE1/2E",28
11,"NEbN",34
12,"NNEbE",34
13,"NE1/2N",39
14,"NE1/4N",42
15,"NE",45
16,"NE1/4E",48
17,"NE1/4S",48
18,"NE1/2E",51
19,"NEbE",56
20,"NEbS",56
21,"NEbE1/2E",62
22,"ENE",68
23,"EbN1/2N",73
24,"ENE1/2E",73
25,"EbN",79
26,"EbNE",79
27,"ENEbS",79
28,"E1/2N",84
29,"E1/4NE",87
30,"E",90
31,"E1/4S",93
32,"E1/4SE",93
33,"E1/2S",96
34,"E3/4S",98
35,"EbS",101
36,"EbS1/2S",107
37,"ESE1/2E",107
38,"ESE",113
39,"SEbE1/2E",118
40,"SEbE",124
41,"SEbN",124
42,"SE1/2E",129
43,"SE1/4E",132
44,"SE1/4NE",132
45,"SE",135
46,"SE1/4S",138
47,"SE1/2S",141
48,"SEbS1/2E",141
49,"SEbS",146
50,"SSEbE",146
51,"SSE1/2E",152
52,"SSE",158
53,"SbE1/2E",163
54,"SbE",169
55,"SSEbS",169
56,"S1/2E",174
57,"SbE1/2S",174
58,"S1/4E",177
59,"S1/4SE",177
60,"S",180
61,"S1/4SW",183
62,"s1/4w",183
63,"S1/2W",186
64,"S3/4W",188
65,"SbSW",191
66,"SbW",191
67,"SSWbS",191
68,"SbW1/4W",194
69,"SbW1/2W",197
70,"SSW",203
71,"SSW1/2W",208
72,"SWbS1/2S",208
73,"SSWbW",214
74,"SWbE",214
75,"SWbS",214
76,"SW1/2S",219
77,"SW1/4E",222
78,"SW1/4S",222
79,"SW",225
80,"SW1/4W",228
81,"SW1/2W",231
82,"SWbN",236
83,"SWbW",236
84,"SWbW1/2W",242
85,"WSW",248
86,"WbS1/2S",253
87,"WSW1/2W",253
88,"WbS",259
89,"W1/2S",264
90,"W1/4SW",267
91,"W",270
92,"W1/4NW",273
93,"W1/2N",276
94,"WbN",281
95,"WNWbS",281
96,"WNWbW",281
97,"WNW",293
98,"NWbW1/2W",298
99,"NWbW",304
100,"NW1/2W",309
101,"NW1/4W",312
102,"NW",315
103,"NW1/4N",318
104,"NW1/2N",321
105,"NNWbW",326
106,"NWbN",326
107,"NNW1/2W",332
108,"NNW",338
109,"NbW1/2W",343
110,"NbNW",349
111,"NbW",349
112,"NbWNW",349
113,"N1/2W",354
114,"N1/4NW",357
115,"N",360
116,"",500
117,"variable",999
