"ID","WindForce","CLIWOC.Class","Beaufort","mps"
"1","","9",NA,NA
"2","a basses voiles","4","8","19"
"3","a la cape","8",NA,NA
"4","a la cappe","8",NA,NA
"5","a peu","3","5","9.30000019"
"6","a peu frais","3","6","11.6000004"
"7","a stribord","8",NA,NA
"8","affraîcheur","3","6","12.3000002"
"9","affraichi","3","6","12.3000002"
"10","afraicheur","3","6","12.3000002"
"11","afraichi","3","6","12.3000002"
"12","assez frais","3","6","12.3000002"
"13","augmenté","8",NA,NA
"14","augmente fraichy","8",NA,NA
"15","beacoup moins violant","4","8","17.2000008"
"16","beacoup moins violent","4","8","17.2000008"
"17","beacoup molli","1","1","1"
"18","beau","3","5","9.30000019"
"19","beau frais","3","5","9.30000019"
"20","beau petit frais","2","4","6.69999981"
"21","beaucoup de calme","1","0","0"
"22","beaucoup de forces","4","8","19"
"23","beaucoup de vent","3","7","15.3999996"
"24","beaucoupe de forces","4","8","19"
"25","belle brise","2","4","6.69999981"
"26","bien forte","3","6","12.3000002"
"27","bien petit frais","2","4","6.69999981"
"28","bon frais","3","5","9.30000019"
"29","bon frais an peu violent","3","5","9.30000019"
"30","bon frais fraisant","3","5","9.30000019"
"31","bon gros frais","3","7","15.3999996"
"32","bon petit frais","2","4","6.69999981"
"33","bon petite frais","2","4","6.69999981"
"34","bon vent","3","5","9.30000019"
"35","bone brise","3","5","9.30000019"
"36","bonne brise","3","5","9.30000019"
"37","bonne brisse","3","5","9.30000019"
"38","bourasques","8",NA,NA
"39","brise","3","7","15.3999996"
"40","brise a varier","3","7","15.3999996"
"41","brise du terre","8",NA,NA
"42","brise forte","3","7","15.3999996"
"43","brise variable","3","7","15.3999996"
"44","calme","1","0","0"
"45","calmé","1","0","0"
"46","calme entierement","1","0","0"
"47","calme plat","1","0","0"
"48","calme tout plat","1","0","0"
"49","calmiffant","1","0","0"
"50","considerablement","4","8","19"
"51","considerablement fraichy","3","7","15.3999996"
"52","contraire","8",NA,NA
"53","coup de vent","4","8","19"
"54","en tourmente","4","9","22.6000004"
"55","etand plus forte","8",NA,NA
"56","extremadament forte","4","10","26.7999992"
"57","extrêmement fort","4","10","26.7999992"
"58","extrêmement violent","4","11","30.8999996"
"59","faible","1","1","1"
"60","faible brise","1","1","1"
"61","foible","1","1","1"
"62","foiblé","1","1","1"
"63","foible a perr","1","1","1"
"64","foible brise","1","1","1"
"65","foible calme","1","1","0.600000024"
"66","foibles","1","1","1"
"67","forcé","4","8","19"
"68","forcé variant","4","8","19"
"69","fort","3","7","15.3999996"
"70","fort grosse","3","7","16.2999992"
"71","fort inégal","3","7","16.2999992"
"72","fort petite","8",NA,NA
"73","fort tems a hun avec ris","3","7","15.3999996"
"74","fort vent","3","7","15.3999996"
"75","forte","3","7","15.3999996"
"76","forte brise","3","7","15.3999996"
"77","fortes rafales","8",NA,NA
"78","fraicheur","3","6","12.3000002"
"79","fraîcheur","3","6","12.3000002"
"80","fraichi","3","6","12.3000002"
"81","fraichí","3","6","12.3000002"
"82","fraichiffant","3","6","12.3000002"
"83","fraichir","3","6","12.3000002"
