"ID","WindForce","CLIWOC.Class","Beaufort","mps"
"1","","9",NA,NA
"2","0","1","0","0"
"3","1","1","1","1"
"4","10","4","10","26.7999992"
"5","11","4","11","30.8999996"
"6","12","4","12","35"
"7","2","2","2","2.5999999"
"8","3","2","3","4.5999999"
"9","4","2","4","6.69999981"
"10","5","3","5","9.30000019"
"11","6","3","6","12.3000002"
"12","7","3","7","15.3999996"
"13","8","4","8","19"
"14","9","4","9","22.6000004"
"15","aangename koelte","2","2","2.5999999"
"16","aanhoudend","8",NA,NA
"17","aanhoudende flauwe koelte","2","2","2.5999999"
"18","aanhoudende stijve koelte","3","6","12.3000002"
"19","aanhoudende storm","4","10","26.7999992"
"20","aannemend","8",NA,NA
"21","aannemend bramzeilskoelte","2","3","4.9000001"
"22","aannemend flauwe koelte","2","2","2.9000001"
"23","aannemend koelte","2","2","2.9000001"
"24","aannemend stijve gereefde marszeilskoelte","3","6","13.1000004"
"25","aannemend storm","4","10","27.3999996"
"26","aannemend van wind","8",NA,NA
"27","aannemend wind","8",NA,NA
"28","aannemende","8",NA,NA
"29","aannemende bramzeilskoelte","2","3","4.9000001"
"30","aannemende buiige bramzeilskoelte","2","3","4.9000001"
"31","aannemende coelte","2","2","2.9000001"
"32","aannemende dichtgereefde marszeilskoelte","3","7","16.2999992"
"33","aannemende dichtgereefde onderzeilskoelte","4","10","27.3999996"
"34","aannemende dubbelgereefde marszeilskoelte","3","6","13.1000004"
"35","aannemende flauwe bramzeilskoelte","2","3","4.9000001"
"36","aannemende flauwe koelte","2","2","2.9000001"
"37","aannemende frisse bramzeilskoelte","2","3","4.9000001"
"38","aannemende frisse gereefde marszeilskoelte","3","5","10"
"39","aannemende frisse marszeilskoelte","2","4","7.30000019"
"40","aannemende gemene bramzeilskoelte","2","3","4.9000001"
"41","aannemende gemene koelte","2","2","2.9000001"
"42","aannemende gereefde marszeilskoelte","3","5","9.30000019"
"43","aannemende harde koelte","3","7","16.2999992"
"44","aannemende harde wind","3","7","16.2999992"
"45","aannemende koelte","2","2","2.9000001"
"46","aannemende kouwe","2","2","2.9000001"
"47","aannemende kracht","8",NA,NA
"48","aannemende labber bramzeilskoelte","2","3","4.9000001"
"49","aannemende labberkoelte","2","2","2.9000001"
"50","aannemende lichte koelte","2","3","4.9000001"
"51","aannemende marszeilskoelte","2","4","7.30000019"
"52","aannemende mooie bramzeilskoelte","2","3","4.9000001"
"53","aannemende onderzeilskoelte","4","8","19.7999992"
"54","aannemende ongestadige bramzeilskoelte","2","3","4.9000001"
"55","aannemende ongestadige gereefde marszeilskoelte","3","5","10"
"56","aannemende ongestadige koelte","2","2","2.9000001"
"57","aannemende ongestadige marszeilskoelte","2","4","7.30000019"
"58","aannemende ongestadige stijve bramzeilskoelte","2","4","7.30000019"
"59","aannemende stijve bramzeilskoelte","2","4","7.30000019"
"60","aannemende stijve dubbelgereefde marszeilskoelte","3","6","13.8000002"
"61","aannemende stijve gereefde marszeilskoelte","3","6","13.1000004"
"62","aannemende stijve koelte","3","6","13.1000004"
"63","aannemende stijve kouwe","3","6","13.1000004"
"64","aannemende stijve marszeilskoelte","3","5","10"
"65","aannemende stijve onderzeilskoelte","4","9","23.5"
"66","aannemende stijve ongestadige marszeilskoelte","3","5","10"
"67","aannemende stijve wint","3","6","13.1000004"
"68","aannemende storm","4","10","27.3999996"
"69","aannemende van wind","8",NA,NA
"70","aannemende vliegende storm","4","10","25.5"
"71","aannemende wind","8",NA,NA
"72","aannemende zeer flauwe koelte","1","1","1.20000005"
"73","aannemende zware stormbuien","4","9","23.5"
"74","aanwakkerend","8",NA,NA
"75","aanwakkerend koelte","2","2","2.9000001"
"76","aanwakkerend koeltje","2","2","2.9000001"
"77","aanwakkerende","8",NA,NA
"78","aanwakkerende bovenbramzeilskoelte","2","2","2.9000001"
"79","aanwakkerende bramzeilskoelte","2","3","4.9000001"
"80","aanwakkerende briesjes","1","1","1.20000005"
"81","aanwakkerende flauwe bramzeilskoelte","2","3","4.9000001"
"82","aanwakkerende flauwe koelte","2","2","2.9000001"
"83","aanwakkerende frische bramzeilskoelte","2","3","4.9000001"
"84","aanwakkerende gereefde marszeilskoelte","3","5","10"
"85","aanwakkerende gestadige koelte","2","2","2.9000001"
"86","aanwakkerende koelte","2","2","2.9000001"
"87","aanwakkerende lichte koelte","1","1","1.20000005"
"88","aanwakkerende lucht","8",NA,NA
"89","aanwakkerende marszeilskoelte","2","4","7.30000019"
"90","aanwakkerende ongestadige koelte","2","2","2.9000001"
"91","aanwakkerende ongestadige koeltes","2","2","2.9000001"
"92","aanwakkerende passaat","2","4","7.30000019"
"93","aanwakkerende stijve bramzeilskoelte","2","4","7.30000019"
"94","aanwakkerende wind","8",NA,NA
"95","aanwakkerende wint","8",NA,NA
"96","aasemie","2","2","2.5999999"
"97","af- en aannemende koelte","8",NA,NA
"98","afbuiende koelte","8",NA,NA
"99","afbuigend","8",NA,NA
"100","afflaauwende stijve bramzeilskoelte","2","4","6.0999999"
"101","afflauwend","8",NA,NA
"102","afflauwende koelte","2","2","2"
"103","afnemend","8",NA,NA
"104","afnemend bramzeilskoelte","2","3","4"
"105","afnemend gereefde marszeilskoelte","3","5","8.69999981"
"106","afnemend marszeilskoelte","2","4","6.0999999"
"107","afnemend ongestadige koelte","2","2","2"
"108","afnemend stormweer","4","9","21.7000008"
"109","afnemend van gereefde marszeilskoelte","3","5","8.69999981"
"110","afnemend van wind","8",NA,NA
"111","afnemende","8",NA,NA
"112","afnemende bovenbramzeilskoelte","2","2","2"
"113","afnemende bramzeilskoelte","2","3","4"
"114","afnemende coelte","2","2","2"
"115","afnemende couwe","2","2","2"
"116","afnemende dichtgereefde koelte","8",NA,NA
"117","afnemende dichtgereefde marszeilskoelte","3","7","14.6999998"
"118","afnemende dubbelgereefde marszeilskoelte","3","6","11.6000004"
"119","afnemende en aannemende koeltes","8",NA,NA
"120","afnemende flauwe bramzeilskoelte","2","3","4"
"121","afnemende flauwe koelte","2","2","2"
"122","afnemende frisse bramzeilskoelte","2","3","4"
"123","afnemende frisse koelte","2","2","2"
"124","afnemende frisse marszeilskoelte","2","4","6.0999999"
"125","afnemende gemene bramzeilskoelte","2","3","4"
"126","afnemende gemene koelte","2","2","2"
