"ID","WindDirection","ProbWindDD"
1,"calm",0
2,"N1/4E",3
3,"N1/3E",4
4,"N1/2E",6
5,"NbE1/2N",6
6,"NbE",11
7,"NbE1/2E",17
8,"NNE1/2N",17
9,"NNE",23
10,"NNE1/2E",28
11,"NEbN",34
12,"NEbW",34
13,"NNEbE",34
14,"NE1/2N",39
15,"NE",45
16,"NE1/4E",48
17,"NE1/2E",51
18,"NEbE",56
19,"NEbS",56
20,"ENE1/2N",62
21,"NEbE1/2E",62
22,"ENE",68
23,"EbN1/2N",73
24,"ENE1/2E",73
25,"EbN",79
26,"EbNE",79
27,"ENEbS",79
28,"E1/2N",84
29,"E",90
30,"E1/4S",93
31,"E1/2S",96
32,"E3/4S",98
33,"EbS",101
34,"EbS1/2S",107
35,"ESE1/2E",107
36,"ESE",113
37,"ESE1/2S",118
38,"SEbE1/2E",118
39,"SEbE",124
40,"SEbN",124
41,"SE1/2E",129
42,"SE1/4E",132
43,"SE",135
44,"SE1/2S",141
45,"SEbS1/2E",141
46,"SEbS",146
47,"SSE1/2E",152
48,"SSE",158
49,"SbE1/2E",163
50,"SbE",169
51,"SSEbS",169
52,"S1/2E",174
53,"SbE1/2S",174
54,"S",180
55,"S1/3W",184
56,"S1/2W",186
57,"S3/4W",188
58,"SbSW",191
59,"SbW",191
60,"SSWbS",191
61,"SbW1/4W",194
62,"SbW1/2W",197
63,"SSW",203
64,"SSW1/2W",208
65,"SWbS1/2S",208
66,"SSWbW",214
67,"SWbE",214
68,"SWbS",214
69,"SW1/2S",219
70,"SW1/4S",222
71,"SW",225
72,"SW1/4W",228
73,"SW1/2W",231
74,"SWbW1/2S",231
75,"SWbN",236
76,"SWbW",236
77,"SWbW1/2W",242
78,"WSW",248
79,"WbS1/2S",253
80,"WSW1/2W",253
81,"WbS",259
82,"W1/2S",264
83,"W",270
84,"W1/2N",276
85,"WbN",281
86,"WNWbS",281
87,"WNWbW",281
88,"WbN1/2N",287
89,"WNW1/2W",287
90,"WNW",293
91,"NWbW1/2W",298
92,"NWbW",304
93,"NW1/2W",309
94,"NW",315
95,"NW1/2N",321
96,"NNWbW",326
97,"NWbN",326
98,"NNW1/2W",332
99,"NNW",338
100,"NbW1/2W",343
101,"349",349
102,"NbNW",349
103,"NbW",349
104,"NbWNW",349
105,"N1/2W",354
106,"N",360
107,"",500
108,"NbN",500
109,"WbW",500
110,"all round compass",999
111,"head all around the compass",999
112,"variable",999
