"ID","WindForce","CLIWOC.Class","Beaufort","mps"
"1","","9",NA,NA
"2","0","1","0","0"
"3","1","1","1","1"
"4","10","4","10","26.7999992"
"5","11","4","11","30.8999996"
"6","12","4","12","35"
"7","2","2","2","2.5999999"
"8","3","2","3","4.5999999"
"9","4","2","4","6.69999981"
"10","5","3","5","9.30000019"
"11","6","3","6","12.3000002"
"12","7","3","7","15.3999996"
"13","8","4","8","19"
"14","9","4","9","22.6000004"
"15","adverse winds","8",NA,NA
"16","agreable gales","3","7","15.3999996"
"17","agreeable gales","3","7","15.3999996"
"18","airs","1","1","1"
"19","almost calm","1","1","1"
"20","appearance of trade winds","3","5","9.30000019"
"21","appearance of wind","1","1","1"
"22","baffling airs","1","1","1"
"23","baffling light airs","1","1","1"
"24","baffling light variable winds","1","1","0.600000024"
"25","baffling winds","1","1","1"
"26","blew strong","4","9","22.6000004"
"27","blew very hard","4","11","30.8999996"
"28","blew very violent","4","12","35"
"29","blow excessive hard","4","12","35"
"30","blow fresh","3","6","12.3000002"
"31","blow hard","4","10","26.7999992"
"32","blow very hard","4","11","30.8999996"
"33","blowed hard","4","10","26.7999992"
"34","blowing","8",NA,NA
"35","blowing a gale of wind","3","7","15.3999996"
"36","blowing a hard gale","4","10","26.7999992"
"37","blowing a storm of wind","4","10","26.7999992"
"38","blowing excessively hard","4","11","31.6000004"
"39","blowing extremely hard","4","11","31.6000004"
"40","blowing fresh","3","6","12.3000002"
"41","blowing fresh decreasing","3","6","11.6000004"
"42","blowing fresh squalls","3","6","12.3000002"
"43","blowing hard","4","10","26.7999992"
"44","blowing hard decreasing","4","10","25.5"
"45","blowing harder and harder","4","10","27.3999996"
"46","blowing heavy gales","4","9","22.6000004"
"47","blowing strong","4","9","22.6000004"
"48","blowing strong decreasing","4","9","21.7000008"
"49","blowing unsettled","8",NA,NA
"50","blowing very","8",NA,NA
"51","blowing very fresh","3","5","10"
"52","blowing very hard","4","10","27.3999996"
"53","blowing very heavy","8",NA,NA
"54","blowing very strong gale","4","9","23.5"
"55","blowing very strong in squalls","8",NA,NA
"56","blowing wind","8",NA,NA
"57","blows fresh","3","5","9.30000019"
"58","blows hard","4","10","26.7999992"
"59","blows strong","4","9","22.6000004"
"60","blows very hard","4","10","27.3999996"
"61","breeze","2","4","6.69999981"
"62","breeze considerably increasing","2","4","7.30000019"
"63","breeze decreasing","2","4","6.0999999"
"64","breeze freshened","2","4","7.30000019"
"65","breeze increasing","2","4","7.30000019"
"66","breezes","2","4","6.69999981"
"67","breezes freshening","2","4","7.30000019"
"68","brisk","3","6","12.3000002"
"69","brisk breeze","3","6","12.3000002"
"70","brisk breezes","3","6","12.3000002"
"71","brisk gale","3","6","12.3000002"
"72","brisk gale decreasing","3","6","11.6000004"
"73","brisk gale increasing","3","6","13.1000004"
"74","brisk gale of wind","3","6","12.3000002"
"75","brisk gales","3","6","12.3000002"
"76","brisk increasing gales","3","6","13.1000004"
"77","brisk pleasant gales","3","5","9.30000019"
"78","brisk scant trade","2","3","4.9000001"
"79","brisk steady gale","3","6","12.3000002"
"80","brisk steady gales","3","6","12.3000002"
"81","brisk steady trade","3","6","13.1000004"
"82","brisk trade","3","5","10"
"83","brisk trade decreasing","3","5","9.30000019"
"84","brisk trade wind","3","5","10"
"85","brisk trade winds","3","5","10"
"86","brisk variable trade","3","5","10"
"87","brisk wind","8",NA,NA
"88","calm","1","0","0"
"89","calms","1","0","0"
"90","changable winds","8",NA,NA
"91","changeable","8",NA,NA
"92","changeable wind","8",NA,NA
"93","clear fresh wind","3","5","9.30000019"
"94","close hauled","4","10","26.7999992"
"95","constant breeze","2","4","6.69999981"
"96","constant brisk gale of wind","3","7","15.3999996"
"97","constant brisk trade","3","5","10"
"98","constant fine gale of wind","3","7","15.3999996"
"99","constant fine trade","3","5","9.30000019"
"100","constant flying squalls","8",NA,NA
"101","constant fresh gale","4","8","19"
"102","constant fresh gales","4","8","19"
"103","constant fresh wind","3","5","9.30000019"
"104","constant gale","3","7","15.3999996"
"105","constant gales","3","7","15.3999996"
"106","constant gentle trade","2","4","6.69999981"
"107","constant pleasant trade","3","5","9.30000019"
"108","constant squalls","8",NA,NA
"109","constant steady breeze increasing","2","4","6.69999981"
"110","constant steady easy gale","2","3","4.5999999"
"111","constant steady gale","3","7","15.3999996"
"112","constant steady wind","8",NA,NA
"113","constant strong gale","4","9","22.6000004"
"114","constant trade","3","5","9.30000019"
"115","constant wind","8",NA,NA
"116","continual hard squalls","8",NA,NA
"117","continuance of hard squalls","8",NA,NA
"118","continuous squalls","8",NA,NA
"119","contrary","8",NA,NA
"120","contrary winds","8",NA,NA
"121","dark and squally weather","8",NA,NA
"122","dark squally","8",NA,NA
"123","dead calm","1","0","0"
"124","declining breezes","2","4","6.0999999"
"125","declining trade","3","5","8.69999981"
"126","decreasing","8",NA,NA
"127","decreasing breeze","2","4","6.0999999"
"128","decreasing breezes","2","4","6.0999999"
"129","decreasing gale","3","7","14.6999998"
"130","decreasing gales","3","7","14.6999998"
"131","decreasing gradually","8",NA,NA
"132","decreasing pleasant breeze","2","4","6.0999999"
"133","decreasing pleasant gale","3","5","8.69999981"
"134","decreasing trade","3","5","8.69999981"
"135","decreasing wind","8",NA,NA
"136","decreasing winds","8",NA,NA
"137","delightful fresh breeze","3","5","9.30000019"
"138","dirty squally","8",NA,NA
"139","disagreeable calms","1","0","0"
"140","disagreeable light airs","1","1","1"
"141","disagreeable light winds","1","1","1"
"142","drifting winds","8",NA,NA
"143","dying away","1","0","0"
"144","easy breeze","2","2","2.5999999"
"145","easy breezes","2","2","2.5999999"
"146","easy gale","2","3","4.5999999"
"147","easy gales","2","3","4.5999999"
"148","easy pleasant gales","3","5","9.30000019"
"149","easy trade","3","5","9.30000019"
"150","exceeding hard gales","4","10","27.3999996"
"151","exceeding pleasant trade","3","5","9.30000019"
"152","exceeding strong gales","4","9","23.5"
"153","exceedingly fine winds","3","5","9.30000019"
"154","excessive hard gales","4","10","27.3999996"
"155","excessive hard gales abating","4","10","26.7999992"
"156","excessive hard squalls","8",NA,NA
"157","excessive hard squalls decreasing","8",NA,NA
"158","extremely light airs","1","1","0.600000024"
"159","extremely pleasant running gale","3","5","9.30000019"
"160","faint","1","1","1"
"161","faint air","1","1","1"
