"ID","ShipName","LogbookIdent","Duplicate"
1,"Abel Tasman","MAR_D23905_1164",0
2,"Acasta","NMM RUSI/NM/180/6",0
3,"Acasta","NMM RUSI/NM/180/9",0
4,"Active","NMM ADM/L/A17",0
5,"Active","NMM ADM/L/A19",0
6,"Adamant","NMM ADM/L/A22",0
7,"Adamant","NMM ADM/L/A23",0
8,"Adder","MAR_D23905_20",0
9,"Admiraal de Ruyter","VOC_152_11420",0
10,"Admiraal Evertsen","A2419(1)_1-300",0
11,"Admiraal Jan Evertsen","Extract P, Reis 9a, pp 110-118",0
12,"Admiraal Jan Evertsen","Extract P, Reis 9d, pp 138-145",0
13,"Admiraal Jan Evertsen","Extract P, Reis 9e, pp 147-154",0
14,"Admiraal Jan Evertsen","Extract P, Reis 9f, pp 155-162",0
15,"Admiraal Jan Evertsen","Extract P, Reis 9g, pp 164-172",0
16,"Admiral Pocock","BL L/MAR/B/498B",0
17,"Admiral Pocock","BL L/MAR/B/498G",0
18,"Admiral Vernon","BL L/MAR/B/623C",0
19,"Africa","VOC_152_5055",0
20,"Africaensche Galey","MCC_20_204",0
21,"Agatha","GAD_156_1",0
22,"Ajax","MAR_D23905_30",0
23,"Ajax","MAR_D23905_31",0
24,"Ajax","MAR_D23905_32",0
25,"Ajax","MAR_D23905_39",0
26,"Ajax","MAR_D23905_40",0
27,"Ajax","NMM ADM/L/A56",0
28,"Akerendam","VOC_152_5130",0
29,"Alarm","NMM ADM/L/A60",0
30,"Alarm","NMM ADM/L/A62",0
31,"Albatross","NMM ADM/L/A67",0
32,"Albatross","NMM ADM/L/A68",0
33,"Alborough","NMM ADM/L/A82",0
34,"Albrecht Beijling","Extract V, Reis 17, pp 150-169",0
35,"Alderney","NMM ADM/L/A90",0
36,"Alert","NMM ADM/L/A259B",0
37,"Alfred","BL L/MAR/B/140F",0
38,"Alfred","BL L/MAR/B/140G",0
39,"Alfred","BL L/MAR/B/140H",0
40,"Algiers","MAR_D23905_59",0
41,"Algiers","MAR_D23905_60",0
42,"Alkemade","FAM_1224_132",0
43,"Allarm","ADM_177_2414",0
44,"Alligator","NMM ADM/L/A261",0
45,"Amazon","NMM ADM/L/A106",0
46,"Amazon","NMM ADM/L/A262",0
47,"Amazone","ADM_193_78",0
48,"Amazone","FAM_1192_174",0
49,"Ambarawa","Extract M, Reis 1",0
50,"Ambon","MAR_D23905_90",0
51,"Ambuscade","NMM ADM/L/A111",0
52,"Amicitia","Extract T, Reis 20",0
53,"Amicitia","Extract T, Reis 22",0
54,"Amphion","NMM ADM/L/A120",0
55,"Amphitrite","Cote - 4/JJ/23",0
56,"Amphitrite","Extract O, Reis 19, p.179-195",0
57,"Amphitrite","MAR_D23905_99",0
58,"Amphitrite","NMM ADM/L/A123",0
59,"Amstel","Extract 17+, Reis 21",0
60,"Amstel","Extract O, Reis 21",0
61,"Amstel","Extract T, Reis 26",0
62,"Amsterdam","MAR_D23905_145",0
63,"Amsterdam","MAR_D23905_146",0
64,"Amsterdam","MAR_D23905_148",0
65,"Amsterdam","Extract E, Reis 07, p.67-86",1
66,"ANDALUZ","MS. 232",0
67,"Andromache","NMM ADM/L/A264",0
68,"Anna","D-IV_HAZE",0
69,"Anna","Extract O, Reis 6, pp. 28a-32a",0
70,"Anna","Extract V, Reis 22, pp 237-241",0
71,"Antelope","NMM ADM/L/A143",0
72,"Anthony","Extract B, Reis 17",0
73,"Anthony","Extract B, Reis 19",0
74,"Anthony","Extract C, Reis 08, p.115-142",0
75,"Anthony","Extract C, Reis 12, p179-187",0
76,"Anthony","Extract D, Reis 1",0
77,"Anthony","Extract D, Reis 2",0
78,"Anthony","Extract W, Reis 12",0
79,"Anthony","Extract W, Reis 23. pp 183-200",0
80,"Aolus","NMM ADM/L/E57",0
81,"Arend","ADM_177_1189",0
82,"Arend","ADM_177_1220",0
83,"Arend","FAM_1225_16",0
84,"Arend","MAR_D23318_122",0
85,"Arend","MAR_D23905_201",0
86,"Arend","MAR_D23905_202",0
87,"Arend","MAR_D23905_203",0
88,"Arend","MAR_D23905_206",0
89,"Arethusa","NMM ADM/L/A82",0
90,"Argo","MAR_D23905_214",0
91,"Argo","MAR_D23905_215",0
92,"Argo","NMM ADM/L/A168",0
93,"Argo","NMM ADM/L/A169",0
94,"Argo","NMM ADM/L/A170",0
95,"Argo","Extract T, Reis 5",1
96,"Aruba","MAR_D23905_243",0
97,"Arundel","NMM ADM/L/A193",0
98,"Asia","BL L/MAR/B/24F",0
99,"Asia","BL L/MAR/B/24G",0
100,"Asia","NMM ADM/L/A195",0
101,"Asia","NMM ADM/L/A196",0
102,"Asia","NMM ADM/L/A266",0
103,"Asia","NMM ADM/L/A914",0
104,"Assistance","NMM ADM/L/A207",0
105,"Assistance","NMM ADM/L/A209",0
106,"Assurance","NMM ADM/L/A217",0
107,"Assurance","NMM ADM/L/A266",0
108,"ASTUTO","MS. 925",0
109,"ASTUTO","MS. 924",1
110,"ASTUTO","MS. 941",2
111,"ASTUTO","MS. 1541",3
112,"ASTUTO","MS. 2226",4
113,"ASTUTO","MS. 923",5
114,"ASTUTO","MS. 926",6
115,"ASTUTO","MS. 925",7
116,"ASTUTO","MS. 940",8
117,"ASUNCIÓN","MS. 166_005",0
118,"Atalanta","NMM ADM/L/A221",0
119,"Atalante","MAR_._88",0
120,"Atalante","MAR_D23905_261",0
121,"Atlanta","NMM ADM/L/A220",0
122,"Atlas","BL L/MAR/B/27C",0
123,"ATREVIDA Y DESCUBIERTA","MS. 272 DOC 16",0
124,"Attelante","FAM_C22253_10",0
125,"AUDAZ","1177 (40).1",0
126,"Augusta","BL L/MAR/B/629D",0
127,"Auguste","FAM_C22253_13",0
128,"Aurora","BL L/MAR/B/228A",0
129,"Aurora","Extract C, Reis 16, p.198-209",0
130,"Aurora","NMM ADM/L/A237",0
131,"Azia","Extract T, Reis 21a, p.192-202",0
132,"Azia","Extract T, Reis 21b, p.203-210",0
133,"Azia","Extract T, Reis 21c, p.211-220",0
134,"Badger","NMM ADM/L/B3",0
135,"Baleine","NMM ADM/L/B6",0
136,"Banka","MAR_D23905_435",0
137,"Batavia","Extract B, Reis 15, pp 241",0
138,"Batavia","Extract B, Reis 20",0
